date,daily_total_rain_cm,cumulative_rain_annual_cm
2022-04-19,1.2959999999999996,1.2959999999999996
2022-04-20,0,1.2959999999999996
2022-04-21,0,1.2959999999999996
2022-04-22,0,1.2959999999999996
2022-04-23,0,1.2959999999999996
2022-04-24,0,1.2959999999999996
2022-04-25,0,1.2959999999999996
2022-04-26,0,1.2959999999999996
2022-04-27,0,1.2959999999999996
2022-04-28,0,1.2959999999999996
2022-04-29,0,1.2959999999999996
2022-04-30,0,1.2959999999999996
2022-05-01,0.661,1.9569999999999996
2022-05-02,0,1.9569999999999996
2022-05-03,0,1.9569999999999996
2022-05-04,1.4199999999999997,3.3769999999999993
2022-05-05,0,3.3769999999999993
2022-05-06,1.241,4.617999999999999
2022-05-07,3.291999999999999,7.909999999999998
2022-05-08,0.3770000000000001,8.286999999999999
2022-05-09,0,8.286999999999999
2022-05-10,0,8.286999999999999
2022-05-11,0,8.286999999999999
2022-05-12,0,8.286999999999999
2022-05-13,0.506,8.793
2022-05-14,0.6300000000000002,9.423
2022-05-15,0,9.423
2022-05-16,0.53,9.953
2022-05-17,0,9.953
2022-05-18,0,9.953
2022-05-19,0.101,10.054
2022-05-20,0,10.054
2022-05-21,0,10.054
2022-05-22,0.153,10.207
2022-05-23,2.1319999999999997,12.339
2022-05-24,0.7840000000000003,13.123000000000001
2022-05-25,0,13.123000000000001
2022-05-26,0,13.123000000000001
2022-05-27,0.38000000000000006,13.503000000000002
2022-05-28,2.0049999999999994,15.508000000000001
2022-05-29,0,15.508000000000001
2022-05-30,0,15.508000000000001
2022-05-31,0,15.508000000000001
2022-06-01,0,15.508000000000001
2022-06-02,1.0669999999999997,16.575
2022-06-03,0.126,16.701
2022-06-04,0,16.701
2022-06-05,0,16.701
2022-06-06,0,16.701
2022-06-07,0.05,16.751
2022-06-08,0,16.751
2022-06-09,1.1159999999999997,17.867
2022-06-10,0,17.867
2022-06-11,0,17.867
2022-06-12,0.101,17.968
2022-06-13,0,17.968
2022-06-14,2.439,20.407
2022-06-15,0,20.407
2022-06-16,0.153,20.56
2022-06-17,0,20.56
2022-06-18,0,20.56
2022-06-19,0,20.56
2022-06-20,0,20.56
2022-06-21,0,20.56
2022-06-22,0,20.56
2022-06-23,2.786999999999998,23.346999999999998
2022-06-24,0,23.346999999999998
2022-06-25,0,23.346999999999998
2022-06-26,0,23.346999999999998
2022-06-27,1.016,24.363
2022-06-28,0,24.363
2022-06-29,0,24.363
2022-06-30,0,24.363
2022-07-01,0,24.363
2022-07-02,0,24.363
2022-07-03,2.0309999999999997,26.394
2022-07-04,0,26.394
2022-07-05,1.727,28.121
2022-07-06,0.025,28.145999999999997
2022-07-07,0.533,28.679
2022-07-08,0,28.679
2022-07-09,5.508,34.187
2022-07-10,0,34.187
2022-07-11,0,34.187
2022-07-12,0.22899999999999998,34.416
2022-07-13,0.15,34.565999999999995
2022-07-14,0,34.565999999999995
2022-07-15,0,34.565999999999995
2022-07-16,5.18,39.745999999999995
2022-07-17,0.8120000000000002,40.55799999999999
2022-07-18,0.051,40.608999999999995
2022-07-19,0,40.608999999999995
2022-07-20,0,40.608999999999995
2022-07-21,1.321,41.92999999999999
2022-07-22,0,41.92999999999999
2022-07-23,0,41.92999999999999
2022-07-24,0,41.92999999999999
2022-07-25,0.914,42.843999999999994
2022-07-26,0,42.843999999999994
2022-07-27,0,42.843999999999994
2022-07-28,0.609,43.452999999999996
2022-07-29,0.9890000000000001,44.44199999999999
2022-07-30,0,44.44199999999999
2022-07-31,0.1,44.541999999999994
2022-08-01,0.407,44.94899999999999
2022-08-02,0.025,44.97399999999999
2022-08-03,0,44.97399999999999
2022-08-04,2.566,47.53999999999999
2022-08-05,2.1319999999999997,49.67199999999999
2022-08-06,2.1850000000000005,51.85699999999999
2022-08-07,0,51.85699999999999
2022-08-08,0,51.85699999999999
2022-08-09,0,51.85699999999999
2022-08-10,3.9360000000000004,55.79299999999999
2022-08-11,0.279,56.071999999999996
2022-08-12,0,56.071999999999996
2022-08-13,0,56.071999999999996
2022-08-14,0,56.071999999999996
2022-08-15,0.30100000000000005,56.373
2022-08-16,0,56.373
2022-08-17,0.177,56.55
2022-08-18,0.025,56.574999999999996
2022-08-19,0,56.574999999999996
2022-08-20,0,56.574999999999996
2022-08-21,0,56.574999999999996
2022-08-22,0.9130000000000001,57.48799999999999
2022-08-23,0.177,57.66499999999999
2022-08-24,0,57.66499999999999
2022-08-25,0,57.66499999999999
2022-08-26,0,57.66499999999999
2022-08-27,0,57.66499999999999
2022-08-28,0,57.66499999999999
2022-08-29,0,57.66499999999999
2022-08-30,0.025,57.68999999999999
2022-08-31,0,57.68999999999999
2022-09-01,0,57.68999999999999
2022-09-02,0,57.68999999999999
2022-09-03,0,57.68999999999999
2022-09-04,0,57.68999999999999
2022-09-05,0,57.68999999999999
2022-09-06,1.0910000000000002,58.78099999999999
2022-09-07,0.151,58.931999999999995
2022-09-08,0,58.931999999999995
2022-09-09,0,58.931999999999995
2022-09-10,0,58.931999999999995
2022-09-11,2.03,60.961999999999996
2022-09-12,2.336,63.297999999999995
2022-09-13,0.279,63.577
2022-09-14,0,63.577
2022-09-15,0,63.577
2022-09-16,0,63.577
2022-09-17,0,63.577
2022-09-18,0,63.577
2022-09-19,0,63.577
2022-09-20,0,63.577
2022-09-21,0,63.577
2022-09-22,0.051,63.628
2022-09-23,0,63.628
2022-09-24,0,63.628
2022-09-25,1.219,64.847
2022-09-26,0.025,64.872
2022-09-27,0,64.872
2022-09-28,0,64.872
2022-09-29,0,64.872
2022-09-30,0.025,64.897
2022-10-01,3.2710000000000004,68.168
2022-10-02,2.9649999999999985,71.13300000000001
2022-10-03,0.8830000000000003,72.016
2022-10-04,3.1439999999999992,75.16000000000001
2022-10-05,3.7039999999999993,78.864
2022-10-06,0,78.864
2022-10-07,0,78.864
2022-10-08,0,78.864
2022-10-09,0,78.864
2022-10-10,0,78.864
2022-10-11,0,78.864
2022-10-12,0,78.864
2022-10-13,0.6590000000000001,79.52300000000001
2022-10-14,0.025,79.54800000000002
2022-10-15,0,79.54800000000002
2022-10-16,0,79.54800000000002
2022-10-17,0.329,79.87700000000001
2022-10-18,0,79.87700000000001
2022-10-19,0,79.87700000000001
2022-10-20,0,79.87700000000001
2022-10-21,0,79.87700000000001
2022-10-22,0,79.87700000000001
2022-10-23,0.378,80.25500000000001
2022-10-24,0.4290000000000001,80.68400000000001
2022-10-25,0.025,80.70900000000002
2022-10-26,0.4030000000000001,81.11200000000002
2022-10-27,0,81.11200000000002
2022-10-28,0,81.11200000000002
2022-10-29,0,81.11200000000002
2022-10-30,0,81.11200000000002
2022-10-31,0.152,81.26400000000002
2022-11-01,0.4810000000000001,81.74500000000002
2022-11-02,0,81.74500000000002
2022-11-03,0,81.74500000000002
2022-11-04,0,81.74500000000002
2022-11-05,0,81.74500000000002
2022-11-06,0,81.74500000000002
2022-11-07,0,81.74500000000002
2022-11-08,0,81.74500000000002
2022-11-09,0,81.74500000000002
2022-11-10,0,81.74500000000002
2022-11-11,1.42,83.16500000000002
2022-11-12,0.151,83.31600000000002
2022-11-13,0.152,83.46800000000002
2022-11-14,0,83.46800000000002
2022-11-15,0.736,84.20400000000002
2022-11-16,1.5229999999999997,85.72700000000002
2022-11-17,0,85.72700000000002
2022-11-18,0,85.72700000000002
2022-11-19,0,85.72700000000002
2022-11-20,0,85.72700000000002
2022-11-21,0,85.72700000000002
2022-11-22,0,85.72700000000002
2022-11-23,0,85.72700000000002
2022-11-24,0,85.72700000000002
2022-11-25,0.22599999999999998,85.95300000000002
2022-11-26,0,85.95300000000002
2022-11-27,1.1669999999999998,87.12000000000002
2022-11-28,0,87.12000000000002
2022-11-29,0,87.12000000000002
2022-11-30,0.557,87.67700000000002
2022-12-01,0,87.67700000000002
2022-12-02,0,87.67700000000002
2022-12-03,0.9880000000000002,88.66500000000002
2022-12-04,0,88.66500000000002
2022-12-05,0,88.66500000000002
2022-12-06,0.8080000000000002,89.47300000000003
2022-12-07,0.35300000000000004,89.82600000000002
2022-12-08,0,89.82600000000002
2022-12-09,0,89.82600000000002
2022-12-10,0,89.82600000000002
2022-12-11,0,89.82600000000002
2022-12-12,0,89.82600000000002
2022-12-13,0,89.82600000000002
2022-12-14,0,89.82600000000002
2022-12-15,5.614000000000002,95.44000000000003
2022-12-16,0.7290000000000004,96.16900000000003
2022-12-17,0,96.16900000000003
2022-12-18,0,96.16900000000003
2022-12-19,0,96.16900000000003
2022-12-20,0,96.16900000000003
2022-12-21,0,96.16900000000003
2022-12-22,1.7,97.86900000000003
2022-12-23,1.4699999999999998,99.33900000000003
2022-12-24,0,99.33900000000003
2022-12-25,0,99.33900000000003
2022-12-26,0,99.33900000000003
2022-12-27,0,99.33900000000003
2022-12-28,0,99.33900000000003
2022-12-29,0,99.33900000000003
2022-12-30,0,99.33900000000003
2022-12-31,0.5830000000000001,99.92200000000003
2023-01-01,0.277,100.19900000000003
2023-01-02,0,100.19900000000003
2023-01-03,0,100.19900000000003
2023-01-04,0,100.19900000000003
2023-01-05,0,100.19900000000003
2023-01-06,0,100.19900000000003
2023-01-07,0,100.19900000000003
2023-01-08,0,100.19900000000003
2023-01-09,0,100.19900000000003
2023-01-10,0,100.19900000000003
2023-01-11,0,100.19900000000003
2023-01-12,0.126,100.32500000000003
2023-01-13,0.32700000000000007,100.65200000000003
2023-01-14,0,100.65200000000003
2023-01-15,0,100.65200000000003
2023-01-16,0,100.65200000000003
2023-01-17,0.07500000000000001,100.72700000000003
2023-01-18,0.025,100.75200000000004
2023-01-19,0.151,100.90300000000003
2023-01-20,0.126,101.02900000000004
2023-01-21,0,101.02900000000004
2023-01-22,0.07500000000000001,101.10400000000004
2023-01-23,0.6790000000000004,101.78300000000004
2023-01-24,0,101.78300000000004
2023-01-25,1.4469999999999996,103.23000000000005
2023-01-26,0.227,103.45700000000005
2023-01-27,0,103.45700000000005
2023-01-28,0,103.45700000000005
2023-01-29,0,103.45700000000005
2023-01-30,0,103.45700000000005
2023-01-31,0.32600000000000007,103.78300000000004
2023-02-01,0.101,103.88400000000004
2023-02-02,0,103.88400000000004
2023-02-03,0,103.88400000000004
2023-02-04,0,103.88400000000004
2023-02-05,0,103.88400000000004
2023-02-06,0,103.88400000000004
2023-02-07,0,103.88400000000004
2023-02-08,0,103.88400000000004
2023-02-09,0,103.88400000000004
2023-02-10,0,103.88400000000004
2023-02-11,0,103.88400000000004
2023-02-12,0.9350000000000002,104.81900000000005
2023-02-13,1.2949999999999995,106.11400000000005
2023-02-14,0,106.11400000000005
2023-02-15,0,106.11400000000005
2023-02-16,0.507,106.62100000000005
2023-02-17,1.3179999999999996,107.93900000000005
2023-02-18,0,107.93900000000005
2023-02-19,0,107.93900000000005
2023-02-20,0,107.93900000000005
2023-02-21,0,107.93900000000005
2023-02-22,0.025,107.96400000000006
2023-02-23,0,107.96400000000006
2023-02-24,0,107.96400000000006
2023-02-25,0,107.96400000000006
2023-02-26,0,107.96400000000006
2023-02-27,0.127,108.09100000000005
2023-02-28,0.761,108.85200000000005
2023-03-01,0,108.85200000000005
2023-03-02,0,108.85200000000005
2023-03-03,0.403,109.25500000000005
2023-03-04,0.7070000000000001,109.96200000000005
2023-03-05,0,109.96200000000005
2023-03-06,0,109.96200000000005
2023-03-07,0,109.96200000000005
2023-03-08,0,109.96200000000005
2023-03-09,0,109.96200000000005
2023-03-10,0.405,110.36700000000005
2023-03-11,0.025,110.39200000000005
2023-03-12,0,110.39200000000005
2023-03-13,0.05,110.44200000000005
2023-03-14,0,110.44200000000005
2023-03-15,0,110.44200000000005
2023-03-16,0,110.44200000000005
2023-03-17,0,110.44200000000005
2023-03-18,0,110.44200000000005
2023-03-19,0,110.44200000000005
2023-03-20,0,110.44200000000005
2023-03-21,0,110.44200000000005
2023-03-22,0,110.44200000000005
2023-03-23,0,110.44200000000005
2023-03-24,0.5060000000000001,110.94800000000005
2023-03-25,1.2409999999999999,112.18900000000005
2023-03-26,0.025,112.21400000000006
2023-03-27,0,112.21400000000006
2023-03-28,0,112.21400000000006
2023-03-29,0,112.21400000000006
2023-03-30,0,112.21400000000006
2023-03-31,0,112.21400000000006
2023-04-01,0.7850000000000001,112.99900000000005
2023-04-02,0,112.99900000000005
2023-04-03,0,112.99900000000005
2023-04-04,0,112.99900000000005
2023-04-05,0,112.99900000000005
2023-04-06,0.863,113.86200000000005
2023-04-07,0.127,113.98900000000005
2023-04-08,0,113.98900000000005
2023-04-09,0,113.98900000000005
2023-04-10,0,113.98900000000005
2023-04-11,0,113.98900000000005
2023-04-12,0,113.98900000000005
2023-04-13,0,113.98900000000005
2023-04-14,0,113.98900000000005
2023-04-15,1.5999999999999999,115.58900000000004
2023-04-16,0,115.58900000000004
2023-04-17,0,115.58900000000004
2023-04-18,0,115.58900000000004
2023-04-19,0,115.58900000000004
2023-04-20,0,115.58900000000004
2023-04-21,0,115.58900000000004
2023-04-22,1.0659999999999998,116.65500000000004
2023-04-23,0.15,116.80500000000005
2023-04-24,0,116.80500000000005
2023-04-25,0,116.80500000000005
2023-04-26,0,116.80500000000005
2023-04-27,0,116.80500000000005
2023-04-28,4.620000000000001,121.42500000000005
2023-04-29,0.32700000000000007,121.75200000000005
2023-04-30,0.7590000000000003,122.51100000000005
2023-05-01,0,122.51100000000005
2023-05-02,0,122.51100000000005
2023-05-03,0.178,122.68900000000005
2023-05-04,0,122.68900000000005
2023-05-05,0,122.68900000000005
2023-05-06,0,122.68900000000005
2023-05-07,0.025,122.71400000000006
2023-05-08,0.025,122.73900000000006
2023-05-09,0.126,122.86500000000007
2023-05-10,0,122.86500000000007
2023-05-11,0,122.86500000000007
2023-05-12,0,122.86500000000007
2023-05-13,0.4300000000000001,123.29500000000007
2023-05-14,0.025,123.32000000000008
2023-05-15,0,123.32000000000008
2023-05-16,0,123.32000000000008
2023-05-17,0,123.32000000000008
2023-05-18,0,123.32000000000008
2023-05-19,0,123.32000000000008
2023-05-20,0,123.32000000000008
2023-05-21,0.30300000000000005,123.62300000000008
2023-05-22,0,123.62300000000008
2023-05-23,0,123.62300000000008
2023-05-24,0,123.62300000000008
2023-05-25,0,123.62300000000008
2023-05-26,0,123.62300000000008
2023-05-27,0,123.62300000000008
2023-05-28,0,123.62300000000008
2023-05-29,3.4250000000000007,127.04800000000007
2023-05-30,0.507,127.55500000000008
2023-05-31,0,127.55500000000008
2023-06-01,0,127.55500000000008
2023-06-02,0,127.55500000000008
2023-06-03,0,127.55500000000008
2023-06-04,0,127.55500000000008
2023-06-05,0,127.55500000000008
2023-06-06,0,127.55500000000008
2023-06-07,0,127.55500000000008
2023-06-08,0,127.55500000000008
2023-06-09,0,127.55500000000008
2023-06-10,0,127.55500000000008
2023-06-11,0,127.55500000000008
2023-06-12,0.558,128.11300000000008
2023-06-13,0,128.11300000000008
2023-06-14,0,128.11300000000008
2023-06-15,0,128.11300000000008
2023-06-16,0,128.11300000000008
2023-06-17,0,128.11300000000008
2023-06-18,0,128.11300000000008
2023-06-19,0,128.11300000000008
2023-06-20,0,128.11300000000008
2023-06-21,2.2059999999999995,130.31900000000007
2023-06-22,0.125,130.44400000000007
2023-06-23,1.139,131.58300000000008
2023-06-24,1.677,133.26000000000008
2023-06-25,0.025,133.28500000000008
2023-06-26,0,133.28500000000008
2023-06-27,1.8769999999999998,135.1620000000001
2023-06-28,0.176,135.33800000000008
2023-06-29,0,135.33800000000008
2023-06-30,0.686,136.0240000000001
2023-07-01,0.025,136.0490000000001
2023-07-02,0,136.0490000000001
2023-07-03,0.025,136.0740000000001
2023-07-04,0.126,136.2000000000001
2023-07-05,0,136.2000000000001
2023-07-06,0,136.2000000000001
2023-07-07,0,136.2000000000001
2023-07-08,0,136.2000000000001
2023-07-09,3.276,139.4760000000001
2023-07-10,0,139.4760000000001
2023-07-11,0,139.4760000000001
2023-07-12,0,139.4760000000001
2023-07-13,0,139.4760000000001
2023-07-14,0,139.4760000000001
2023-07-15,0,139.4760000000001
2023-07-16,0.9620000000000001,140.4380000000001
2023-07-17,0,140.4380000000001
2023-07-18,0,140.4380000000001
2023-07-19,2.3349999999999995,142.7730000000001
2023-07-20,0,142.7730000000001
2023-07-21,1.4719999999999998,144.24500000000012
2023-07-22,0,144.24500000000012
2023-07-23,0,144.24500000000012
2023-07-24,1.626,145.87100000000012
2023-07-25,3.276,149.14700000000013
2023-07-26,0,149.14700000000013
2023-07-27,0,149.14700000000013
2023-07-28,0,149.14700000000013
2023-07-29,2.362,151.50900000000013
2023-07-30,0,151.50900000000013
2023-07-31,1.5739999999999998,153.08300000000014
2023-08-01,0,153.08300000000014
2023-08-02,0,153.08300000000014
2023-08-03,0,153.08300000000014
2023-08-04,0.20099999999999998,153.28400000000013
2023-08-05,0,153.28400000000013
2023-08-06,0,153.28400000000013
2023-08-07,3.581,156.86500000000012
2023-08-08,1.4469999999999998,158.31200000000013
2023-08-09,0,158.31200000000013
2023-08-10,0.102,158.41400000000013
2023-08-11,0,158.41400000000013
2023-08-12,0,158.41400000000013
2023-08-13,0,158.41400000000013
2023-08-14,2.032,160.44600000000014
2023-08-15,1.9049999999999998,162.35100000000014
2023-08-16,0,162.35100000000014
2023-08-17,0,162.35100000000014
2023-08-18,0.101,162.45200000000014
2023-08-19,0,162.45200000000014
2023-08-20,0,162.45200000000014
2023-08-21,0,162.45200000000014
2023-08-22,0,162.45200000000014
2023-08-23,0,162.45200000000014
2023-08-24,0,162.45200000000014
2023-08-25,0,162.45200000000014
2023-08-26,0.152,162.60400000000013
2023-08-27,0,162.60400000000013
2023-08-28,0,162.60400000000013
2023-08-29,0,162.60400000000013
2023-08-30,0,162.60400000000013
2023-08-31,0,162.60400000000013
2023-09-01,0,162.60400000000013
2023-09-02,0,162.60400000000013
2023-09-03,0,162.60400000000013
2023-09-04,0,162.60400000000013
2023-09-05,0,162.60400000000013
2023-09-06,0,162.60400000000013
2023-09-07,0,162.60400000000013
2023-09-08,0,162.60400000000013
2023-09-09,1.244,163.84800000000013
2023-09-10,0.4300000000000001,164.27800000000013
2023-09-11,1.117,165.39500000000012
2023-09-12,0,165.39500000000012
2023-09-13,0,165.39500000000012
2023-09-14,0,165.39500000000012
2023-09-15,0,165.39500000000012
2023-09-16,0,165.39500000000012
2023-09-17,0.025,165.42000000000013
2023-09-18,1.065,166.48500000000013
2023-09-19,0,166.48500000000013
2023-09-20,0,166.48500000000013
2023-09-21,0,166.48500000000013
2023-09-22,0,166.48500000000013
2023-09-23,4.796000000000002,171.28100000000012
2023-09-24,1.4699999999999998,172.75100000000012
2023-09-25,0.076,172.8270000000001
2023-09-26,0.42700000000000016,173.2540000000001
2023-09-27,0,173.2540000000001
2023-09-28,0,173.2540000000001
2023-09-29,0,173.2540000000001
2023-09-30,0,173.2540000000001
2023-10-01,0,173.2540000000001
2023-10-02,0,173.2540000000001
2023-10-03,0,173.2540000000001
2023-10-04,0,173.2540000000001
2023-10-05,0,173.2540000000001
2023-10-06,0.228,173.4820000000001
2023-10-07,0.303,173.7850000000001
2023-10-08,0,173.7850000000001
2023-10-09,0,173.7850000000001
2023-10-10,0,173.7850000000001
2023-10-11,0,173.7850000000001
2023-10-12,0,173.7850000000001
2023-10-13,0,173.7850000000001
2023-10-14,1.3449999999999993,175.1300000000001
2023-10-15,0.9370000000000003,176.06700000000012
