date,plot,n,mean_doc_mg_l,sd_doc_mg_l,se_doc_mg_l,effect_percent
2022-06-13,Control,3,12.723333333333333,5.607043189893701,3.2372278950429862,0.0
2022-06-13,Freshwater,5,11.456,1.6430094339351804,0.7347761563905026,-9.960702122085406
2022-06-13,Saltwater,5,15.943999999999999,5.800088792423784,2.5938785630788495,25.313073094052918
2022-06-24,Control,6,20.325,4.869721757965233,1.9880555827239843,0.0
2022-06-24,Freshwater,10,11.322,3.279691042359529,1.0371293715507883,-44.29520295202952
2022-06-24,Saltwater,10,10.53,3.6009967755855845,1.138735165777266,-48.19188191881919
2022-08-08,Control,10,15.43,3.9286610667984303,1.2423517125909949,0.0
2022-08-08,Freshwater,9,13.653333333333332,3.0590848304680924,1.019694943489364,-11.514365953769717
2022-08-08,Saltwater,8,31.2025,23.33045021303398,8.24855977688573,102.21970187945561
