date,plot,grid,sample_name,evacuation_datetime,collection_datetime,tz,doc_mg_l,doc_flag
2022-06-24,Freshwater,F4,TMP_FW_F4_T4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,EDT,11.22,NA
2022-06-24,Freshwater,F6,TMP_FW_F6_T4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,EDT,13.74,NA
2022-06-24,Saltwater,H3,TMP_SW_H3_T4,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,EDT,5.83,NA
2022-06-24,Freshwater,C6,TMP_FW_C6_T4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,EDT,7.03,NA
2022-06-24,Saltwater,I5,TMP_SW_I5_T4,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,EDT,15.9,NA
2022-06-24,Freshwater,H6,TMP_FW_H6_T4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,EDT,10.37,NA
2022-06-24,Control,F6,TMP_C_F6_T4,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,EDT,19.97,NA
2022-06-24,Freshwater,D5,TMP_FW_D5_T4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,EDT,8.09,NA
2022-06-24,Control,H6,TMP_C_H6_T4,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,EDT,21.31,NA
2022-06-24,Saltwater,C6,TMP_SW_C6_T4,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,EDT,10.46,NA
2022-06-24,Freshwater,B4,TMP_FW_B4_T4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,EDT,9.79,NA
2022-06-24,Control,H3,TMP_C_H3_T4,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,EDT,22.94,NA
2022-06-24,Freshwater,E3,TMP_FW_E3_T4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,EDT,10.51,NA
2022-06-24,Saltwater,C3,TMP_SW_C3_T4,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,EDT,14.34,NA
2022-06-24,Saltwater,F6,TMP_SW_F6_T4,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,EDT,5.81,NA
2022-08-08,Control,H3,TMP_C_H3_20220808,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,EDT,20.09,NA
2022-08-08,Control,H6,TMP_C_H6_20220808,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,EDT,15.89,NA
2022-08-08,Control,B4,TMP_C_B4_20220808,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,EDT,10.61,NA
2022-08-08,Control,D5,TMP_C_D5_20220808,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,EDT,11.37,NA
2022-08-08,Control,E3,TMP_C_E3_20220808,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,EDT,12.71,NA
2022-08-08,Control,F6,TMP_C_F6_20220808,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,EDT,15.7,NA
2022-08-08,Control,I5,TMP_C_I5_20220808,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,EDT,23.39,NA
2022-08-08,Control,C3,TMP_C_C3_20220808,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,EDT,16.66,NA
2022-08-08,Control,C6,TMP_C_C6_20220808,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,EDT,13.45,NA
2022-08-08,Control,F4,TMP_C_F4_20220808,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,EDT,14.43,NA
2022-08-08,Freshwater,C3,TMP_FW_C3_20220808,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,EDT,14.84,NA
2022-08-08,Freshwater,C6,TMP_FW_C6_20220808,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,EDT,9.31,NA
2022-08-08,Freshwater,F4,TMP_FW_F4_20220808,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,EDT,14.67,NA
2022-08-08,Freshwater,H3,TMP_FW_H3_20220808,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,EDT,11.59,NA
2022-08-08,Freshwater,H6,TMP_FW_H6_20220808,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,EDT,14.9,NA
2022-08-08,Freshwater,B4,TMP_FW_B4_20220808,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,EDT,12.08,NA
2022-08-08,Freshwater,D5,TMP_FW_D5_20220808,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,EDT,18.81,NA
2022-08-08,Freshwater,E3,TMP_FW_E3_20220808,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,EDT,10.3,NA
2022-08-08,Freshwater,I5,TMP_FW_I5_20220808,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,EDT,16.38,NA
2022-08-08,Saltwater,F4,TMP_SW_F4_20220808,2022-08-05T16:55:00Z,2022-08-08T17:56:00Z,EDT,33.7,NA
2022-08-08,Saltwater,H6,TMP_SW_H6_20220808,2022-08-05T16:55:00Z,2022-08-08T17:56:00Z,EDT,38.01,NA
2022-08-08,Saltwater,B4,TMP_SW_B4_20220808,2022-08-05T16:55:00Z,2022-08-08T17:56:00Z,EDT,84.9,NA
2022-08-08,Saltwater,D5,TMP_SW_D5_20220808,2022-08-05T16:55:00Z,2022-08-08T17:56:00Z,EDT,24.83,NA
2022-08-08,Saltwater,F6,TMP_SW_F6_20220808,2022-08-05T16:55:00Z,2022-08-08T17:56:00Z,EDT,12.87,NA
2022-08-08,Saltwater,I5,TMP_SW_I5_20220808,2022-08-05T16:55:00Z,2022-08-08T17:56:00Z,EDT,20.27,NA
2022-08-08,Saltwater,C3,TMP_SW_C3_20220808,2022-08-05T16:55:00Z,2022-08-08T17:56:00Z,EDT,16.19,NA
2022-08-08,Saltwater,E3,TMP_SW_E3_20220808,2022-08-05T15:59:00Z,2022-08-08T15:59:00Z,EDT,18.85,NA
