date,plot,grid,sample_name,evacuation_datetime,collection_datetime,tz,doc_mg_l,doc_flag
2022-06-13,Freshwater,I5,TMP_FW_PW_I5_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,12.73,NA
2022-06-13,Saltwater,E3,TMP_SW_PW_E3_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,9.96,NA
2022-06-13,Freshwater,F4,TMP_FW_PW_F4_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,10.91,NA
2022-06-13,Control,B4,TMP_C_PW_B4_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,10.19,NA
2022-06-13,Saltwater,I5,TMP_SW_PW_I5_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,14.77,NA
2022-06-13,Saltwater,B4,TMP_SW_PW_B4_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,20.02,NA
2022-06-13,Control,C6,TMP_C_PW_C6_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,8.83,NA
2022-06-13,Saltwater,C3,TMP_SW_PW_C3_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,23.65,NA
2022-06-13,Freshwater,C3,TMP_FW_PW_C3_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,10.55,NA
2022-06-13,Control,I5,TMP_C_PW_I5_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,19.15,NA
2022-06-13,Saltwater,D5,TMP_SW_PW_D5_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,11.32,NA
2022-06-13,Freshwater,H6,TMP_FW_PW_H6_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,13.55,NA
2022-06-13,Freshwater,D5,TMP_FW_PW_D5_15cm_20220613,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,9.54,NA
2022-06-24,Freshwater,I5,TMP_FW_I5_T4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,EDT,14.52,NA
2022-06-24,Control,I5,TMP_C_I5_T4,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,EDT,26.29,NA
2022-06-24,Control,D5,TMP_C_D5_T4,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,EDT,19.76,NA
2022-06-24,Freshwater,H3,TMP_FW_H3_T4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,EDT,9.86,NA
2022-06-24,Saltwater,B4,TMP_SW_B4_T4,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,EDT,8.94,NA
2022-06-24,Saltwater,F4,TMP_SW_F4_T4,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,EDT,14.84,NA
2022-06-24,Control,E3,TMP_C_E3_T4,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,EDT,11.68,NA
2022-06-24,Freshwater,C3,TMP_FW_C3_T4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,EDT,18.09,NA
2022-06-24,Saltwater,E3,TMP_SW_E3_T4,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,EDT,7.79,NA
2022-06-24,Saltwater,D5,TMP_SW_D5_T4,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,EDT,11.09,NA
2022-06-24,Saltwater,H6,TMP_SW_H6_T4,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,EDT,10.3,NA
