adj_month,year,plot,doc_mg_l_mean,doc_mg_l_sd,tdn_mg_l_mean,tdn_mg_l_sd,month,mean_monthly_precip_cm,stamp
0,2022,Control,12.16625,4.569566901432418,0.509375,0.13675860728548922,5,0.37548387096774194,2022-05-01
0,2022,Freshwater,10.692307692307692,3.1787291848739225,0.46692307692307694,0.1965699457947313,5,0.37548387096774194,2022-05-01
0,2022,Saltwater,16.84625,5.015484416142813,0.795,0.3737072956969704,5,0.37548387096774194,2022-05-01
1,2022,Control,20.09,4.638299257270924,0.730909090909091,0.26879191005142045,6,0.33333333333333337,2022-06-01
1,2022,Freshwater,9.794857142857143,4.995826123421649,0.37942857142857145,0.2728600466210046,6,0.33333333333333337,2022-06-01
1,2022,Saltwater,9.365,3.6903273742355513,0.7159375,0.41729435248143876,6,0.33333333333333337,2022-06-01
2,2022,Control,14.298571428571428,4.748945246302694,0.7628571428571429,0.41847796778780305,7,0.6835483870967742,2022-07-01
2,2022,Freshwater,11.096666666666666,2.532727120450734,0.7316666666666667,0.3896879093154761,7,0.6835483870967742,2022-07-01
2,2022,Saltwater,21.30375,26.984421927951587,1.465,1.6810116001979285,7,0.6835483870967742,2022-07-01
3,2022,Control,15.43,3.9286610667984303,0.7,0.3914644868240853,8,0.2864516129032258,2022-08-01
3,2022,Freshwater,13.653333333333332,3.0590848304680924,0.7122222222222222,0.45993960956243424,8,0.2864516129032258,2022-08-01
3,2022,Saltwater,36.96666666666667,27.844240427779674,1.2577777777777779,0.7663676953293663,8,0.2864516129032258,2022-08-01
4,2022,Control,17.335,5.905003810328999,1.0516666666666667,1.0937169042611834,9,0.164,2022-09-01
4,2022,Freshwater,16.829,5.477145343252369,0.919,0.7212096320303365,9,0.164,2022-09-01
4,2022,Saltwater,46.29714285714286,27.864580093902795,1.7871428571428571,0.892182983580429,9,0.164,2022-09-01
5,2022,Control,12.947142857142858,4.074922143574092,0.3985714285714286,0.11596386957849866,10,0.43580645161290327,2022-10-01
5,2022,Freshwater,13.85125,3.6022589638804625,0.47875,0.17471916241295835,10,0.43580645161290327,2022-10-01
5,2022,Saltwater,47.362857142857145,30.059643884720103,1.66,1.2921042269621026,10,0.43580645161290327,2022-10-01
6,2022,Control,12.02,4.6218054604543575,0.41500000000000004,0.1804755622554715,11,0.22633333333333336,2022-11-01
6,2022,Freshwater,13.442857142857143,3.003002465787168,0.51,0.10115993936995678,11,0.22633333333333336,2022-11-01
6,2022,Saltwater,39.861666666666665,14.78134150429746,1.175,0.23839043604977112,11,0.22633333333333336,2022-11-01
7,2022,Control,16.1,NA,0.46,NA,12,0.3887096774193549,2022-12-01
