Date,Time,Site,Unit ID,User ID,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,FNU,TSS mg/L,Chl ug/L,PE ug/L,PC ug/L,DEP m
6/6/23,5:01:51,<None>,,,15.4,757.1,101.5,10.13,121.1,7.42,575,3.73,0,,,,0.313
sep=,,,,,,,,,,,,,,,,,
3/29/24,13:16:07,<None>,,,10.9,746.9,97.3,10.76,7.1,7.68,208.3,11.65,0,,,,0.269
sep=,,,,,,,,,,,,,,,,,
6/6/23,5:04:06,<None>,,,15.2,757.1,102.4,10.29,118.2,7.46,635.4,3.8,0,,,,0.314
6/6/23,5:09:06,<None>,,,17.9,757.1,103.7,9.84,112.8,7.73,661.5,3.38,0,,,,0.312
6/6/23,5:14:06,<None>,,,18.8,757.1,109.9,10.23,112.1,8.01,638.7,3.42,0,,,,0.312
6/6/23,5:19:06,<None>,,,19,757.1,111.8,10.36,112,7.97,634.9,3.45,0,,,,0.313
6/6/23,5:24:06,<None>,,,19.1,757,113.5,10.51,112,7.98,648.2,3.45,0,,,,0.313
6/6/23,5:29:06,<None>,,,19.1,757,113,10.45,112.1,7.99,645.9,3.46,0,,,,0.313
6/6/23,5:34:06,<None>,,,19.2,757.1,112,10.34,112,8,650.5,3.48,0,,,,0.313
6/6/23,5:39:06,<None>,,,19.1,757.1,110.8,10.25,112.1,8,653.7,3.51,0,,,,0.314
6/6/23,5:44:06,<None>,,,19.2,757,109.6,10.13,112.2,8.03,653.8,3.51,0,,,,0.314
6/6/23,5:49:06,<None>,,,19.2,757.1,108.9,10.06,112.1,8.05,652.2,3.54,0,,,,0.311
6/6/23,5:54:06,<None>,,,19.1,757,105.4,9.75,112.1,8.04,653.8,3.51,0,,,,0.313
6/6/23,5:59:06,<None>,,,19.1,756.9,102.5,9.48,112.1,8.06,655.5,3.51,0,,,,0.311
6/6/23,6:04:06,<None>,,,19.2,757,101.5,9.38,112.2,8.07,656.6,3.57,0,,,,0.312
6/6/23,6:09:06,<None>,,,19.3,756.9,101.6,9.36,112.2,8.08,656.2,3.52,0,,,,0.311
6/6/23,6:14:06,<None>,,,19.4,757,101.7,9.36,112.2,8.07,656.1,3.56,0,,,,0.311
6/6/23,6:19:06,<None>,,,19.5,757.1,101.5,9.32,112.4,8.08,658.9,3.57,0,,,,0.313
6/6/23,6:24:06,<None>,,,19.6,756.9,101.9,9.33,112.6,8.12,660.7,3.49,0,,,,0.312
6/6/23,6:29:06,<None>,,,19.5,756.9,102,9.36,112.6,8.14,661.2,3.51,0,,,,0.312
6/6/23,6:34:06,<None>,,,19.5,756.9,101.9,9.35,112.6,8.15,661.2,3.35,0,,,,0.31
6/6/23,6:39:06,<None>,,,19.6,756.9,101.8,9.33,112.6,8.15,660.9,3.25,0,,,,0.311
6/6/23,6:44:06,<None>,,,19.7,756.9,101.7,9.3,112.6,8.15,660.4,3.22,0,,,,0.311
