sample_name,rundate,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,date,Event,Plot,Grid,Pool_Timepoint,time
TMP_FW_C3_20221128,20221209,15.94,0.52,NA,NA,2022-11-28T05:00:00Z,TMP,FW,C3,NA,NA
TMP_FW_D5_20221128,20221209,15.13,0.43,NA,NA,2022-11-28T05:00:00Z,TMP,FW,D5,NA,NA
TMP_FW_H3_20221128,20221209,9.01,0.34,NA,NA,2022-11-28T05:00:00Z,TMP,FW,H3,NA,NA
TMP_FW_I5_20221128,20221209,15.15,0.58,NA,NA,2022-11-28T05:00:00Z,TMP,FW,I5,NA,NA
TMP_FW_E3_20221128,20221209,10.03,0.48,NA,NA,2022-11-28T05:00:00Z,TMP,FW,E3,NA,NA
TMP_FW_H6_20221128,20221209,16.53,0.62,NA,NA,2022-11-28T05:00:00Z,TMP,FW,H6,NA,NA
TMP_C_E3_20221128,20221209,8.79,0.32,NA,NA,2022-11-28T05:00:00Z,TMP,C,E3,NA,NA
TMP_C_H6_20221128,20221209,15.01,0.46,NA,NA,2022-11-28T05:00:00Z,TMP,C,H6,NA,NA
TMP_C_I5_20221128,20221209,15.72,0.47,NA,NA,2022-11-28T05:00:00Z,TMP,C,I5,NA,NA
TMP_C_F4_20221128,20221209,14.55,0.42,NA,NA,2022-11-28T05:00:00Z,TMP,C,F4,NA,NA
TMP_C_C6_20221128,20221209,8.28,0.28,NA,NA,2022-11-28T05:00:00Z,TMP,C,C6,NA,NA
TMP_C_C3_20221201,20221209,16.1,0.46,NA,NA,2022-12-01T05:00:00Z,TMP,C,C3,NA,NA
TMP_C_D5_20221128,20221209,7.13,0.32,NA,NA,2022-11-28T05:00:00Z,TMP,C,D5,NA,NA
TMP_C_H3_20221128,20221209,19.2,0.81,NA,NA,2022-11-28T05:00:00Z,TMP,C,H3,NA,NA
TMP_C_POOL_20221128,20221209,14.49,0.53,pooled sample,pooled sample,2022-11-28T05:00:00Z,TMP,C,POOL,20221128_20221201,NA
TMP_FW_POOL_20221128,20221209,14.01,0.48,pooled sample,pooled sample,2022-11-28T05:00:00Z,TMP,FW,POOL,20221128_20221201,NA
TMP_SW_POOL_20221128,20221209,43.13,1.25,pooled sample,pooled sample,2022-11-28T05:00:00Z,TMP,SW,POOL,20221128_20221201,NA
TMP_SW_C6_20221201,20221209,44.24,3.32,NA,NA,2022-12-01T05:00:00Z,TMP,SW,C6,NA,NA
TMP_SW_E3_20221201,20221209,37.11,1.15,NA,NA,2022-12-01T05:00:00Z,TMP,SW,E3,NA,NA
TMP_SW_H6_20221128,20221209,28.31,0.91,NA,NA,2022-11-28T05:00:00Z,TMP,SW,H6,NA,NA
TMP_SW_C3_20221128,20221209,23.28,0.94,NA,NA,2022-11-28T05:00:00Z,TMP,SW,C3,NA,NA
TMP_SW_D5_20221128,20221209,43.48,1.24,NA,NA,2022-11-28T05:00:00Z,TMP,SW,D5,NA,NA
TMP_SW_H3_20221128,20221209,35.85,1.08,NA,NA,2022-11-28T05:00:00Z,TMP,SW,H3,NA,NA
TMP_SW_F6_20221128,20221209,42.99,1.39,NA,NA,2022-11-28T05:00:00Z,TMP,SW,F6,NA,NA
TMP_C_C6_20230202,20230209,8.27,0.27,NA,NA,2023-02-02T05:00:00Z,TMP,C,C6,NA,NA
TMP_C_H3_20230206,20230209,14.7,0.42,NA,NA,2023-02-06T05:00:00Z,TMP,C,H3,NA,NA
TMP_C_H6_20230202,20230209,11.4,0.39,NA,NA,2023-02-02T05:00:00Z,TMP,C,H6,NA,NA
TMP_C_D5_20230202,20230209,7.77,0.29,NA,NA,2023-02-02T05:00:00Z,TMP,C,D5,NA,NA
TMP_C_E3_20230202,20230209,8.63,0.3,NA,NA,2023-02-02T05:00:00Z,TMP,C,E3,NA,NA
TMP_C_F6_20230202,20230209,14.28,0.47,NA,NA,2023-02-02T05:00:00Z,TMP,C,F6,NA,NA
TMP_C_I5_20230202,20230209,14.91,0.41,NA,NA,2023-02-02T05:00:00Z,TMP,C,I5,NA,NA
TMP_C_POOL_20230202,20230209,12.26,0.42,pooled sample,pooled sample,2023-02-02T05:00:00Z,TMP,C,POOL,NA,NA
TMP_FW_C3_20230202,20230209,12.3,0.48,NA,NA,2023-02-02T05:00:00Z,TMP,FW,C3,NA,NA
TMP_FW_C6_20230202,20230209,7.2,0.39,NA,NA,2023-02-02T05:00:00Z,TMP,FW,C6,NA,NA
TMP_FW_H3_20230202,20230209,8.89,0.34,NA,NA,2023-02-02T05:00:00Z,TMP,FW,H3,NA,NA
TMP_FW_H6_20230202,20230209,11.86,1.71,NA,NA,2023-02-02T05:00:00Z,TMP,FW,H6,NA,NA
TMP_FW_D5_20230202,20230209,10.41,0.35,NA,NA,2023-02-02T05:00:00Z,TMP,FW,D5,NA,NA
TMP_FW_E3_20230206,20230209,10.96,1.31,NA,NA,2023-02-06T05:00:00Z,TMP,FW,E3,NA,NA
TMP_FW_F6_20230202,20230209,13.77,0.64,NA,NA,2023-02-02T05:00:00Z,TMP,FW,F6,NA,NA
TMP_FW_I5_20230202,20230209,13.09,0.58,NA,NA,2023-02-02T05:00:00Z,TMP,FW,I5,NA,NA
TMP_FW_POOL_20230202,20230209,10.75,0.71,pooled sample,pooled sample,2023-02-02T05:00:00Z,TMP,FW,POOL,NA,NA
TMP_SW_C3_20230202,20230209,45.24,1.47,NA,NA,2023-02-02T05:00:00Z,TMP,SW,C3,NA,NA
TMP_SW_C6_20230202,20230209,39.86,1.82,NA,NA,2023-02-02T05:00:00Z,TMP,SW,C6,NA,NA
TMP_SW_F4_20230202,20230209,20.21,1.72,NA,NA,2023-02-02T05:00:00Z,TMP,SW,F4,NA,NA
TMP_SW_H3_20230206,20230209,24.3,0.95,NA,NA,2023-02-06T05:00:00Z,TMP,SW,H3,NA,NA
TMP_SW_H6_20230202,20230209,19.65,0.76,NA,NA,2023-02-02T05:00:00Z,TMP,SW,H6,NA,NA
TMP_SW_D5_20230202,20230209,52.63,1.54,NA,NA,2023-02-02T05:00:00Z,TMP,SW,D5,NA,NA
TMP_SW_E3_20230202,20230209,40.1,1.33,NA,NA,2023-02-02T05:00:00Z,TMP,SW,E3,NA,NA
TMP_SW_F6_20230202,20230209,42.55,1.45,NA,NA,2023-02-02T05:00:00Z,TMP,SW,F6,NA,NA
TMP_SW_I5_20230206,20230209,85.4,3.13,NA,NA,2023-02-06T05:00:00Z,TMP,SW,I5,NA,NA
TMP_SW_POOL_20230202,20230209,52.75,1.87,pooled sample,pooled sample,2023-02-02T05:00:00Z,TMP,SW,POOL,NA,NA
TMP_C_I5_20230417,20230512,15.83,0.82,NA,NA,2023-04-17T05:00:00Z,TMP,C,I5,NA,NA
TMP_C_H6_20230417,20230512,12.12,0.47,NA,NA,2023-04-17T05:00:00Z,TMP,C,H6,NA,NA
TMP_C_H3_20230417,20230512,17.32,0.73,NA,NA,2023-04-17T05:00:00Z,TMP,C,H3,NA,NA
TMP_C_C6_20230417,20230512,8.4,0.34,NA,NA,2023-04-17T05:00:00Z,TMP,C,C6,NA,NA
TMP_C_POOL_20230417,20230512,12.18,0.55,pooled sample,pooled sample,2023-04-17T05:00:00Z,TMP,C,POOL,NA,NA
TMP_FW_C3_20230417,20230512,13.39,0.59,NA,NA,2023-04-17T05:00:00Z,TMP,FW,C3,NA,NA
TMP_FW_H6_20230417,20230512,12.89,0.6,NA,NA,2023-04-17T05:00:00Z,TMP,FW,H6,NA,NA
TMP_FW_D5_20230417,20230512,10.7,0.37,NA,NA,2023-04-17T05:00:00Z,TMP,FW,D5,NA,NA
TMP_FW_I5_20230417,20230512,12.43,0.47,NA,NA,2023-04-17T05:00:00Z,TMP,FW,I5,NA,NA
TMP_FW_H3_20230417,20230512,8.59,0.32,NA,NA,2023-04-17T05:00:00Z,TMP,FW,H3,NA,NA
TMP_FW_C6_20230417,20230512,12.22,2.54,NA,NA,2023-04-17T05:00:00Z,TMP,FW,C6,NA,NA
TMP_FW_POOL_20230417,20230512,11.14,0.49,pooled sample,pooled sample,2023-04-17T05:00:00Z,TMP,FW,POOL,NA,NA
TMP_SW_F6_20230417,20230512,42.05,1.4,NA,NA,2023-04-17T05:00:00Z,TMP,SW,F6,NA,NA
TMP_SW_C6_20230417,20230512,34.28,1.19,NA,NA,2023-04-17T05:00:00Z,TMP,SW,C6,NA,NA
TMP_SW_D5_20230417,20230512,58,1.72,NA,NA,2023-04-17T05:00:00Z,TMP,SW,D5,NA,NA
TMP_SW_E3_20230417,20230512,42.35,1.35,NA,NA,2023-04-17T05:00:00Z,TMP,SW,E3,NA,NA
TMP_SW_C3_20230417,20230512,53.19,1.59,NA,NA,2023-04-17T05:00:00Z,TMP,SW,C3,NA,NA
TMP_SW_H6_20230417,20230512,36.41,1.08,NA,NA,2023-04-17T05:00:00Z,TMP,SW,H6,NA,NA
TMP_SW_POOL_20230417,20230512,45.66,1.48,pooled sample,pooled sample,2023-04-17T05:00:00Z,TMP,SW,POOL,NA,NA
TMP_C_I5_20230515,20230531,15.39,0.48,NA,NA,2023-05-15T05:00:00Z,TMP,C,I5,NA,NA
TMP_C_F6_20230515,20230531,15.58,0.41,NA,NA,2023-05-15T05:00:00Z,TMP,C,F6,NA,NA
TMP_C_E3_20230515,20230531,9.92,0.48,NA,NA,2023-05-15T05:00:00Z,TMP,C,E3,NA,NA
TMP_C_C6_20230515,20230531,9.93,0.32,NA,NA,2023-05-15T05:00:00Z,TMP,C,C6,NA,NA
TMP_C_H6_20230515,20230531,14.55,0.5,NA,NA,2023-05-15T05:00:00Z,TMP,C,H6,NA,NA
TMP_C_POOL_20230515,20230531,21.09,0.72,pooled sample,pooled sample,2023-05-15T05:00:00Z,TMP,C,POOL,NA,NA
TMP_FW_C6_20230515,20230531,7.45,0.34,NA,NA,2023-05-15T05:00:00Z,TMP,FW,C6,NA,NA
TMP_FW_D5_20230515,20230531,11.23,0.35,NA,NA,2023-05-15T05:00:00Z,TMP,FW,D5,NA,NA
TMP_FW_I5_20230515,20230531,11.96,0.42,NA,NA,2023-05-15T05:00:00Z,TMP,FW,I5,NA,NA
TMP_FW_E3_20230515,20230531,6.88,0.26,NA,NA,2023-05-15T05:00:00Z,TMP,FW,E3,NA,NA
TMP_FW_H6_20230515,20230531,12.36,0.52,NA,NA,2023-05-15T05:00:00Z,TMP,FW,H6,NA,NA
TMP_FW_C3_20230515,20230531,7.51,0.29,NA,NA,2023-05-15T05:00:00Z,TMP,FW,C3,NA,NA
TMP_FW_H3_20230515,20230531,9.76,0.68,NA,NA,2023-05-15T05:00:00Z,TMP,FW,H3,NA,NA
TMP_FW_F6_20230515,20230531,14.77,0.37,NA,NA,2023-05-15T05:00:00Z,TMP,FW,F6,NA,NA
TMP_FW_POOL_20230515,20230531,10.83,0.44,pooled sample,pooled sample,2023-05-15T05:00:00Z,TMP,FW,POOL,NA,NA
TMP_SW_F6_20230515,20230531,50.96,1.67,NA,NA,2023-05-15T05:00:00Z,TMP,SW,F6,NA,NA
TMP_SW_H3_20230515,20230531,24.18,0.84,NA,NA,2023-05-15T05:00:00Z,TMP,SW,H3,NA,NA
TMP_SW_C3_20230515,20230531,53.12,1.41,NA,NA,2023-05-15T05:00:00Z,TMP,SW,C3,NA,NA
TMP_SW_H6_20230515,20230531,27.36,0.67,NA,NA,2023-05-15T05:00:00Z,TMP,SW,H6,NA,NA
TMP_SW_POOL_20230515,20230531,45.91,1.5,pooled sample,pooled sample,2023-05-15T05:00:00Z,TMP,SW,POOL,NA,NA
TMP_SW_H3_20220721,20220803,86.27,2.94,NA,NA,2022-07-21T05:00:00Z,TMP,SW,H3,NA,NA
