sample_name,rundate,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,date,Event,Plot,Grid,Pool_Timepoint,time
TMP_C_D5_20220915,20220922,11.13,0.6,NA,NA,2022-09-15T05:00:00Z,TMP,C,D5,NA,NA
TMP_C_H6_20220912,20220922,25,0.84,NA,NA,2022-09-12T05:00:00Z,TMP,C,H6,NA,NA
TMP_C_H3_20220915,20220922,23.46,3.27,NA,value above cal curve,2022-09-15T05:00:00Z,TMP,C,H3,NA,NA
TMP_C_C6_20220912,20220922,17.31,0.59,NA,NA,2022-09-12T05:00:00Z,TMP,C,C6,NA,NA
TMP_C_I5_20220915,20220922,15.9,0.49,NA,NA,2022-09-15T05:00:00Z,TMP,C,I5,NA,NA
TMP_C_E3_20220912,20220922,11.21,0.52,NA,NA,2022-09-12T05:00:00Z,TMP,C,E3,NA,NA
TMP_C_POOL_20220912,20220922,18.37,1.16,pooled sample,pooled sample,2022-09-12T05:00:00Z,TMP,C,POOL,20220912_20220915,NA
TMP_FW_I5_20220915,20220922,22.43,0.8,NA,NA,2022-09-15T05:00:00Z,TMP,FW,I5,NA,NA
TMP_FW_E3_20220915,20220922,8.16,0.4,NA,NA,2022-09-15T05:00:00Z,TMP,FW,E3,NA,NA
TMP_FW_H6_20220912,20220922,20.45,0.79,NA,NA,2022-09-12T05:00:00Z,TMP,FW,H6,NA,NA
TMP_FW_C3_20220915,20220922,21.35,0.72,NA,NA,2022-09-15T05:00:00Z,TMP,FW,C3,NA,NA
TMP_FW_C6_20220915,20220922,8.6,0.37,NA,NA,2022-09-15T05:00:00Z,TMP,FW,C6,NA,NA
TMP_FW_F6_20220915,20220922,16.19,0.76,NA,NA,2022-09-15T05:00:00Z,TMP,FW,F6,NA,NA
TMP_FW_F4_20220915,20220922,13.3,0.75,NA,NA,2022-09-15T05:00:00Z,TMP,FW,F4,NA,NA
TMP_FW_I5_20220912,20220922,23.83,1.16,NA,NA,2022-09-12T05:00:00Z,TMP,FW,I5,NA,NA
TMP_FW_D5_20220915,20220922,17.36,0.57,NA,NA,2022-09-15T05:00:00Z,TMP,FW,D5,NA,NA
TMP_FW_POOL_20220912,20220922,17.39,1.07,pooled sample,pooled sample,2022-09-12T05:00:00Z,TMP,FW,POOL,20220912_20220915,NA
TMP_SW_H3_20220915,20220922,86.81,2.78,NA,NA,2022-09-15T05:00:00Z,TMP,SW,H3,NA,NA
TMP_SW_C3_20220915,20220922,21.94,3.06,NA,value above cal curve,2022-09-15T05:00:00Z,TMP,SW,C3,NA,NA
TMP_SW_C6_20220915,20220922,54.58,1.84,NA,NA,2022-09-15T05:00:00Z,TMP,SW,C6,NA,NA
TMP_SW_F6_20220912,20220922,13.25,0.61,NA,NA,2022-09-12T05:00:00Z,TMP,SW,F6,NA,NA
TMP_SW_E3_20220915,20220922,26.22,0.97,NA,NA,2022-09-15T05:00:00Z,TMP,SW,E3,NA,NA
TMP_SW_H6_20220915,20220922,45.66,1.45,NA,NA,2022-09-15T05:00:00Z,TMP,SW,H6,NA,NA
TMP_SW_POOL_20220912,20220922,54.12,2.84,pooled sample,pooled sample,2022-09-12T05:00:00Z,TMP,SW,POOL,20220912_20220915,NA
TMP_C_H3_20221019,20221025,19.4,0.59,NA,NA,2022-10-19T05:00:00Z,TMP,C,H3,NA,NA
TMP_C_H6_20221019,20221025,15.72,0.5,NA,NA,2022-10-19T05:00:00Z,TMP,C,H6,NA,NA
TMP_C_D5_20221019,20221025,6.9,0.24,NA,NA,2022-10-19T05:00:00Z,TMP,C,D5,NA,NA
TMP_C_E3_20221019,20221025,10.2,0.31,NA,NA,2022-10-19T05:00:00Z,TMP,C,E3,NA,NA
TMP_C_F6_20221019,20221025,12.13,0.38,NA,NA,2022-10-19T05:00:00Z,TMP,C,F6,NA,NA
TMP_C_I5_20221019,20221025,14.79,0.39,NA,NA,2022-10-19T05:00:00Z,TMP,C,I5,NA,NA
TMP_C_C6_20221019,20221025,11.49,0.38,NA,NA,2022-10-19T05:00:00Z,TMP,C,C6,NA,NA
TMP_FW_C3_20221019,20221025,12.5,0.38,NA,NA,2022-10-19T05:00:00Z,TMP,FW,C3,NA,NA
TMP_FW_C6_20221019,20221025,11.44,0.32,NA,NA,2022-10-19T05:00:00Z,TMP,FW,C6,NA,NA
TMP_FW_H3_20221019,20221025,11.76,0.5,NA,NA,2022-10-19T05:00:00Z,TMP,FW,H3,NA,NA
TMP_FW_H6_20221019,20221025,15.04,0.56,NA,NA,2022-10-19T05:00:00Z,TMP,FW,H6,NA,NA
TMP_FW_D5_20221019,20221025,15.08,0.48,NA,NA,2022-10-19T05:00:00Z,TMP,FW,D5,NA,NA
TMP_FW_E3_20221019,20221025,10.08,0.35,NA,NA,2022-10-19T05:00:00Z,TMP,FW,E3,NA,NA
TMP_FW_I5_20221019,20221025,21.68,0.86,NA,NA,2022-10-19T05:00:00Z,TMP,FW,I5,NA,NA
TMP_SW_C3_20221019,20221025,14.76,0.51,NA,NA,2022-10-19T05:00:00Z,TMP,SW,C3,NA,NA
TMP_SW_C6_20221019,20221025,45.83,2,NA,NA,2022-10-19T05:00:00Z,TMP,SW,C6,NA,NA
TMP_SW_H3_20221019,20221025,109.2,4.39,NA,value above cal curve,2022-10-19T05:00:00Z,TMP,SW,H3,NA,NA
TMP_SW_H6_20221019,20221025,27.6,0.89,NA,NA,2022-10-19T05:00:00Z,TMP,SW,H6,NA,NA
TMP_SW_D5_20221019,20221025,37.03,1.04,NA,NA,2022-10-19T05:00:00Z,TMP,SW,D5,NA,NA
TMP_SW_F6_20221019,20221025,44.55,1.46,NA,NA,2022-10-19T05:00:00Z,TMP,SW,F6,NA,NA
TMP_C_POOL_20221019,20221025,15.84,0.51,pooled sample,pooled sample,2022-10-19T05:00:00Z,TMP,C,POOL,20221019-20221024,NA
TMP_FW_POOL_20221019,20221025,14.93,0.94,pooled sample,pooled sample,2022-10-19T05:00:00Z,TMP,FW,POOL,20221019-20221024,NA
TMP_SW_POOL_20221019,20221025,41.95,1.44,pooled sample,pooled sample,2022-10-19T05:00:00Z,TMP,SW,POOL,NA,NA
TMP_FW_C6_20221201,20221209,9.79,0.81,NA,NA,2022-12-01T05:00:00Z,TMP,FW,C6,NA,NA
