sample_name,date,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint
TMP_C_F4_20220518,20220527,8.13,0.47,NA,NA,TMP,C,F4,20220518
TMP_C_H6_20220518,20220527,13.92,0.47,NA,NA,TMP,C,H6,20220518
TMP_C_D5_20220518,20220527,18.36,0.66,NA,NA,TMP,C,D5,20220518
TMP_FW_C3_20220518,20220527,7.01,0.33,NA,NA,TMP,FW,C3,20220518
TMP_FW_H6_20220520,20220527,9.03,0.45,NA,NA,TMP,FW,H6,20220520
TMP_FW_E3_20220518,20220527,13.84,0.6,NA,NA,TMP,FW,E3,20220518
TMP_SW_20220523_POOL,20220601,13.01,0.51,pooled sample,pooled sample,TMP,SW,POOL,20220523
TMP_FW_20220523_POOL,20220601,9.16,0.5,pooled sample,pooled sample,TMP,FW,POOL,20220523
TMP_C_20220523_POOL,20220601,12.65,0.64,pooled sample,pooled sample,TMP,C,POOL,20220523
TMP_FW_PW_I5_15cm_20220613,20220627,12.73,0.78,NA,NA,TMP,FW,I5,20220613
TMP_SW_PW_E3_15cm_20220613,20220627,9.96,1,NA,NA,TMP,SW,E3,20220613
TMP_FW_PW_F4_15cm_20220613,20220627,10.91,0.05,NA,high blank,TMP,FW,F4,20220613
TMP_C_PW_B4_15cm_20220613,20220627,10.19,0.53,NA,NA,TMP,C,B4,20220613
TMP_SW_PW_I5_15cm_20220613,20220627,14.77,1.28,NA,NA,TMP,SW,I5,20220613
TMP_SW_PW_B4_15cm_20220613,20220627,20.02,0.6,NA,NA,TMP,SW,B4,20220613
TMP_C_PW_C6_15cm_20220613,20220627,8.83,0.44,NA,NA,TMP,C,C6,20220613
TMP_SW_PW_C3_15cm_20220613,20220627,23.65,0.99,NA,NA,TMP,SW,C3,20220613
TMP_FW_PW_C3_15cm_20220613,20220627,10.55,0.52,NA,NA,TMP,FW,C3,20220613
TMP_C_PW_I5_15cm_20220613,20220627,19.15,0.84,NA,NA,TMP,C,I5,20220613
TMP_SW_PW_D5_15cm_20220613,20220627,11.32,0.58,NA,NA,TMP,SW,D5,20220613
TMP_FW_PW_H6_15cm_20220613,20220627,13.55,0.66,NA,NA,TMP,FW,H6,20220613
TMP_FW_PW_D5_15cm_20220613,20220627,9.54,0.4,NA,NA,TMP,FW,D5,20220613
TMP_FW_PW_C6_15cm_20220615,20220627,8.43,0.4,NA,NA,TMP,FW,C6,20220615
TMP_C_PW_E3_15cm_20220615,20220627,10.3,0.45,NA,NA,TMP,C,E3,20220615
TMP_SW_PW_H3_15cm_20220615,20220627,20.06,0.06,NA,high blank,TMP,SW,H3,20220615
TMP_C_PW_H6_15cm_20220615,20220629,17.41,0.66,NA,NA,TMP,C,H6,20220615
TMP_C_SW_F6_15cm_20220615,20220629,13.77,0.57,NA,NA,TMP,C,F6,20220615
TMP_FW_PW_H3_15cm_20220615,20220629,5.06,0.28,NA,high blank,TMP,FW,H3,20220615
TMP_C_PW_H3_15cm_20220615,20220629,21.45,0.59,NA,NA,TMP,C,H3,20220615
TMP_SW_PW_C6_15cm_20220615,20220629,21.12,0.97,NA,NA,TMP,SW,C6,20220615
TMP_FW_H6_T0,20220629,14.41,0.54,NA,high blank,TMP,FW,H6,T0
TMP_FW_C6_T0,20220629,8.27,0.36,NA,high blank,TMP,FW,C6,T0
TMP_FW_I5_T0,20220629,15.67,0.7,NA,NA,TMP,FW,I5,T0
TMP_C_POOLED_T0,20220629,15.94,0.66,pooled sample,pooled sample,TMP,C,POOL,T0
TMP_FW_SOURCE_HR0,20220622,0.83,0.09,NA,high blank,TMP,FW,SOURCE,HR0
TMP_FW_SOURCE_HR5,20220622,0.75,0.07,high blank,high blank,TMP,FW,SOURCE,HR5
TMP_FW_SOURCE_HR7,20220622,0.59,0.06,high blank,high blank,TMP,FW,SOURCE,HR7
TMP_SW_C3_T1,20220629,15.5,0.93,NA,NA,TMP,SW,C3,T1
TMP_SW_WELL_T1,20220629,4.51,0.68,NA,NA,TMP,SW,WELL,T1
TMP_SW_H6_T1,20220629,7.25,0.37,NA,high blank,TMP,SW,H6,T1
TMP_SW_B4_T1,20220629,11.37,0.48,NA,high blank,TMP,SW,B4,T1
