Timepoint,Plot,doc_mg_L,Grid
20220811,SW,82.05,WEIGHTED POOL
20220912,C,20.91941176470588,WEIGHTED POOL
20220912,FW,14.399999999999999,WEIGHTED POOL
20220912,SW,75.33,WEIGHTED POOL
20220915,C,18.032173913043476,WEIGHTED POOL
20220721,C,16.048157894736846,WEIGHTED POOL
20220721,SW,16.3,WEIGHTED POOL
20220718,SW,15.649687499999999,WEIGHTED POOL
20220718,FW,11.638222222222222,WEIGHTED POOL
20220718,C,14.3425,WEIGHTED POOL
20220915,FW,17.687924528301888,WEIGHTED POOL
20220915,SW,47.769911504424776,WEIGHTED POOL
20220808,SW,30.1725,WEIGHTED POOL
20220808,C,14.774454545454546,WEIGHTED POOL
20220808,FW,12.528699551569508,WEIGHTED POOL
