sample_name,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint
TMP_C_20220523_POOL,11.85,0.52,pooled sample,pooled sample,TMP,C,POOL,20220523
TMP_C_B4_20220518,17.7,1.15,average value of multiple aliquots,average value of multiple aliquots,TMP,C,B4,20220518
TMP_C_B4_20220808,9.58,0.41,NA,NA,TMP,C,B4,20220808
TMP_C_B4_20221128,7.15,0.18,NA,NA,TMP,C,B4,20221128
TMP_C_C3_20220808,15.63,0.45,NA,NA,TMP,C,C3,20220808
TMP_C_C3_20221201,15.77,0.4,NA,NA,TMP,C,C3,20221201
TMP_C_C6_20220518,8.75,0.30500000000000005,average value of multiple aliquots,average value of multiple aliquots,TMP,C,C6,20220518
TMP_C_C6_20220808,12.42,1.69,NA,NA,TMP,C,C6,20220808
TMP_C_C6_20221019,10.74,0.36,NA,NA,TMP,C,C6,20221019
TMP_C_C6_20221128,7.95,0.22,NA,NA,TMP,C,C6,20221128
TMP_C_C6_20230202,7.5,0.22,NA,NA,TMP,C,C6,20230202
TMP_C_D5_20220518,17.87,0.6,NA,NA,TMP,C,D5,20220518
TMP_C_D5_20220808,10.34,0.37,NA,NA,TMP,C,D5,20220808
TMP_C_D5_20221019,6.15,0.22,NA,NA,TMP,C,D5,20221019
TMP_C_D5_20221128,6.8,0.26,NA,NA,TMP,C,D5,20221128
TMP_C_D5_20230202,7,0.24,NA,NA,TMP,C,D5,20230202
TMP_C_E3_20220518,9.39,0.475,average value of multiple aliquots,average value of multiple aliquots,TMP,C,E3,20220518
TMP_C_E3_20220808,11.68,0.89,NA,NA,TMP,C,E3,20220808
TMP_C_E3_20221019,9.45,0.29,NA,NA,TMP,C,E3,20221019
TMP_C_E3_20221128,8.46,0.26,NA,NA,TMP,C,E3,20221128
TMP_C_E3_20230202,7.86,0.25,NA,NA,TMP,C,E3,20230202
TMP_C_F4_20220518,7.64,0.41,NA,NA,TMP,C,F4,20220518
TMP_C_F4_20220808,13.4,0.55,NA,NA,TMP,C,F4,20220808
TMP_C_F6_20220518,6.970000000000001,0.275,average value of multiple aliquots,average value of multiple aliquots,TMP,C,F6,20220518
TMP_C_F6_20220808,14.67,0.46,NA,NA,TMP,C,F6,20220808
TMP_C_F6_20221019,11.38,0.36,NA,NA,TMP,C,F6,20221019
TMP_C_F6_20221128,14.22,0.36,NA,NA,TMP,C,F6,20221128
TMP_C_F6_20230202,13.51,0.42,NA,NA,TMP,C,F6,20230202
TMP_C_H3_20220518,10.11,0.5549999999999999,average value of multiple aliquots,average value of multiple aliquots,TMP,C,H3,20220518
TMP_C_H3_20220808,19.06,0.57,NA,NA,TMP,C,H3,20220808
