sample_name,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint
TMP_C_H3_20221019,18.65,0.57,NA,NA,TMP,C,H3,20221019
TMP_C_H3_20221128,18.87,0.75,NA,NA,TMP,C,H3,20221128
TMP_C_H3_20230206,13.93,0.37,NA,NA,TMP,C,H3,20230206
TMP_C_H6_20220518,13.43,0.41,NA,NA,TMP,C,H6,20220518
TMP_C_H6_20220808,14.86,0.54,NA,NA,TMP,C,H6,20220808
TMP_C_H6_20221019,14.97,0.48,NA,NA,TMP,C,H6,20221019
TMP_C_H6_20221128,14.68,0.4,NA,NA,TMP,C,H6,20221128
TMP_C_H6_20230202,10.63,0.34,NA,NA,TMP,C,H6,20230202
TMP_C_I5_20220518,8.895,0.6950000000000001,average value of multiple aliquots,average value of multiple aliquots,TMP,C,I5,20220518
TMP_C_I5_20220808,22.36,0.67,NA,NA,TMP,C,I5,20220808
TMP_C_I5_20221019,14.04,0.37,NA,NA,TMP,C,I5,20221019
TMP_C_I5_20221128,15.39,0.41,NA,NA,TMP,C,I5,20221128
TMP_C_I5_20230202,14.14,0.36,NA,NA,TMP,C,I5,20230202
TMP_C_POOLED_20220808,14.17,0.63,pooled sample,pooled sample,TMP,C,POOL,20220808
TMP_C_POOLED_20221019-20221024,15.09,0.49,pooled sample,pooled sample,TMP,C,POOL,20221019
TMP_C_POOL_20221128_20221201,14.16,0.47,pooled sample,pooled sample,TMP,C,POOL,20221128
TMP_C_POOL_20230202,11.49,0.37,pooled sample,pooled sample,TMP,C,POOL,20230202
TMP_FW_20220523_POOL,8.36,0.38,pooled sample,pooled sample,TMP,FW,POOL,20220523
TMP_FW_B4_20220808,11.05,0.45,NA,NA,TMP,FW,B4,20220808
TMP_FW_B4_20221019,12.48,0.36,NA,NA,TMP,FW,B4,20221019
TMP_FW_B4_20221128,11.98,0.54,NA,NA,TMP,FW,B4,20221128
TMP_FW_B4_20230202,10.52,0.44,NA,NA,TMP,FW,B4,20230202
TMP_FW_C3_20220518,6.52,0.27,NA,NA,TMP,FW,C3,20220518
TMP_FW_C3_20220520,12.975000000000001,1.185,average value of multiple aliquots,average value of multiple aliquots,TMP,FW,C3,20220520
TMP_FW_C3_20220808,13.81,0.49,NA,NA,TMP,FW,C3,20220808
TMP_FW_C3_20221019,11.75,0.36,NA,NA,TMP,FW,C3,20221019
TMP_FW_C3_20221128,15.61,0.46,NA,NA,TMP,FW,C3,20221128
TMP_FW_C3_20230202,11.53,0.43,NA,NA,TMP,FW,C3,20230202
TMP_FW_C6_20220518,21.189999999999998,0.605,average value of multiple aliquots,average value of multiple aliquots,TMP,FW,C6,20220518
TMP_FW_C6_20220808,8.28,0.37,NA,NA,TMP,FW,C6,20220808
TMP_FW_C6_20221019,10.69,0.3,NA,NA,TMP,FW,C6,20221019
TMP_FW_C6_20221201,9.46,0.75,NA,NA,TMP,FW,C6,20221201
TMP_FW_C6_20230202,6.43,0.34,NA,NA,TMP,FW,C6,20230202
TMP_FW_D5_20220518,11.395,0.44000000000000006,average value of multiple aliquots,average value of multiple aliquots,TMP,FW,D5,20220518
TMP_FW_D5_20220808,17.78,0.71,NA,NA,TMP,FW,D5,20220808
TMP_FW_D5_20221019,14.33,0.46,NA,NA,TMP,FW,D5,20221019
TMP_FW_D5_20221128,14.8,0.37,NA,NA,TMP,FW,D5,20221128
TMP_FW_D5_20230202,9.64,0.3,NA,NA,TMP,FW,D5,20230202
TMP_FW_E3_20220518,13.35,0.54,NA,NA,TMP,FW,E3,20220518
TMP_FW_E3_20220808,9.27,0.5,NA,NA,TMP,FW,E3,20220808
TMP_FW_E3_20221019,9.33,0.33,NA,NA,TMP,FW,E3,20221019
TMP_FW_E3_20221128,9.7,0.42,NA,NA,TMP,FW,E3,20221128
TMP_FW_E3_20230206,10.19,1.26,NA,NA,TMP,FW,E3,20230206
TMP_FW_F4_20220518,12.98,0.73,average value of multiple aliquots,average value of multiple aliquots,TMP,FW,F4,20220518
TMP_FW_F4_20220808,13.64,0.69,NA,NA,TMP,FW,F4,20220808
TMP_FW_F6_20230202,13,0.59,NA,NA,TMP,FW,F6,20230202
TMP_FW_H3_20220518,9.45,0.46499999999999997,average value of multiple aliquots,average value of multiple aliquots,TMP,FW,H3,20220518
TMP_FW_H3_20220808,10.56,0.42,NA,NA,TMP,FW,H3,20220808
TMP_FW_H3_20221019,11.01,0.48,NA,NA,TMP,FW,H3,20221019
TMP_FW_H3_20221128,8.68,0.28,NA,NA,TMP,FW,H3,20221128
TMP_FW_H3_20230202,8.12,0.29,NA,NA,TMP,FW,H3,20230202
TMP_FW_H6_20220520,8.54,0.39,NA,NA,TMP,FW,H6,20220520
TMP_FW_H6_20220808,13.87,1.86,NA,NA,TMP,FW,H6,20220808
TMP_FW_H6_20221019,14.29,0.54,NA,NA,TMP,FW,H6,20221019
TMP_FW_H6_20221128,16.2,0.56,NA,NA,TMP,FW,H6,20221128
TMP_FW_H6_20230202,11.09,1.66,NA,NA,TMP,FW,H6,20230202
TMP_FW_I5_20220808,15.35,0.56,NA,NA,TMP,FW,I5,20220808
TMP_FW_I5_20221019,20.93,0.84,NA,NA,TMP,FW,I5,20221019
TMP_FW_I5_20221128,14.82,0.52,NA,NA,TMP,FW,I5,20221128
TMP_FW_I5_20230202,12.32,0.53,NA,NA,TMP,FW,I5,20230202
TMP_FW_POOLED_20220808,10.71,0.64,pooled sample,pooled sample,TMP,FW,POOL,20220808
TMP_FW_POOLED_20221019-20221024,14.18,0.92,pooled sample,pooled sample,TMP,FW,POOL,20221019
TMP_FW_POOL_20221128_20221201,13.68,0.42,pooled sample,pooled sample,TMP,FW,POOL,20221128
TMP_FW_POOL_20230202,9.98,0.66,pooled sample,pooled sample,TMP,FW,POOL,20230202
TMP_SW_20220523_POOL,12.21,0.39,pooled sample,pooled sample,TMP,SW,POOL,20220523
TMP_SW_B4_20220808,83.87,1.91,NA,NA,TMP,SW,B4,20220808
TMP_SW_B4_20221019,51.82,1.31,NA,NA,TMP,SW,B4,20221019
TMP_SW_B4_20221128,64.93,1.43,NA,NA,TMP,SW,B4,20221128
TMP_SW_B4_20230202,41.7,1.06,NA,NA,TMP,SW,B4,20230202
TMP_SW_C3_20220808,15.16,0.56,NA,NA,TMP,SW,C3,20220808
TMP_SW_C3_20221019,14.01,0.49,NA,NA,TMP,SW,C3,20221019
TMP_SW_C3_20221128,22.95,0.88,NA,NA,TMP,SW,C3,20221128
TMP_SW_C3_20230202,44.47,1.42,NA,NA,TMP,SW,C3,20230202
TMP_SW_C6_20221019,45.08,1.98,NA,NA,TMP,SW,C6,20221019
TMP_SW_C6_20221201,43.91,3.26,NA,value above cal curve,TMP,SW,C6,20221201
TMP_SW_C6_20230202,39.09,1.77,NA,NA,TMP,SW,C6,20230202
TMP_SW_D5_20220808,23.8,1.07,NA,NA,TMP,SW,D5,20220808
TMP_SW_D5_20221019,36.28,1.02,NA,NA,TMP,SW,D5,20221019
TMP_SW_D5_20221128,43.15,1.18,NA,NA,TMP,SW,D5,20221128
TMP_SW_D5_20230202,51.86,1.49,NA,NA,TMP,SW,D5,20230202
TMP_SW_E3_20220808,17.82,0.69,NA,NA,TMP,SW,E3,20220808
TMP_SW_E3_20221201,36.78,1.09,NA,NA,TMP,SW,E3,20221201
TMP_SW_E3_20230202,39.33,1.28,NA,NA,TMP,SW,E3,20230202
TMP_SW_F4_20220808,32.67,1.15,NA,NA,TMP,SW,F4,20220808
TMP_SW_F4_20230202,19.44,1.67,NA,NA,TMP,SW,F4,20230202
TMP_SW_F6_20220808,11.84,0.62,NA,NA,TMP,SW,F6,20220808
TMP_SW_F6_20221019,43.8,1.44,NA,NA,TMP,SW,F6,20221019
TMP_SW_F6_20221128,42.66,1.32,NA,NA,TMP,SW,F6,20221128
TMP_SW_F6_20230202,41.78,1.4,NA,NA,TMP,SW,F6,20230202
TMP_SW_H3_20220721,32.6,1.02,NA,NA,TMP,SW,H3,20220721
TMP_SW_H3_20220811,82.05,2.9299999999999997,average value of multiple aliquots,average value of multiple aliquots,TMP,SW,H3,20220811
TMP_SW_H3_20221019,108.45,4.37,value above cal curve,value above cal curve,TMP,SW,H3,20221019
TMP_SW_H3_20221128,35.52,1.02,NA,NA,TMP,SW,H3,20221128
TMP_SW_H3_20230206,23.53,0.9,NA,NA,TMP,SW,H3,20230206
TMP_SW_H6_20220808,36.98,1.25,NA,NA,TMP,SW,H6,20220808
TMP_SW_H6_20221019,26.85,0.87,NA,NA,TMP,SW,H6,20221019
TMP_SW_H6_20221128,27.98,0.85,NA,NA,TMP,SW,H6,20221128
TMP_SW_H6_20230202,18.88,0.71,NA,NA,TMP,SW,H6,20230202
TMP_SW_I5_20220808,19.24,0.78,NA,NA,TMP,SW,I5,20220808
TMP_SW_I5_20230206,84.63,3.08,NA,value above cal curve,TMP,SW,I5,20230206
TMP_SW_POOLED_20220808,28.45,0.96,pooled sample,pooled sample,TMP,SW,POOL,20220808
TMP_SW_POOLED_20221019,41.2,1.42,pooled sample,pooled sample,TMP,SW,POOL,20221019
TMP_SW_POOL_20221128_20221201,42.8,1.19,pooled sample,pooled sample,TMP,SW,POOL,20221128
TMP_SW_POOL_20230202,51.98,1.82,pooled sample,pooled sample,TMP,SW,POOL,20230202
