sample_name,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint
TMP_C_20220523_POOL,12.65,0.64,pooled sample,pooled sample,TMP,C,POOL,20220523
TMP_C_B4_20220518,18.19,1.21,average value of multiple aliquots,average value of multiple aliquots,TMP,C,B4,20220518
TMP_C_B4_20220718,7.55,0.23,NA,NA,TMP,C,B4,20220718
TMP_C_B4_20220808,10.61,0.45,NA,NA,TMP,C,B4,20220808
TMP_C_B4_20221128,7.48,0.24,NA,NA,TMP,C,B4,20221128
TMP_C_B4_T3,11.82,0.37,NA,NA,TMP,C,B4,T3
TMP_C_C3_20220808,16.66,0.49,NA,NA,TMP,C,C3,20220808
TMP_C_C3_20221201,16.1,0.46,NA,NA,TMP,C,C3,20221201
TMP_C_C6_20220518,9.235,0.365,average value of multiple aliquots,average value of multiple aliquots,TMP,C,C6,20220518
TMP_C_C6_20220718,12.69,1.44,NA,NA,TMP,C,C6,20220718
TMP_C_C6_20220808,13.45,1.73,NA,NA,TMP,C,C6,20220808
TMP_C_C6_20220912,17.31,0.59,NA,NA,TMP,C,C6,20220912
TMP_C_C6_20221019,11.49,0.38,NA,NA,TMP,C,C6,20221019
TMP_C_C6_20221128,8.28,0.28,NA,NA,TMP,C,C6,20221128
TMP_C_C6_20230202,8.27,0.27,NA,NA,TMP,C,C6,20230202
TMP_C_C6_20230417,8.4,0.34,NA,NA,TMP,C,C6,20230417
TMP_C_C6_20230515,9.93,0.32,NA,NA,TMP,C,C6,20230515
TMP_C_C6_20230603,21.48,0.32,NA,NA,TMP,C,C6,20230603
TMP_C_C6_T3,24.39,0.72,NA,NA,TMP,C,C6,T3
TMP_C_D5_20220518,18.36,0.66,NA,NA,TMP,C,D5,20220518
TMP_C_D5_20220721,8.83,0.46,NA,NA,TMP,C,D5,20220721
TMP_C_D5_20220808,11.37,0.41,NA,NA,TMP,C,D5,20220808
TMP_C_D5_20220915,11.13,0.6,NA,NA,TMP,C,D5,20220915
TMP_C_D5_20221019,6.9,0.24,NA,NA,TMP,C,D5,20221019
TMP_C_D5_20221128,7.13,0.32,NA,NA,TMP,C,D5,20221128
TMP_C_D5_20230202,7.77,0.29,NA,NA,TMP,C,D5,20230202
TMP_C_D5_T4,19.76,0.56,NA,NA,TMP,C,D5,T4
TMP_C_E3_20220518,9.879999999999999,0.5349999999999999,average value of multiple aliquots,average value of multiple aliquots,TMP,C,E3,20220518
TMP_C_E3_20220808,12.71,0.93,NA,NA,TMP,C,E3,20220808
TMP_C_E3_20220912,11.21,0.52,NA,NA,TMP,C,E3,20220912
TMP_C_E3_20221019,10.2,0.31,NA,NA,TMP,C,E3,20221019
TMP_C_E3_20221128,8.79,0.32,NA,NA,TMP,C,E3,20221128
TMP_C_E3_20230202,8.63,0.3,NA,NA,TMP,C,E3,20230202
TMP_C_E3_20230515,9.92,0.48,NA,NA,TMP,C,E3,20230515
TMP_C_E3_T4,11.68,0.72,NA,NA,TMP,C,E3,T4
TMP_C_F4_20220518,8.13,0.47,NA,NA,TMP,C,F4,20220518
TMP_C_F4_20220808,14.43,0.59,NA,NA,TMP,C,F4,20220808
TMP_C_F6_20220518,7.459999999999999,0.335,average value of multiple aliquots,average value of multiple aliquots,TMP,C,F6,20220518
TMP_C_F6_20220721,16.45,0.81,NA,NA,TMP,C,F6,20220721
TMP_C_F6_20220808,15.7,0.5,NA,NA,TMP,C,F6,20220808
TMP_C_F6_20221019,12.13,0.38,NA,NA,TMP,C,F6,20221019
TMP_C_F6_20221128,14.55,0.42,NA,NA,TMP,C,F6,20221128
TMP_C_F6_20230202,14.28,0.47,NA,NA,TMP,C,F6,20230202
TMP_C_F6_20230515,15.58,0.41,NA,NA,TMP,C,F6,20230515
TMP_C_F6_T4,19.97,0.75,NA,NA,TMP,C,F6,T4
TMP_C_H3_20220518,10.6,0.615,average value of multiple aliquots,average value of multiple aliquots,TMP,C,H3,20220518
TMP_C_H3_20220718,20.08,0.51,NA,NA,TMP,C,H3,20220718
TMP_C_H3_20220808,20.09,0.61,NA,NA,TMP,C,H3,20220808
TMP_C_H3_20220915,23.46,3.27,NA,value above cal curve,TMP,C,H3,20220915
TMP_C_H3_20221019,19.4,0.59,NA,NA,TMP,C,H3,20221019
TMP_C_H3_20221128,19.2,0.81,NA,NA,TMP,C,H3,20221128
TMP_C_H3_20230206,14.7,0.42,NA,NA,TMP,C,H3,20230206
TMP_C_H3_20230417,17.32,0.73,NA,NA,TMP,C,H3,20230417
TMP_C_H3_T4,22.94,0.82,NA,NA,TMP,C,H3,T4
TMP_C_H6_20220518,13.92,0.47,NA,NA,TMP,C,H6,20220518
TMP_C_H6_20220721,16.28,1.15,NA,NA,TMP,C,H6,20220721
TMP_C_H6_20220808,15.89,0.58,NA,NA,TMP,C,H6,20220808
TMP_C_H6_20220912,25,0.84,NA,NA,TMP,C,H6,20220912
TMP_C_H6_20221019,15.72,0.5,NA,NA,TMP,C,H6,20221019
TMP_C_H6_20221128,15.01,0.46,NA,NA,TMP,C,H6,20221128
TMP_C_H6_20230202,11.4,0.39,NA,NA,TMP,C,H6,20230202
TMP_C_H6_20230417,12.12,0.47,NA,NA,TMP,C,H6,20230417
TMP_C_H6_20230515,14.55,0.5,NA,NA,TMP,C,H6,20230515
TMP_C_H6_20230603,24.67,0.53,NA,NA,TMP,C,H6,20230603
TMP_C_H6_T2,1.39,0.04,NA,NA,TMP,C,H6,T2
TMP_C_H6_T3,20.74,0.62,NA,NA,TMP,C,H6,T3
TMP_C_H6_T4,21.31,0.77,NA,NA,TMP,C,H6,T4
TMP_C_I5_20220518,9.385,0.755,average value of multiple aliquots,average value of multiple aliquots,TMP,C,I5,20220518
TMP_C_I5_20220718,18.21,0.74,NA,NA,TMP,C,I5,20220718
TMP_C_I5_20220808,23.39,0.71,NA,NA,TMP,C,I5,20220808
TMP_C_I5_20220915,15.9,0.49,NA,NA,TMP,C,I5,20220915
TMP_C_I5_20221019,14.79,0.39,NA,NA,TMP,C,I5,20221019
TMP_C_I5_20221128,15.72,0.47,NA,NA,TMP,C,I5,20221128
TMP_C_I5_20230202,14.91,0.41,NA,NA,TMP,C,I5,20230202
TMP_C_I5_20230417,15.83,0.82,NA,NA,TMP,C,I5,20230417
TMP_C_I5_20230515,15.39,0.48,NA,NA,TMP,C,I5,20230515
TMP_C_I5_20230603,20.45,0.44,NA,NA,TMP,C,I5,20230603
TMP_C_I5_T3,22.93,0.67,NA,NA,TMP,C,I5,T3
TMP_C_I5_T4,26.29,1.45,NA,NA,TMP,C,I5,T4
TMP_C_POOLED_20220808,15.2,0.67,pooled sample,pooled sample,TMP,C,POOL,20220808
TMP_C_POOLED_20220912_20220915,18.37,1.16,pooled sample,pooled sample,TMP,C,POOL,20220912
TMP_C_POOLED_20221019-20221024,15.84,0.51,pooled sample,pooled sample,TMP,C,POOL,20221019
TMP_C_POOLED_T0,15.94,0.66,pooled sample,pooled sample,TMP,C,POOL,T0
TMP_C_POOL_20221128_20221201,14.49,0.53,pooled sample,pooled sample,TMP,C,POOL,20221128
TMP_C_POOL_20230202,12.26,0.42,pooled sample,pooled sample,TMP,C,POOL,20230202
TMP_C_POOL_20230417,12.18,0.55,pooled sample,pooled sample,TMP,C,POOL,20230417
TMP_C_POOL_20230515,21.09,0.72,pooled sample,pooled sample,TMP,C,POOL,20230515
TMP_C_POOL_T4,20.64,0.85,pooled sample,pooled sample,TMP,C,POOL,T4
TMP_C_PW_B4_15cm_20220613,10.19,0.53,NA,NA,TMP,C,B4,20220613
TMP_C_PW_C6_15cm_20220613,8.83,0.44,NA,NA,TMP,C,C6,20220613
TMP_C_PW_E3_15cm_20220615,10.3,0.45,NA,NA,TMP,C,E3,20220615
TMP_C_PW_H3_15cm_20220615,21.45,0.59,NA,NA,TMP,C,H3,20220615
TMP_C_PW_H6_15cm_20220615,17.41,0.66,NA,NA,TMP,C,H6,20220615
TMP_C_PW_I5_15cm_20220613,19.15,0.84,NA,NA,TMP,C,I5,20220613
TMP_C_SW_F6_15cm_20220615,13.77,0.57,NA,NA,TMP,C,F6,20220615
TMP_ESTUARY_BARGE_HR4,27.27,0.88,NA,NA,TMP,ESTUARY,BARGE,HR4
TMP_ESTUARY_BARGE_HR8,2.62,0.22,average value of multiple aliquots,average value of multiple aliquots,TMP,ESTUARY,BARGE,HR8
TMP_FW_20220523_POOL,9.16,0.5,pooled sample,pooled sample,TMP,FW,POOL,20220523
TMP_FW_B4_20220718,11.88,1.07,NA,NA,TMP,FW,B4,20220718
TMP_FW_B4_20220808,12.08,0.49,NA,NA,TMP,FW,B4,20220808
TMP_FW_B4_20220915,16.62,2.87,NA,NA,TMP,FW,B4,20220915
TMP_FW_B4_20221019,13.23,0.38,NA,NA,TMP,FW,B4,20221019
TMP_FW_B4_20221128,12.31,0.6,NA,NA,TMP,FW,B4,20221128
TMP_FW_B4_20230202,11.29,0.49,NA,NA,TMP,FW,B4,20230202
TMP_FW_B4_20230515,7.94,0.27,NA,NA,TMP,FW,B4,20230515
TMP_FW_B4_20230606,5.93,0.67,NA,NA,TMP,FW,B4,20230606
TMP_FW_B4_20230607_1600,4.75,0.26,NA,NA,TMP,FW,B4,20230607
TMP_FW_B4_T1,0.54,0.06,NA,NA,TMP,FW,B4,T1
TMP_FW_B4_T2,0.78,0.07,NA,NA,TMP,FW,B4,T2
TMP_FW_B4_T3,7.87,0.33,NA,NA,TMP,FW,B4,T3
TMP_FW_B4_T4,9.79,0.36,NA,NA,TMP,FW,B4,T4
TMP_FW_C3_20220518,7.01,0.33,NA,NA,TMP,FW,C3,20220518
TMP_FW_C3_20220520,13.465,1.245,average value of multiple aliquots,average value of multiple aliquots,TMP,FW,C3,20220520
TMP_FW_C3_20220808,14.84,0.53,NA,NA,TMP,FW,C3,20220808
TMP_FW_C3_20220915,21.35,0.72,NA,NA,TMP,FW,C3,20220915
TMP_FW_C3_20221019,12.5,0.38,NA,NA,TMP,FW,C3,20221019
TMP_FW_C3_20221128,15.94,0.52,NA,NA,TMP,FW,C3,20221128
TMP_FW_C3_20230202,12.3,0.48,NA,NA,TMP,FW,C3,20230202
TMP_FW_C3_20230417,13.39,0.59,NA,NA,TMP,FW,C3,20230417
TMP_FW_C3_20230515,7.51,0.29,NA,NA,TMP,FW,C3,20230515
TMP_FW_C3_20230606_A,4.07,0.24,NA,NA,TMP,FW,C3,20230606
TMP_FW_C3_20230606_B,4,0.21,NA,NA,TMP,FW,C3,20230606
TMP_FW_C3_20230607_0800,6.18,0.31,NA,NA,TMP,FW,C3,20230607
TMP_FW_C3_20230607_1600,4.51,0.19,NA,NA,TMP,FW,C3,20230607
TMP_FW_C3_T1,5.54,0.18,NA,NA,TMP,FW,C3,T1
TMP_FW_C3_T2,9.72,0.25,NA,NA,TMP,FW,C3,T2
TMP_FW_C3_T3,13.79,0.43,NA,NA,TMP,FW,C3,T3
TMP_FW_C3_T4,18.09,1,NA,NA,TMP,FW,C3,T4
TMP_FW_C6_20220518,21.68,0.665,average value of multiple aliquots,average value of multiple aliquots,TMP,FW,C6,20220518
TMP_FW_C6_20220718,7.21,0.23,NA,NA,TMP,FW,C6,20220718
TMP_FW_C6_20220808,9.31,0.41,NA,NA,TMP,FW,C6,20220808
TMP_FW_C6_20220915,8.6,0.37,NA,NA,TMP,FW,C6,20220915
TMP_FW_C6_20221019,11.44,0.32,NA,NA,TMP,FW,C6,20221019
TMP_FW_C6_20221201,9.79,0.81,NA,NA,TMP,FW,C6,20221201
TMP_FW_C6_20230202,7.2,0.39,NA,NA,TMP,FW,C6,20230202
TMP_FW_C6_20230417,12.22,2.54,NA,NA,TMP,FW,C6,20230417
TMP_FW_C6_20230515,7.45,0.34,NA,NA,TMP,FW,C6,20230515
TMP_FW_C6_T0,8.27,0.36,NA,NA,TMP,FW,C6,T0
TMP_FW_C6_T1,1.27,0.08,NA,NA,TMP,FW,C6,T1
TMP_FW_C6_T2,0.43,NA,NA,value below blank,TMP,FW,C6,T2
TMP_FW_C6_T3,8.39,0.34,NA,NA,TMP,FW,C6,T3
TMP_FW_C6_T4,7.03,0.31,NA,NA,TMP,FW,C6,T4
TMP_FW_D5_20220518,11.885,0.5,average value of multiple aliquots,average value of multiple aliquots,TMP,FW,D5,20220518
TMP_FW_D5_20220718,12.17,1.27,NA,NA,TMP,FW,D5,20220718
TMP_FW_D5_20220808,18.81,0.75,NA,NA,TMP,FW,D5,20220808
TMP_FW_D5_20220915,17.36,0.57,NA,NA,TMP,FW,D5,20220915
TMP_FW_D5_20221019,15.08,0.48,NA,NA,TMP,FW,D5,20221019
TMP_FW_D5_20221128,15.13,0.43,NA,NA,TMP,FW,D5,20221128
TMP_FW_D5_20230202,10.41,0.35,NA,NA,TMP,FW,D5,20230202
TMP_FW_D5_20230417,10.7,0.37,NA,NA,TMP,FW,D5,20230417
TMP_FW_D5_20230515,11.23,0.35,NA,NA,TMP,FW,D5,20230515
TMP_FW_D5_20230603,10.05,0.36,NA,NA,TMP,FW,D5,20230603
TMP_FW_D5_20230605,5.19,0.2,NA,NA,TMP,FW,D5,20230605
TMP_FW_D5_20230606,5.95,0.25,NA,NA,TMP,FW,D5,20230606
TMP_FW_D5_20230607_0800,7.08,0.24,NA,NA,TMP,FW,D5,20230607
TMP_FW_D5_20230607_1600,5.98,0.24,NA,NA,TMP,FW,D5,20230607
TMP_FW_D5_T1,4.67,0.16,NA,NA,TMP,FW,D5,T1
TMP_FW_D5_T2,1.96,0.09,NA,NA,TMP,FW,D5,T2
TMP_FW_D5_T3,2.88,0.12,NA,NA,TMP,FW,D5,T3
TMP_FW_D5_T4,8.09,0.28,NA,NA,TMP,FW,D5,T4
TMP_FW_E3_20220518,13.84,0.6,NA,NA,TMP,FW,E3,20220518
TMP_FW_E3_20220718,9.61,0.79,NA,NA,TMP,FW,E3,20220718
TMP_FW_E3_20220808,10.3,0.54,NA,NA,TMP,FW,E3,20220808
TMP_FW_E3_20220915,8.16,0.4,NA,NA,TMP,FW,E3,20220915
TMP_FW_E3_20221019,10.08,0.35,NA,NA,TMP,FW,E3,20221019
TMP_FW_E3_20221128,10.03,0.48,NA,NA,TMP,FW,E3,20221128
TMP_FW_E3_20230206,10.96,1.31,NA,NA,TMP,FW,E3,20230206
TMP_FW_E3_20230515,6.88,0.26,NA,NA,TMP,FW,E3,20230515
TMP_FW_E3_T1,1.88,0.09,NA,NA,TMP,FW,E3,T1
TMP_FW_E3_T2,6.74,0.23,NA,NA,TMP,FW,E3,T2
TMP_FW_E3_T3,7.32,0.27,NA,NA,TMP,FW,E3,T3
TMP_FW_E3_T4,10.51,0.36,NA,NA,TMP,FW,E3,T4
TMP_FW_F4_20220518,13.469999999999999,0.79,average value of multiple aliquots,average value of multiple aliquots,TMP,FW,F4,20220518
TMP_FW_F4_20220808,14.67,0.73,NA,NA,TMP,FW,F4,20220808
TMP_FW_F4_20220915,13.3,0.75,NA,NA,TMP,FW,F4,20220915
TMP_FW_F4_20230606,5.71,0.28,NA,NA,TMP,FW,F4,20230606
TMP_FW_F4_20230606_0800,7.44,0.3,NA,NA,TMP,FW,F4,20230606
TMP_FW_F4_20230607_1600,4.65,0.2,NA,NA,TMP,FW,F4,20230607
TMP_FW_F4_T1,10.45,0.49,NA,NA,TMP,FW,F4,T1
TMP_FW_F4_T2,8.13,0.27,NA,NA,TMP,FW,F4,T2
TMP_FW_F4_T3,9.6,0.32,NA,NA,TMP,FW,F4,T3
TMP_FW_F4_T4,11.22,0.49,NA,NA,TMP,FW,F4,T4
TMP_FW_F6_20220915,16.19,0.76,NA,NA,TMP,FW,F6,20220915
TMP_FW_F6_20230202,13.77,0.64,NA,NA,TMP,FW,F6,20230202
TMP_FW_F6_20230515,14.77,0.37,NA,NA,TMP,FW,F6,20230515
TMP_FW_F6_T1,0.36,0.02,NA,NA,TMP,FW,F6,T1
TMP_FW_F6_T2,7.4,0.26,NA,NA,TMP,FW,F6,T2
TMP_FW_F6_T3,0.58,0.05,NA,NA,TMP,FW,F6,T3
TMP_FW_F6_T4,13.74,0.56,NA,NA,TMP,FW,F6,T4
TMP_FW_H3_20220518,9.94,0.525,average value of multiple aliquots,average value of multiple aliquots,TMP,FW,H3,20220518
TMP_FW_H3_20220808,11.59,0.46,NA,NA,TMP,FW,H3,20220808
TMP_FW_H3_20221019,11.76,0.5,NA,NA,TMP,FW,H3,20221019
TMP_FW_H3_20221128,9.01,0.34,NA,NA,TMP,FW,H3,20221128
TMP_FW_H3_20230202,8.89,0.34,NA,NA,TMP,FW,H3,20230202
TMP_FW_H3_20230417,8.59,0.32,NA,NA,TMP,FW,H3,20230417
TMP_FW_H3_20230515,9.76,0.68,NA,NA,TMP,FW,H3,20230515
TMP_FW_H3_20230606,4.16,0.19,NA,NA,TMP,FW,H3,20230606
TMP_FW_H3_20230607_0800,4.69,0.23,NA,NA,TMP,FW,H3,20230607
TMP_FW_H3_20230607_1600,4.17,0.21,NA,NA,TMP,FW,H3,20230607
TMP_FW_H3_T1,5.62,0.24,NA,NA,TMP,FW,H3,T1
TMP_FW_H3_T2,4.86,0.21,NA,NA,TMP,FW,H3,T2
TMP_FW_H3_T3,10.23,0.3,NA,NA,TMP,FW,H3,T3
TMP_FW_H3_T4,9.86,0.37,NA,NA,TMP,FW,H3,T4
TMP_FW_H6_20220520,9.03,0.45,NA,NA,TMP,FW,H6,20220520
TMP_FW_H6_20220718,11.01,0.46,NA,NA,TMP,FW,H6,20220718
TMP_FW_H6_20220808,14.9,1.9,NA,NA,TMP,FW,H6,20220808
TMP_FW_H6_20220912,20.45,0.79,NA,NA,TMP,FW,H6,20220912
TMP_FW_H6_20221019,15.04,0.56,NA,NA,TMP,FW,H6,20221019
TMP_FW_H6_20221128,16.53,0.62,NA,NA,TMP,FW,H6,20221128
TMP_FW_H6_20230202,11.86,1.71,NA,NA,TMP,FW,H6,20230202
