Event,Plot,Grid,Timepoint,doc_mg_l,spe_name,eluted,Date
TMP,SW,POOL,20230515,45.91,TMP_SW_POOL_20230515,yes,2023-05-15T00:00:00Z
TMP,SW,POOL,20230614,6.49,TMP_SW_POOL_20230614,yes,2023-06-14T00:00:00Z
TMP,C,POOL,20230628,15.42,TMP_C_POOL_20230628,yes,2023-06-28T00:00:00Z
TMP,FW,POOL,20230627,11.16,TMP_FW_POOL_20230627,yes,2023-06-27T00:00:00Z
TMP,SW,POOL,20230627,5.85,TMP_SW_POOL_20230627,yes,2023-06-27T00:00:00Z
TMP,FW,POOL,20230707,14.35,TMP_FW_POOL_20230707,yes,2023-07-07T00:00:00Z
TMP,SW,POOL,20230707,7.91,TMP_SW_POOL_20230707,yes,2023-07-07T00:00:00Z
TMP,SW,POOL,T2,13.51,TMP_SW_POOL_T2,yes,2022-06-22T00:00:00Z
TMP,FW,SOURCE,HR2,1.96,TMP_FW_Source_HR2,yes,2022-06-22T00:00:00Z
TMP,FW,POOL,T2,7.58,TMP_FW_POOL_T2,yes,2022-06-22T00:00:00Z
TMP,FW,WELL,T1,11.54,TMP_FW_WELL_T1,yes,2022-06-22T00:00:00Z
TMP,FW,WELL,T2,9.35,TMP_FW_WELL_T2,yes,2022-06-22T00:00:00Z
