sample_name,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint
TMP_C_20220523_POOL,11.85,0.52,pooled sample,pooled sample,TMP,C,POOL,20220523
TMP_C_B4_20220518,17.7,1.15,average value of multiple aliquots,average value of multiple aliquots,TMP,C,B4,20220518
TMP_C_B4_20220718,7.26,0.2,NA,NA,TMP,C,B4,20220718
TMP_C_B4_20220808,9.58,0.41,NA,NA,TMP,C,B4,20220808
TMP_C_B4_20221128,7.15,0.18,NA,NA,TMP,C,B4,20221128
TMP_C_B4_T3,11.4,0.31,NA,NA,TMP,C,B4,T3
TMP_C_C3_20220808,15.63,0.45,NA,NA,TMP,C,C3,20220808
TMP_C_C3_20221201,15.77,0.4,NA,NA,TMP,C,C3,20221201
TMP_C_C6_20220518,8.75,0.30500000000000005,average value of multiple aliquots,average value of multiple aliquots,TMP,C,C6,20220518
TMP_C_C6_20220718,12.4,1.41,NA,NA,TMP,C,C6,20220718
TMP_C_C6_20220808,12.42,1.69,NA,NA,TMP,C,C6,20220808
TMP_C_C6_20220912,17.02,0.56,NA,NA,TMP,C,C6,20220912
TMP_C_C6_20221019,10.74,0.36,NA,NA,TMP,C,C6,20221019
TMP_C_C6_20221128,7.95,0.22,NA,NA,TMP,C,C6,20221128
TMP_C_C6_T3,23.71,0.65,NA,NA,TMP,C,C6,T3
TMP_C_D5_20220518,17.87,0.6,NA,NA,TMP,C,D5,20220518
TMP_C_D5_20220721,8.54,0.43,NA,NA,TMP,C,D5,20220721
TMP_C_D5_20220808,10.34,0.37,NA,NA,TMP,C,D5,20220808
TMP_C_D5_20220915,10.84,0.57,NA,NA,TMP,C,D5,20220915
TMP_C_D5_20221019,6.15,0.22,NA,NA,TMP,C,D5,20221019
TMP_C_D5_20221128,6.8,0.26,NA,NA,TMP,C,D5,20221128
TMP_C_D5_T4,19.34,0.5,NA,NA,TMP,C,D5,T4
TMP_C_E3_20220518,9.39,0.475,average value of multiple aliquots,average value of multiple aliquots,TMP,C,E3,20220518
TMP_C_E3_20220808,11.68,0.89,NA,NA,TMP,C,E3,20220808
TMP_C_E3_20220912,10.92,0.49,NA,NA,TMP,C,E3,20220912
TMP_C_E3_20221019,9.45,0.29,NA,NA,TMP,C,E3,20221019
TMP_C_E3_20221128,8.46,0.26,NA,NA,TMP,C,E3,20221128
TMP_C_E3_T4,11.26,0.66,NA,NA,TMP,C,E3,T4
TMP_C_F4_20220518,7.64,0.41,NA,NA,TMP,C,F4,20220518
TMP_C_F4_20220808,13.4,0.55,NA,NA,TMP,C,F4,20220808
TMP_C_F4_20221128,14.22,0.36,NA,NA,TMP,C,F4,20221128
