Plot,date,n,doc_mg_l_sd,doc_mg_l_se,doc_mg_l,tdn_mg_l_sd,tdn_mg_l_se,tdn_mg_l
C,2022-07-18,3,3.84,2.22,16.99,0.48,0.28,0.9
C,2022-07-21,3,4.35,2.51,13.85,0.35,0.2,0.81
C,2022-08-08,9,3.76,1.25,15.97,0.4,0.13,0.73
C,2022-09-12,3,6.91,3.99,17.84,0.17,0.1,0.65
C,2022-09-15,3,6.22,3.59,16.83,1.57,0.91,1.45
C,2022-10-19,7,4.07,1.54,12.95,0.12,0.04,0.4
C,2022-11-28,7,4.58,1.73,12.67,0.18,0.07,0.44
C,2022-12-01,1,NA,NA,16.1,NA,NA,0.46
C,2023-02-02,6,3.15,1.29,10.88,0.08,0.03,0.36
C,2023-02-06,1,NA,NA,14.7,NA,NA,0.42
C,2023-04-17,4,4,2,13.42,0.22,0.11,0.59
C,2023-05-15,5,2.9,1.3,13.07,0.07,0.03,0.44
FW,2022-07-18,5,2.8,1.25,10.94,0.39,0.18,0.66
FW,2022-08-08,8,3.21,1.13,13.85,0.48,0.17,0.74
FW,2022-09-12,2,2.39,1.69,22.14,0.26,0.18,0.98
FW,2022-09-15,7,5.66,2.14,15.34,0.18,0.07,0.62
FW,2022-10-19,7,3.88,1.47,13.94,0.18,0.07,0.49
FW,2022-11-28,6,3.24,1.32,13.63,0.1,0.04,0.5
FW,2022-12-01,1,NA,NA,9.79,NA,NA,0.81
FW,2023-02-02,7,2.37,0.9,11.07,0.48,0.18,0.64
FW,2023-02-06,1,NA,NA,10.96,NA,NA,1.31
FW,2023-04-17,6,1.77,0.72,11.7,0.85,0.35,0.81
FW,2023-05-15,8,2.82,1,10.24,0.14,0.05,0.4
SW,2022-07-18,6,5.62,2.29,10.36,1.84,0.75,1.35
SW,2022-07-21,1,NA,NA,86.27,NA,NA,2.94
SW,2022-08-08,7,9.26,3.5,23.53,0.28,0.1,0.91
SW,2022-08-11,2,0.44,0.31,83.08,0.04,0.03,2.97
SW,2022-09-12,1,NA,NA,13.25,NA,NA,0.61
SW,2022-09-15,5,26,11.63,47.04,0.88,0.39,2.02
SW,2022-10-19,6,32.83,13.4,46.49,1.41,0.57,1.71
SW,2022-11-28,5,8.92,3.99,34.78,0.2,0.09,1.11
SW,2022-12-01,2,5.04,3.57,40.67,1.53,1.08,2.23
SW,2023-02-02,7,12.54,4.74,37.18,0.34,0.13,1.44
SW,2023-02-06,2,43.2,30.55,54.85,1.54,1.09,2.04
SW,2023-04-17,6,9.36,3.82,44.38,0.24,0.1,1.39
SW,2023-05-15,4,15.25,7.62,38.91,0.47,0.24,1.15
