sample_name,rundate,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,date,Event,Plot,Grid,Pool_Timepoint,time
TMP_FW_C3_20220808,20220819,14.84,0.53,NA,NA,2022-08-08,TMP,FW,C3,NA,NA
TMP_FW_C6_20220808,20220819,9.31,0.41,NA,NA,2022-08-08,TMP,FW,C6,NA,NA
TMP_FW_F4_20220808,20220819,14.67,0.73,NA,NA,2022-08-08,TMP,FW,F4,NA,NA
TMP_FW_H3_20220808,20220819,11.59,0.46,NA,NA,2022-08-08,TMP,FW,H3,NA,NA
TMP_FW_H6_20220808,20220819,14.9,1.9,NA,NA,2022-08-08,TMP,FW,H6,NA,NA
TMP_FW_D5_20220808,20220819,18.81,0.75,NA,NA,2022-08-08,TMP,FW,D5,NA,NA
TMP_FW_E3_20220808,20220819,10.3,0.54,NA,NA,2022-08-08,TMP,FW,E3,NA,NA
TMP_SW_H3_20220811_EXTRA,20220819,83.39,3,NA,NA,2022-08-11,TMP,SW,H3,NA,NA
TMP_FW_I5_20220808,20220819,16.38,0.6,NA,NA,2022-08-08,TMP,FW,I5,NA,NA
TMP_C_POOL_20220808,20220819,15.2,0.67,pooled sample,pooled sample,2022-08-08,TMP,C,POOL,NA,NA
TMP_SW_F4_20220808,20220819,33.7,1.19,NA,NA,2022-08-08,TMP,SW,F4,NA,NA
TMP_SW_H3_20220811,20220819,82.77,2.94,NA,NA,2022-08-11,TMP,SW,H3,NA,NA
TMP_SW_H6_20220808,20220819,38.01,1.29,NA,NA,2022-08-08,TMP,SW,H6,NA,NA
TMP_SW_D5_20220808,20220819,24.83,1.11,NA,NA,2022-08-08,TMP,SW,D5,NA,NA
TMP_SW_F6_20220808,20220819,12.87,0.66,NA,NA,2022-08-08,TMP,SW,F6,NA,NA
TMP_SW_I5_20220808,20220819,20.27,0.82,NA,NA,2022-08-08,TMP,SW,I5,NA,NA
TMP_SW_C3_20220808,20220819,16.19,0.6,NA,NA,2022-08-08,TMP,SW,C3,NA,NA
TMP_SW_POOL_20220808,20220819,29.48,1,pooled sample,pooled sample,2022-08-08,TMP,SW,POOL,NA,NA
TMP_FW_POOL_20220808,20220819,11.74,0.68,pooled sample,pooled sample,2022-08-08,TMP,FW,POOL,NA,NA
TMP_SW_E3_20220808,20220819,18.85,0.73,NA,NA,2022-08-08,TMP,SW,E3,NA,NA
TMP_C_D5_20220915,20220922,11.13,0.6,NA,NA,2022-09-15,TMP,C,D5,NA,NA
TMP_C_H6_20220912,20220922,25,0.84,NA,NA,2022-09-12,TMP,C,H6,NA,NA
TMP_C_H3_20220915,20220922,23.46,3.27,NA,value above cal curve,2022-09-15,TMP,C,H3,NA,NA
TMP_C_C6_20220912,20220922,17.31,0.59,NA,NA,2022-09-12,TMP,C,C6,NA,NA
TMP_C_I5_20220915,20220922,15.9,0.49,NA,NA,2022-09-15,TMP,C,I5,NA,NA
TMP_C_E3_20220912,20220922,11.21,0.52,NA,NA,2022-09-12,TMP,C,E3,NA,NA
TMP_C_POOL_20220912,20220922,18.37,1.16,pooled sample,pooled sample,2022-09-12,TMP,C,POOL,20220912_20220915,NA
TMP_FW_I5_20220915,20220922,22.43,0.8,NA,NA,2022-09-15,TMP,FW,I5,NA,NA
TMP_FW_E3_20220915,20220922,8.16,0.4,NA,NA,2022-09-15,TMP,FW,E3,NA,NA
TMP_FW_H6_20220912,20220922,20.45,0.79,NA,NA,2022-09-12,TMP,FW,H6,NA,NA
TMP_FW_C3_20220915,20220922,21.35,0.72,NA,NA,2022-09-15,TMP,FW,C3,NA,NA
TMP_FW_C6_20220915,20220922,8.6,0.37,NA,NA,2022-09-15,TMP,FW,C6,NA,NA
TMP_FW_F6_20220915,20220922,16.19,0.76,NA,NA,2022-09-15,TMP,FW,F6,NA,NA
TMP_FW_F4_20220915,20220922,13.3,0.75,NA,NA,2022-09-15,TMP,FW,F4,NA,NA
TMP_FW_I5_20220912,20220922,23.83,1.16,NA,NA,2022-09-12,TMP,FW,I5,NA,NA
TMP_FW_D5_20220915,20220922,17.36,0.57,NA,NA,2022-09-15,TMP,FW,D5,NA,NA
TMP_FW_POOL_20220912,20220922,17.39,1.07,pooled sample,pooled sample,2022-09-12,TMP,FW,POOL,20220912_20220915,NA
TMP_SW_H3_20220915,20220922,86.81,2.78,NA,NA,2022-09-15,TMP,SW,H3,NA,NA
TMP_SW_C3_20220915,20220922,21.94,3.06,NA,value above cal curve,2022-09-15,TMP,SW,C3,NA,NA
TMP_SW_C6_20220915,20220922,54.58,1.84,NA,NA,2022-09-15,TMP,SW,C6,NA,NA
TMP_SW_F6_20220912,20220922,13.25,0.61,NA,NA,2022-09-12,TMP,SW,F6,NA,NA
TMP_SW_E3_20220915,20220922,26.22,0.97,NA,NA,2022-09-15,TMP,SW,E3,NA,NA
TMP_SW_H6_20220915,20220922,45.66,1.45,NA,NA,2022-09-15,TMP,SW,H6,NA,NA
TMP_SW_POOL_20220912,20220922,54.12,2.84,pooled sample,pooled sample,2022-09-12,TMP,SW,POOL,20220912_20220915,NA
TMP_C_H3_20221019,20221025,19.4,0.59,NA,NA,2022-10-19,TMP,C,H3,NA,NA
TMP_C_H6_20221019,20221025,15.72,0.5,NA,NA,2022-10-19,TMP,C,H6,NA,NA
TMP_C_D5_20221019,20221025,6.9,0.24,NA,NA,2022-10-19,TMP,C,D5,NA,NA
TMP_C_E3_20221019,20221025,10.2,0.31,NA,NA,2022-10-19,TMP,C,E3,NA,NA
TMP_C_F6_20221019,20221025,12.13,0.38,NA,NA,2022-10-19,TMP,C,F6,NA,NA
TMP_C_I5_20221019,20221025,14.79,0.39,NA,NA,2022-10-19,TMP,C,I5,NA,NA
TMP_C_C6_20221019,20221025,11.49,0.38,NA,NA,2022-10-19,TMP,C,C6,NA,NA
TMP_FW_C3_20221019,20221025,12.5,0.38,NA,NA,2022-10-19,TMP,FW,C3,NA,NA
TMP_FW_C6_20221019,20221025,11.44,0.32,NA,NA,2022-10-19,TMP,FW,C6,NA,NA
TMP_FW_H3_20221019,20221025,11.76,0.5,NA,NA,2022-10-19,TMP,FW,H3,NA,NA
TMP_FW_H6_20221019,20221025,15.04,0.56,NA,NA,2022-10-19,TMP,FW,H6,NA,NA
TMP_FW_D5_20221019,20221025,15.08,0.48,NA,NA,2022-10-19,TMP,FW,D5,NA,NA
TMP_FW_E3_20221019,20221025,10.08,0.35,NA,NA,2022-10-19,TMP,FW,E3,NA,NA
TMP_FW_I5_20221019,20221025,21.68,0.86,NA,NA,2022-10-19,TMP,FW,I5,NA,NA
TMP_SW_C3_20221019,20221025,14.76,0.51,NA,NA,2022-10-19,TMP,SW,C3,NA,NA
TMP_SW_C6_20221019,20221025,45.83,2,NA,NA,2022-10-19,TMP,SW,C6,NA,NA
TMP_SW_H3_20221019,20221025,109.2,4.39,NA,value above cal curve,2022-10-19,TMP,SW,H3,NA,NA
TMP_SW_H6_20221019,20221025,27.6,0.89,NA,NA,2022-10-19,TMP,SW,H6,NA,NA
TMP_SW_D5_20221019,20221025,37.03,1.04,NA,NA,2022-10-19,TMP,SW,D5,NA,NA
TMP_SW_F6_20221019,20221025,44.55,1.46,NA,NA,2022-10-19,TMP,SW,F6,NA,NA
TMP_C_POOL_20221019,20221025,15.84,0.51,pooled sample,pooled sample,2022-10-19,TMP,C,POOL,20221019-20221024,NA
TMP_FW_POOL_20221019,20221025,14.93,0.94,pooled sample,pooled sample,2022-10-19,TMP,FW,POOL,20221019-20221024,NA
TMP_SW_POOL_20221019,20221025,41.95,1.44,pooled sample,pooled sample,2022-10-19,TMP,SW,POOL,NA,NA
TMP_FW_C6_20221201,20221209,9.79,0.81,NA,NA,2022-12-01,TMP,FW,C6,NA,NA
TMP_FW_C3_20221128,20221209,15.94,0.52,NA,NA,2022-11-28,TMP,FW,C3,NA,NA
TMP_FW_D5_20221128,20221209,15.13,0.43,NA,NA,2022-11-28,TMP,FW,D5,NA,NA
TMP_FW_H3_20221128,20221209,9.01,0.34,NA,NA,2022-11-28,TMP,FW,H3,NA,NA
TMP_FW_I5_20221128,20221209,15.15,0.58,NA,NA,2022-11-28,TMP,FW,I5,NA,NA
TMP_FW_E3_20221128,20221209,10.03,0.48,NA,NA,2022-11-28,TMP,FW,E3,NA,NA
TMP_FW_H6_20221128,20221209,16.53,0.62,NA,NA,2022-11-28,TMP,FW,H6,NA,NA
TMP_C_E3_20221128,20221209,8.79,0.32,NA,NA,2022-11-28,TMP,C,E3,NA,NA
TMP_C_H6_20221128,20221209,15.01,0.46,NA,NA,2022-11-28,TMP,C,H6,NA,NA
TMP_C_I5_20221128,20221209,15.72,0.47,NA,NA,2022-11-28,TMP,C,I5,NA,NA
TMP_C_F4_20221128,20221209,14.55,0.42,NA,NA,2022-11-28,TMP,C,F4,NA,NA
TMP_C_C6_20221128,20221209,8.28,0.28,NA,NA,2022-11-28,TMP,C,C6,NA,NA
TMP_C_C3_20221201,20221209,16.1,0.46,NA,NA,2022-12-01,TMP,C,C3,NA,NA
TMP_C_D5_20221128,20221209,7.13,0.32,NA,NA,2022-11-28,TMP,C,D5,NA,NA
TMP_C_H3_20221128,20221209,19.2,0.81,NA,NA,2022-11-28,TMP,C,H3,NA,NA
TMP_C_POOL_20221128,20221209,14.49,0.53,pooled sample,pooled sample,2022-11-28,TMP,C,POOL,20221128_20221201,NA
TMP_FW_POOL_20221128,20221209,14.01,0.48,pooled sample,pooled sample,2022-11-28,TMP,FW,POOL,20221128_20221201,NA
TMP_SW_POOL_20221128,20221209,43.13,1.25,pooled sample,pooled sample,2022-11-28,TMP,SW,POOL,20221128_20221201,NA
TMP_SW_C6_20221201,20221209,44.24,3.32,NA,NA,2022-12-01,TMP,SW,C6,NA,NA
TMP_SW_E3_20221201,20221209,37.11,1.15,NA,NA,2022-12-01,TMP,SW,E3,NA,NA
TMP_SW_H6_20221128,20221209,28.31,0.91,NA,NA,2022-11-28,TMP,SW,H6,NA,NA
TMP_SW_C3_20221128,20221209,23.28,0.94,NA,NA,2022-11-28,TMP,SW,C3,NA,NA
TMP_SW_D5_20221128,20221209,43.48,1.24,NA,NA,2022-11-28,TMP,SW,D5,NA,NA
TMP_SW_H3_20221128,20221209,35.85,1.08,NA,NA,2022-11-28,TMP,SW,H3,NA,NA
TMP_SW_F6_20221128,20221209,42.99,1.39,NA,NA,2022-11-28,TMP,SW,F6,NA,NA
TMP_C_C6_20230202,20230209,8.27,0.27,NA,NA,2023-02-02,TMP,C,C6,NA,NA
TMP_C_H3_20230206,20230209,14.7,0.42,NA,NA,2023-02-06,TMP,C,H3,NA,NA
TMP_C_H6_20230202,20230209,11.4,0.39,NA,NA,2023-02-02,TMP,C,H6,NA,NA
TMP_C_D5_20230202,20230209,7.77,0.29,NA,NA,2023-02-02,TMP,C,D5,NA,NA
TMP_C_E3_20230202,20230209,8.63,0.3,NA,NA,2023-02-02,TMP,C,E3,NA,NA
TMP_C_F6_20230202,20230209,14.28,0.47,NA,NA,2023-02-02,TMP,C,F6,NA,NA
TMP_C_I5_20230202,20230209,14.91,0.41,NA,NA,2023-02-02,TMP,C,I5,NA,NA
TMP_C_POOL_20230202,20230209,12.26,0.42,pooled sample,pooled sample,2023-02-02,TMP,C,POOL,NA,NA
TMP_FW_C3_20230202,20230209,12.3,0.48,NA,NA,2023-02-02,TMP,FW,C3,NA,NA
TMP_FW_C6_20230202,20230209,7.2,0.39,NA,NA,2023-02-02,TMP,FW,C6,NA,NA
TMP_FW_H3_20230202,20230209,8.89,0.34,NA,NA,2023-02-02,TMP,FW,H3,NA,NA
TMP_FW_H6_20230202,20230209,11.86,1.71,NA,NA,2023-02-02,TMP,FW,H6,NA,NA
TMP_FW_D5_20230202,20230209,10.41,0.35,NA,NA,2023-02-02,TMP,FW,D5,NA,NA
TMP_FW_E3_20230206,20230209,10.96,1.31,NA,NA,2023-02-06,TMP,FW,E3,NA,NA
TMP_FW_F6_20230202,20230209,13.77,0.64,NA,NA,2023-02-02,TMP,FW,F6,NA,NA
TMP_FW_I5_20230202,20230209,13.09,0.58,NA,NA,2023-02-02,TMP,FW,I5,NA,NA
TMP_FW_POOL_20230202,20230209,10.75,0.71,pooled sample,pooled sample,2023-02-02,TMP,FW,POOL,NA,NA
TMP_SW_C3_20230202,20230209,45.24,1.47,NA,NA,2023-02-02,TMP,SW,C3,NA,NA
TMP_SW_C6_20230202,20230209,39.86,1.82,NA,NA,2023-02-02,TMP,SW,C6,NA,NA
TMP_SW_F4_20230202,20230209,20.21,1.72,NA,NA,2023-02-02,TMP,SW,F4,NA,NA
TMP_SW_H3_20230206,20230209,24.3,0.95,NA,NA,2023-02-06,TMP,SW,H3,NA,NA
TMP_SW_H6_20230202,20230209,19.65,0.76,NA,NA,2023-02-02,TMP,SW,H6,NA,NA
TMP_SW_D5_20230202,20230209,52.63,1.54,NA,NA,2023-02-02,TMP,SW,D5,NA,NA
TMP_SW_E3_20230202,20230209,40.1,1.33,NA,NA,2023-02-02,TMP,SW,E3,NA,NA
TMP_SW_F6_20230202,20230209,42.55,1.45,NA,NA,2023-02-02,TMP,SW,F6,NA,NA
TMP_SW_I5_20230206,20230209,85.4,3.13,NA,NA,2023-02-06,TMP,SW,I5,NA,NA
TMP_SW_POOL_20230202,20230209,52.75,1.87,pooled sample,pooled sample,2023-02-02,TMP,SW,POOL,NA,NA
TMP_C_I5_20230417,20230512,15.83,0.82,NA,NA,2023-04-17,TMP,C,I5,NA,NA
TMP_C_H6_20230417,20230512,12.12,0.47,NA,NA,2023-04-17,TMP,C,H6,NA,NA
TMP_C_H3_20230417,20230512,17.32,0.73,NA,NA,2023-04-17,TMP,C,H3,NA,NA
TMP_C_C6_20230417,20230512,8.4,0.34,NA,NA,2023-04-17,TMP,C,C6,NA,NA
TMP_C_POOL_20230417,20230512,12.18,0.55,pooled sample,pooled sample,2023-04-17,TMP,C,POOL,NA,NA
TMP_FW_C3_20230417,20230512,13.39,0.59,NA,NA,2023-04-17,TMP,FW,C3,NA,NA
TMP_FW_H6_20230417,20230512,12.89,0.6,NA,NA,2023-04-17,TMP,FW,H6,NA,NA
TMP_FW_D5_20230417,20230512,10.7,0.37,NA,NA,2023-04-17,TMP,FW,D5,NA,NA
TMP_FW_I5_20230417,20230512,12.43,0.47,NA,NA,2023-04-17,TMP,FW,I5,NA,NA
TMP_FW_H3_20230417,20230512,8.59,0.32,NA,NA,2023-04-17,TMP,FW,H3,NA,NA
TMP_FW_C6_20230417,20230512,12.22,2.54,NA,NA,2023-04-17,TMP,FW,C6,NA,NA
TMP_FW_POOL_20230417,20230512,11.14,0.49,pooled sample,pooled sample,2023-04-17,TMP,FW,POOL,NA,NA
TMP_SW_F6_20230417,20230512,42.05,1.4,NA,NA,2023-04-17,TMP,SW,F6,NA,NA
TMP_SW_C6_20230417,20230512,34.28,1.19,NA,NA,2023-04-17,TMP,SW,C6,NA,NA
TMP_SW_D5_20230417,20230512,58,1.72,NA,NA,2023-04-17,TMP,SW,D5,NA,NA
TMP_SW_E3_20230417,20230512,42.35,1.35,NA,NA,2023-04-17,TMP,SW,E3,NA,NA
TMP_SW_C3_20230417,20230512,53.19,1.59,NA,NA,2023-04-17,TMP,SW,C3,NA,NA
TMP_SW_H6_20230417,20230512,36.41,1.08,NA,NA,2023-04-17,TMP,SW,H6,NA,NA
TMP_SW_POOL_20230417,20230512,45.66,1.48,pooled sample,pooled sample,2023-04-17,TMP,SW,POOL,NA,NA
TMP_C_I5_20230515,20230531,15.39,0.48,NA,NA,2023-05-15,TMP,C,I5,NA,NA
TMP_C_F6_20230515,20230531,15.58,0.41,NA,NA,2023-05-15,TMP,C,F6,NA,NA
TMP_C_E3_20230515,20230531,9.92,0.48,NA,NA,2023-05-15,TMP,C,E3,NA,NA
TMP_C_C6_20230515,20230531,9.93,0.32,NA,NA,2023-05-15,TMP,C,C6,NA,NA
TMP_C_H6_20230515,20230531,14.55,0.5,NA,NA,2023-05-15,TMP,C,H6,NA,NA
TMP_C_POOL_20230515,20230531,21.09,0.72,pooled sample,pooled sample,2023-05-15,TMP,C,POOL,NA,NA
TMP_FW_C6_20230515,20230531,7.45,0.34,NA,NA,2023-05-15,TMP,FW,C6,NA,NA
TMP_FW_D5_20230515,20230531,11.23,0.35,NA,NA,2023-05-15,TMP,FW,D5,NA,NA
TMP_FW_I5_20230515,20230531,11.96,0.42,NA,NA,2023-05-15,TMP,FW,I5,NA,NA
TMP_FW_E3_20230515,20230531,6.88,0.26,NA,NA,2023-05-15,TMP,FW,E3,NA,NA
TMP_FW_H6_20230515,20230531,12.36,0.52,NA,NA,2023-05-15,TMP,FW,H6,NA,NA
TMP_FW_C3_20230515,20230531,7.51,0.29,NA,NA,2023-05-15,TMP,FW,C3,NA,NA
TMP_FW_H3_20230515,20230531,9.76,0.68,NA,NA,2023-05-15,TMP,FW,H3,NA,NA
TMP_FW_F6_20230515,20230531,14.77,0.37,NA,NA,2023-05-15,TMP,FW,F6,NA,NA
TMP_FW_POOL_20230515,20230531,10.83,0.44,pooled sample,pooled sample,2023-05-15,TMP,FW,POOL,NA,NA
TMP_SW_F6_20230515,20230531,50.96,1.67,NA,NA,2023-05-15,TMP,SW,F6,NA,NA
TMP_SW_H3_20230515,20230531,24.18,0.84,NA,NA,2023-05-15,TMP,SW,H3,NA,NA
TMP_SW_C3_20230515,20230531,53.12,1.41,NA,NA,2023-05-15,TMP,SW,C3,NA,NA
TMP_SW_H6_20230515,20230531,27.36,0.67,NA,NA,2023-05-15,TMP,SW,H6,NA,NA
TMP_SW_POOL_20230515,20230531,45.91,1.5,pooled sample,pooled sample,2023-05-15,TMP,SW,POOL,NA,NA
TMP_SW_H3_20220721,20220803,86.27,2.94,NA,NA,2022-07-21,TMP,SW,H3,NA,NA
