sample_name,rundate,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,date,Event,Plot,Grid,Pool_Timepoint,time
TMP_C_C6_20220718,20220729,12.69,1.44,NA,NA,2022-07-18,TMP,C,C6,NA,NA
TMP_C_H3_20220718,20220729,20.08,0.51,NA,NA,2022-07-18,TMP,C,H3,NA,NA
TMP_C_H6_20220721,20220729,16.28,1.15,NA,NA,2022-07-21,TMP,C,H6,NA,NA
TMP_C_D5_20220721,20220729,8.83,0.46,NA,NA,2022-07-21,TMP,C,D5,NA,NA
TMP_C_F6_20220721,20220729,16.45,0.81,NA,NA,2022-07-21,TMP,C,F6,NA,NA
TMP_C_I5_20220718,20220729,18.21,0.74,NA,NA,2022-07-18,TMP,C,I5,NA,NA
TMP_FW_C6_20220718,20220729,7.21,0.23,NA,NA,2022-07-18,TMP,FW,C6,NA,NA
TMP_FW_H6_20220718,20220729,11.01,0.46,NA,NA,2022-07-18,TMP,FW,H6,NA,NA
TMP_FW_D5_20220718,20220729,12.17,1.27,NA,NA,2022-07-18,TMP,FW,D5,NA,NA
TMP_FW_E3_20220718,20220729,9.61,0.79,NA,NA,2022-07-18,TMP,FW,E3,NA,NA
TMP_FW_I5_20220718,20220729,14.7,0.57,NA,NA,2022-07-18,TMP,FW,I5,NA,NA
TMP_SW_C3_20220718,20220729,9.15,0.47,NA,NA,2022-07-18,TMP,SW,C3,NA,NA
TMP_SW_C6_20220718,20220729,19.29,5.07,NA,value above cal curve,2022-07-18,TMP,SW,C6,NA,NA
TMP_SW_F4_20220718,20220729,7.66,0.62,NA,NA,2022-07-18,TMP,SW,F4,NA,NA
TMP_SW_D5_20220718,20220729,6.11,0.44,NA,NA,2022-07-18,TMP,SW,D5,NA,NA
TMP_SW_F6_20220718,20220729,4.94,0.41,NA,NA,2022-07-18,TMP,SW,F6,NA,NA
TMP_SW_I5_20220718,20220729,15.02,1.07,NA,NA,2022-07-18,TMP,SW,I5,NA,NA
TMP_C_H3_20220808,20220819,20.09,0.61,NA,NA,2022-08-08,TMP,C,H3,NA,NA
TMP_C_H6_20220808,20220819,15.89,0.58,NA,NA,2022-08-08,TMP,C,H6,NA,NA
TMP_C_D5_20220808,20220819,11.37,0.41,NA,NA,2022-08-08,TMP,C,D5,NA,NA
TMP_C_E3_20220808,20220819,12.71,0.93,NA,NA,2022-08-08,TMP,C,E3,NA,NA
TMP_C_F6_20220808,20220819,15.7,0.5,NA,NA,2022-08-08,TMP,C,F6,NA,NA
TMP_C_I5_20220808,20220819,23.39,0.71,NA,NA,2022-08-08,TMP,C,I5,NA,NA
TMP_C_C3_20220808,20220819,16.66,0.49,NA,NA,2022-08-08,TMP,C,C3,NA,NA
TMP_C_C6_20220808,20220819,13.45,1.73,NA,NA,2022-08-08,TMP,C,C6,NA,NA
TMP_C_F4_20220808,20220819,14.43,0.59,NA,NA,2022-08-08,TMP,C,F4,NA,NA
