plot,grid,evacuation_datetime,collection_datetime,mean_vwc_m3m3_15cm,min_vwc_m3m3_15cm,max_vwc_m3m3_15cm,doc_mg_l,tdn_mg_l,elapsed_time,Total_Volume_mL
Control,E3,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,0.34663126903102515,0.280868428,0.462060397,8.79,0.32,4459,53.5
Control,E3,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,0.3679281038995215,0.315476866,0.445811266,8.63,0.3,4397,36.5
Control,E3,2023-05-12T18:01:00Z,2023-05-15T18:46:00Z,0.34722683535851767,0.286675291,0.412296706,9.92,0.48,4365,42.5
Control,E3,2023-06-23T18:06:00Z,2023-06-28T19:48:00Z,0.3196374711503618,0.232691248,0.459224848,10.14,0.38,7302,52.333333333333336
Control,E3,2023-08-07T15:40:00Z,2023-08-10T14:36:00Z,0.34451735143092493,0.20913796,0.47093167,11.71,0.45,4256,45
Control,F4,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,0.37071500561218085,0.31587640299999997,0.45979894,8.13,0.47,7200,40
Control,F4,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,0.3612330479745721,0.306981856,0.469279216,14.43,0.59,4380,31.5
Control,F4,2023-08-07T15:45:00Z,2023-08-10T14:27:00Z,0.34459179438899384,0.20913796,0.47093167,19.54,0.72,4242,42
Control,F6,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,0.37071500561218085,0.31587640299999997,0.45979894,7.459999999999999,0.335,7200,40
Control,F6,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,0.3396585025442396,0.279247006,0.462106945,13.77,0.57,8640,52.5
Control,F6,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,0.344396511608545,0.291652048,0.458138728,19.97,0.75,1441,29
Control,F6,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,0.3426885727919009,0.296147809,0.440318602,16.45,0.81,4350,24.5
Control,F6,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,0.3612330479745721,0.306981856,0.469279216,15.7,0.5,4380,36.5
Control,F6,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,0.29930443925030675,0.241066009,0.409267207,12.13,0.38,2912,25
Control,F6,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,0.34663126903102515,0.280868428,0.462060397,14.55,0.42,4459,54.625
Control,F6,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,0.3679281038995215,0.315476866,0.445811266,14.28,0.47,4397,36.5
Control,F6,2023-05-12T15:36:00Z,2023-05-15T16:50:00Z,0.34729665935891585,0.288172585,0.412296706,15.58,0.41,4394,40.5
Control,F6,2023-06-23T18:15:00Z,2023-06-28T19:04:00Z,0.31958047172039944,0.232691248,0.459224848,17.37,0.49,7249,39
Control,F6,2023-08-07T15:36:00Z,2023-08-10T14:17:00Z,0.3445582315276596,0.20913796,0.47093167,22.34,0.67,4241,44
Control,H3,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,0.3396585025442396,0.279247006,0.462106945,21.45,0.59,8640,52.5
Control,H3,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,0.344396511608545,0.291652048,0.458138728,22.94,0.82,1441,24
Control,H3,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,0.3433304944515076,0.276950638,0.465788116,20.08,0.51,5813,36.5
Control,H3,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,0.3612330479745721,0.306981856,0.469279216,20.09,0.61,4380,36.5
Control,H3,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,0.2779666299306102,0.202780279,0.468185338,23.46,3.27,4352,23.5
Control,H3,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,0.29930443925030675,0.241066009,0.409267207,19.4,0.59,2912,25
Control,H3,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,0.34663126903102515,0.280868428,0.462060397,19.2,0.81,4459,54.625
Control,H3,2023-02-02T15:15:00Z,2023-02-06T15:35:00Z,0.36309659661638377,0.316140175,0.422161003,14.7,0.42,5780,35
Control,H3,2023-04-14T13:03:00Z,2023-04-17T12:50:00Z,0.37253387303983226,0.306943066,0.462898261,17.32,0.73,4307,24.5
Control,H3,2023-06-23T18:02:00Z,2023-06-28T18:33:00Z,0.3195163302409734,0.232691248,0.459224848,20.53,2.1,7231,27
Control,H3,2023-08-04T15:56:00Z,2023-08-07T16:00:00Z,0.3041613987764162,0.21278422,0.403821091,17.57,0.6,4324,36
Control,H3,2023-12-08T14:46:00Z,2023-12-11T15:06:00Z,0.3209736408811808,0.229588048,0.471071314,20.84,0.77,4340,54
Control,H6,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,0.37071500561218085,0.31587640299999997,0.45979894,13.92,0.47,7200,40
Control,H6,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,0.3396585025442396,0.279247006,0.462106945,17.41,0.66,8640,52
Control,H6,2022-06-22T15:59:00Z,2022-06-22T20:34:00Z,0.3049152677105263,0.259227487,0.408181087,19.16,0.59,275,33.333333333333336
Control,H6,2022-06-22T20:34:00Z,2022-06-23T13:38:00Z,0.3218914472991014,0.258777523,0.455923819,20.74,0.62,1299,45
Control,H6,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,0.344396511608545,0.291652048,0.458138728,21.31,0.77,1441,40
Control,H6,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,0.3426885727919009,0.296147809,0.440318602,16.28,1.15,4350,36.5
Control,H6,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,0.3612330479745721,0.306981856,0.469279216,15.89,0.58,4380,36.5
Control,H6,2022-09-09T14:00:00Z,2022-09-12T14:35:00Z,0.2577546516847541,0.175844503,0.433472167,25,0.84,4355,22.5
Control,H6,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,0.29930443925030675,0.241066009,0.409267207,15.72,0.5,2912,24.5
Control,H6,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,0.34663126903102515,0.280868428,0.462060397,15.01,0.46,4459,65
Control,H6,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,0.3679281038995215,0.315476866,0.445811266,11.4,0.39,4397,31.5
Control,H6,2023-04-14T13:12:00Z,2023-04-17T13:02:00Z,0.372520147,0.306943066,0.462898261,12.12,0.47,4310,36.5
Control,H6,2023-05-12T15:36:00Z,2023-05-15T16:32:00Z,0.34730089444670487,0.288793225,0.412296706,14.55,0.5,4376,52.5
Control,H6,2023-05-31T18:26:00Z,2023-06-03T18:15:00Z,0.33875764010653137,0.270084808,0.423953101,24.67,0.53,4309,39
Control,H6,2023-06-08T20:47:00Z,2023-06-12T14:22:00Z,0.2900508011421642,0.211372264,0.375422932,16.2,0.75,5375,20.5
Control,H6,2023-06-23T18:18:00Z,2023-06-28T18:54:00Z,0.3195986879470672,0.232691248,0.459224848,19.3,0.67,7236,64
Control,H6,2023-07-05T16:15:00Z,2023-07-07T15:42:00Z,0.29301845707619384,0.205286113,0.394895512,19.94,0.84,2847,26.5
Control,H6,2023-07-07T15:42:00Z,2023-07-10T16:55:00Z,0.2934245619959016,0.195239503,0.46833274,21.17,1.2,4393,38
Control,H6,2023-08-04T16:03:00Z,2023-08-07T15:49:00Z,0.3041782368582384,0.21278422,0.403821091,16.67,0.68,4306,29
Control,H6,2023-08-07T15:59:00Z,2023-08-10T15:59:00Z,0.34452712469846797,0.20913796,0.47093167,17.54,0.65,4320,25
Control,H6,2023-12-08T15:00:00Z,2023-12-11T15:23:00Z,0.321119964880619,0.229588048,0.471071314,11.97,0.4,4343,74
Control,I5,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,0.33236827912116745,0.285507712,0.454496347,19.15,0.84,5760,99
Control,I5,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,0.3218914472991014,0.258777523,0.455923819,22.93,0.67,1299,25
Control,I5,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,0.344396511608545,0.291652048,0.458138728,26.29,1.45,1441,42
Control,I5,2022-07-14T15:59:00Z,2022-07-18T15:59:00Z,0.3431841391868153,0.276950638,0.465788116,18.21,0.74,5760,25
Control,I5,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,0.3612330479745721,0.306981856,0.469279216,23.39,0.71,4380,36.5
Control,I5,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,0.2779666299306102,0.202780279,0.468185338,15.9,0.49,4352,32.5
Control,I5,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,0.29930443925030675,0.241066009,0.409267207,14.79,0.39,2912,25
Control,I5,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,0.34663126903102515,0.280868428,0.462060397,15.72,0.47,4459,79.5
Control,I5,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,0.3679281038995215,0.315476866,0.445811266,14.91,0.41,4397,36.5
Control,I5,2023-04-14T13:31:00Z,2023-04-17T12:55:00Z,0.3726516620126582,0.306943066,0.462898261,15.83,0.82,4284,32.5
Control,I5,2023-05-12T15:39:00Z,2023-05-15T16:25:00Z,0.34732242278760045,0.288816499,0.412296706,15.39,0.48,4366,42.5
Control,I5,2023-05-31T18:36:00Z,2023-06-03T18:00:00Z,0.33877936315890234,0.270084808,0.42372424,20.45,0.44,4284,61
Control,I5,2023-06-23T18:21:00Z,2023-06-28T18:40:00Z,0.31958944657361377,0.232691248,0.459224848,17.09,0.48,7219,64
Control,I5,2023-07-07T15:38:00Z,2023-07-10T17:10:00Z,0.29350326843232827,0.195239503,0.46833274,19.03,0.74,4412,38
Control,I5,2023-08-07T15:56:00Z,2023-08-10T13:57:00Z,0.34483445013726427,0.20913796,0.47093167,20.34,0.6,4201,34
Control,I5,2023-10-02T15:59:00Z,2023-10-05T15:59:00Z,0.2586336855836035,0.178815817,0.329371444,13.19,0.43,4320,20
Control,I5,2023-12-05T14:50:00Z,2023-12-08T14:49:00Z,0.30741437192586146,0.227167552,0.383204206,17.68,0.51,4319,39
Freshwater,B4,2022-06-22T15:59:00Z,2022-06-22T20:14:00Z,0.376399506591716,0.330275251,0.414403003,16.87,1.63,255,81.04761904761905
Freshwater,B4,2022-06-22T20:14:00Z,2022-06-23T13:38:00Z,0.3671357080474354,0.303626521,0.414403003,7.87,0.33,1299,81.04761904761905
Freshwater,B4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,0.35245823638793694,0.301632715,0.404146927,9.79,0.36,1457,36.5
Freshwater,B4,2022-07-14T15:59:00Z,2022-07-18T15:59:00Z,0.3181161704278256,0.25522048,0.411226102,11.88,1.07,5760,32.75
Freshwater,B4,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,0.32910199349814556,0.275616262,0.412129909,12.08,0.49,4385,36.5
Freshwater,B4,2022-09-12T16:00:00Z,2022-09-15T16:48:00Z,0.24726607820544022,0.201073519,0.329239558,16.62,2.87,4368,31.1
Freshwater,B4,2022-10-17T19:00:00Z,2022-10-19T19:39:00Z,0.2849649024010283,0.213195394,0.3183706,13.23,0.38,2919,29.5
Freshwater,B4,2022-11-25T19:14:00Z,2022-11-28T20:28:00Z,0.32049061476858876,0.285445648,0.381427624,12.31,0.6,4394,68.2
Freshwater,B4,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,0.33362316261257835,0.30076769800000003,0.358747111,11.29,0.49,4380,35.3
Freshwater,B4,2023-05-12T17:24:00Z,2023-05-15T20:45:00Z,0.32025064489762034,0.286997248,0.350073667,7.94,0.27,4521,32.5
Freshwater,B4,2023-06-05T19:42:00Z,2023-06-06T20:30:00Z,0.334204674166996,0.264983923,0.409868452,5.93,0.67,1488,54.2
Freshwater,B4,2023-06-07T13:34:00Z,2023-06-07T21:23:00Z,0.3787301996905016,0.347071321,0.411939838,4.75,0.26,469,87.125
Freshwater,B4,2023-06-23T17:04:00Z,2023-06-27T16:02:00Z,0.3331560475990666,0.285143086,0.412195852,11.69,0.55,5698,39
Freshwater,B4,2023-08-07T13:53:00Z,2023-08-10T17:34:00Z,0.3268675000109356,0.222167521,0.407696212,14,0.55,4541,45
Freshwater,C3,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,0.3403008440690795,0.295050052,0.389205019,7.01,0.33,8640,40
Freshwater,C3,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,0.31103780446865203,0.271574344,0.353390212,10.55,0.52,5760,67
Freshwater,C3,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,0.37658445976,0.341795881,0.412021297,5.54,0.18,46,100
Freshwater,C3,2022-06-22T16:45:00Z,2022-06-22T20:14:00Z,0.376399506591716,0.330275251,0.414403003,9.72,0.25,255,100
Freshwater,C3,2022-06-22T20:14:00Z,2022-06-23T13:38:00Z,0.3671357080474354,0.303626521,0.414403003,13.79,0.43,1299,173
Freshwater,C3,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,0.35245823638793694,0.301632715,0.404146927,18.09,1,1457,36.5
Freshwater,C3,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,0.32910199349814556,0.275616262,0.412129909,14.84,0.53,4385,36.5
Freshwater,C3,2022-09-12T16:00:00Z,2022-09-15T16:48:00Z,0.24726607820544022,0.201073519,0.329239558,21.35,0.72,4368,32.5
Freshwater,C3,2022-10-17T19:00:00Z,2022-10-19T19:39:00Z,0.2849649024010283,0.213195394,0.3183706,12.5,0.38,2919,29.5
Freshwater,C3,2022-11-25T19:14:00Z,2022-11-28T20:28:00Z,0.32049061476858876,0.285445648,0.381427624,15.94,0.52,4394,53.5
Freshwater,C3,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,0.33362316261257835,0.30076769800000003,0.358747111,12.3,0.48,4380,35.3
Freshwater,C3,2023-04-14T14:17:00Z,2023-04-17T14:55:00Z,0.33149826041240665,0.284134546,0.394212808,13.39,0.59,4358,36.5
Freshwater,C3,2023-05-12T17:21:00Z,2023-05-15T20:55:00Z,0.32024360183643397,0.286997248,0.350073667,7.51,0.29,4534,43.5
Freshwater,C3,2023-06-05T15:59:00Z,2023-06-06T20:40:00Z,0.3314045519492386,0.264983923,0.409868452,4.035,0.225,1721,63
Freshwater,C3,2023-06-06T20:40:00Z,2023-06-07T13:02:00Z,0.3663672443807339,0.309479932,0.41216482,6.18,0.31,982,127
Freshwater,C3,2023-06-07T13:02:00Z,2023-06-07T21:34:00Z,0.378645244380531,0.345426625,0.412145425,4.51,0.19,512,127
Freshwater,C3,2023-06-07T21:34:00Z,2023-06-08T20:13:00Z,0.36248943320982635,0.307916695,0.411222223,4.95,0.27,1359,64
Freshwater,C3,2023-06-12T13:39:00Z,2023-06-14T19:02:00Z,0.31726039630582525,0.271364878,0.347885911,6.84,0.31,3203,27
Freshwater,C3,2023-06-23T17:06:00Z,2023-06-27T16:11:00Z,0.3331622426522963,0.285143086,0.412195852,11.49,0.4,5705,64
Freshwater,C3,2023-07-07T14:09:00Z,2023-07-10T15:05:00Z,0.30465418353214163,0.229246696,0.402308281,13.4,0.46,4376,89
Freshwater,C3,2023-08-04T16:54:00Z,2023-08-07T13:47:00Z,0.2992449556515409,0.225755596,0.342335062,13.2,0.55,4133,21
Freshwater,C6,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,0.3180800878520093,0.266035132,0.408495286,8.43,0.4,8640,67
Freshwater,C6,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,0.3009928434292402,0.263063818,0.347226481,8.27,0.36,2776,30
Freshwater,C6,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,0.37658445976,0.341795881,0.412021297,1.27,0.08,46,21
Freshwater,C6,2022-06-22T16:45:00Z,2022-06-23T13:38:00Z,0.3671357080474354,0.303626521,0.414403003,8.39,0.34,1299,32
Freshwater,C6,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,0.35245823638793694,0.301632715,0.404146927,7.03,0.31,1457,27.5
Freshwater,C6,2022-07-14T14:30:00Z,2022-07-18T15:15:00Z,0.31790771213390834,0.25522048,0.411226102,7.21,0.23,5805,22.5
Freshwater,C6,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,0.32910199349814556,0.275616262,0.412129909,9.31,0.41,4385,36.5
Freshwater,C6,2022-09-12T16:00:00Z,2022-09-15T16:48:00Z,0.24726607820544022,0.201073519,0.329239558,8.6,0.37,4368,23.5
Freshwater,C6,2022-10-17T19:00:00Z,2022-10-19T19:39:00Z,0.2849649024010283,0.213195394,0.3183706,11.44,0.32,2919,29.5
Freshwater,C6,2022-11-28T19:20:00Z,2022-12-01T19:49:00Z,0.3257092893250863,0.292873933,0.355822345,9.79,0.81,4349,47.5
Freshwater,C6,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,0.33362316261257835,0.30076769800000003,0.358747111,7.2,0.39,4380,31.5
Freshwater,C6,2023-04-14T15:45:00Z,2023-04-17T14:44:00Z,0.3317407450992755,0.284134546,0.394212808,12.22,2.54,4259,36.5
Freshwater,C6,2023-05-12T17:26:00Z,2023-05-15T20:28:00Z,0.3202664830239377,0.287435575,0.350073667,7.45,0.34,4502,36.5
Freshwater,C6,2023-08-04T16:45:00Z,2023-08-07T13:31:00Z,0.2992986049708455,0.225755596,0.342369973,7.51,0.42,4126,31
Freshwater,D5,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,0.31103780446865203,0.271574344,0.353390212,9.54,0.4,5760,84
Freshwater,D5,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,0.37658445976,0.341795881,0.412021297,4.67,0.16,46,115
Freshwater,D5,2022-06-22T16:45:00Z,2022-06-22T20:14:00Z,0.376399506591716,0.330275251,0.414403003,5.9,0.28,255,115
Freshwater,D5,2022-06-22T20:14:00Z,2022-06-23T13:38:00Z,0.3671357080474354,0.303626521,0.414403003,6.94,0.29,1299,184
Freshwater,D5,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,0.35245823638793694,0.301632715,0.404146927,8.09,0.28,1457,36.5
Freshwater,D5,2022-07-14T14:30:00Z,2022-07-18T15:15:00Z,0.31790771213390834,0.25522048,0.411226102,12.17,1.27,5805,35.5
Freshwater,D5,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,0.32910199349814556,0.275616262,0.412129909,18.81,0.75,4385,36.5
Freshwater,D5,2022-09-12T16:00:00Z,2022-09-15T16:48:00Z,0.24726607820544022,0.201073519,0.329239558,17.36,0.57,4368,36.5
Freshwater,D5,2022-10-17T19:00:00Z,2022-10-19T19:39:00Z,0.2849649024010283,0.213195394,0.3183706,15.08,0.48,2919,21.5
Freshwater,D5,2022-11-25T19:14:00Z,2022-11-28T20:28:00Z,0.32049061476858876,0.285445648,0.381427624,15.13,0.43,4394,84.5
Freshwater,D5,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,0.33362316261257835,0.30076769800000003,0.358747111,10.41,0.35,4380,36.5
Freshwater,D5,2023-04-14T14:13:00Z,2023-04-17T15:01:00Z,0.33147105429353424,0.284134546,0.394212808,10.7,0.37,4368,36.5
Freshwater,D5,2023-05-12T14:50:00Z,2023-05-15T20:37:00Z,0.3203448791792166,0.286997248,0.351287794,11.23,0.35,4667,59.5
Freshwater,D5,2023-05-31T17:26:00Z,2023-06-03T19:52:00Z,0.3206192755317119,0.280492165,0.35048872,10.05,0.36,4466,53
Freshwater,D5,2023-06-03T15:59:00Z,2023-06-05T15:59:00Z,0.31014774402551776,0.271000252,0.335550691,5.19,0.2,2880,20
Freshwater,D5,2023-06-05T19:47:00Z,2023-06-06T20:50:00Z,0.33620169664587335,0.264983923,0.409868452,5.95,0.25,1503,62
Freshwater,D5,2023-06-06T20:50:00Z,2023-06-07T13:21:00Z,0.3664861132941473,0.309479932,0.41216482,7.08,0.24,991,126
Freshwater,D5,2023-06-07T13:21:00Z,2023-06-07T22:05:00Z,0.37831837186998085,0.338824567,0.411939838,5.98,0.24,524,126
Freshwater,D5,2023-06-07T22:05:00Z,2023-06-08T19:55:00Z,0.36243387825019097,0.308560609,0.411222223,5.88,0.27,1310,64
Freshwater,D5,2023-06-08T19:55:00Z,2023-06-12T13:44:00Z,0.32662736593053354,0.280174087,0.365934898,6.77,0.3,5389,41
Freshwater,D5,2023-06-12T13:44:00Z,2023-06-14T19:13:00Z,0.3172502051899625,0.271116622,0.347885911,8.14,0.35,3209,27.5
Freshwater,D5,2023-06-23T17:23:00Z,2023-06-27T15:49:00Z,0.3331088972759171,0.285286609,0.412195852,13.08,0.36,5666,64
Freshwater,D5,2023-07-07T13:58:00Z,2023-07-10T14:55:00Z,0.30458619413406673,0.229246696,0.402308281,14.07,0.52,4377,76
Freshwater,D5,2023-08-04T16:49:00Z,2023-08-07T13:20:00Z,0.299306994386613,0.225755596,0.342369973,11.97,0.48,4111,35
Freshwater,D5,2023-12-05T16:07:00Z,2023-12-08T16:26:00Z,0.29987858010745233,0.266376484,0.328180591,11.31,0.35,4339,39
Freshwater,E3,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,0.3403008440690795,0.295050052,0.389205019,13.84,0.6,8640,40
Freshwater,E3,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,0.37658445976,0.341795881,0.412021297,6.03,0.3,46,81.04761904761905
Freshwater,E3,2022-06-22T16:45:00Z,2022-06-22T20:14:00Z,0.376399506591716,0.330275251,0.414403003,6.74,0.23,255,81.04761904761905
Freshwater,E3,2022-06-22T20:14:00Z,2022-06-23T13:38:00Z,0.3671357080474354,0.303626521,0.414403003,7.32,0.27,1299,28
Freshwater,E3,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,0.35245823638793694,0.301632715,0.404146927,10.51,0.36,1457,36.5
Freshwater,E3,2022-07-14T14:30:00Z,2022-07-18T15:15:00Z,0.31790771213390834,0.25522048,0.411226102,9.61,0.79,5805,32.75
Freshwater,E3,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,0.32910199349814556,0.275616262,0.412129909,10.3,0.54,4385,29.5
