plot,grid,evacuation_datetime,collection_datetime,mean_vwc_m3m3_15cm,min_vwc_m3m3_15cm,max_vwc_m3m3_15cm,doc_mg_l,tdn_mg_l,elapsed_time,Total_Volume_mL
Control,B4,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,0.33236827912116745,0.285507712,0.454496347,10.19,0.53,5760,52.5
Control,B4,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,0.3218914472991014,0.258777523,0.455923819,11.82,0.37,1299,30
Control,B4,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,0.3433304944515076,0.276950638,0.465788116,7.55,0.23,5813,36.5
Control,B4,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,0.3612330479745721,0.306981856,0.469279216,10.61,0.45,4380,36.5
Control,B4,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,0.34663126903102515,0.280868428,0.462060397,7.48,0.24,4459,54.625
Control,B4,2023-08-07T15:21:00Z,2023-08-10T15:01:00Z,0.3442855380328671,0.20913796,0.47093167,14.75,0.51,4300,44
Control,B4,2023-12-08T15:12:00Z,2023-12-11T15:43:00Z,0.3212897031741532,0.229588048,0.471071314,23.49,0.92,4351,26
Control,C3,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,0.3612330479745721,0.306981856,0.469279216,16.66,0.49,4380,36.5
Control,C3,2022-11-28T16:20:00Z,2022-12-01T17:06:00Z,0.3546783257179899,0.29017027,0.451525033,16.1,0.46,4366,47.5
Control,C3,2023-06-23T15:59:00Z,2023-06-28T15:59:00Z,0.31877182749761074,0.232691248,0.459224848,11.68,0.36,7200,52.333333333333336
Control,C6,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,0.37071500561218085,0.31587640299999997,0.45979894,9.235,0.365,7200,40
Control,C6,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,0.33236827912116745,0.285507712,0.454496347,8.83,0.44,5760,33
Control,C6,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,0.3218914472991014,0.258777523,0.455923819,24.39,0.72,1299,33.333333333333336
Control,C6,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,0.3433304944515076,0.276950638,0.465788116,12.69,1.44,5813,36.5
Control,C6,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,0.3612330479745721,0.306981856,0.469279216,13.45,1.73,4380,36.5
Control,C6,2022-09-09T14:00:00Z,2022-09-12T14:35:00Z,0.2577546516847541,0.175844503,0.433472167,17.31,0.59,4355,22.5
Control,C6,2022-10-17T15:59:00Z,2022-10-19T15:59:00Z,0.29954914281222056,0.242365474,0.409267207,11.49,0.38,2880,25
Control,C6,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,0.34663126903102515,0.280868428,0.462060397,8.28,0.28,4459,20.5
Control,C6,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,0.3679281038995215,0.315476866,0.445811266,8.27,0.27,4397,36.5
Control,C6,2023-04-14T13:32:00Z,2023-04-17T13:25:00Z,0.3726241052835196,0.306943066,0.462898261,8.4,0.34,4313,36.5
Control,C6,2023-05-12T15:26:00Z,2023-05-15T19:02:00Z,0.3471817433429124,0.286314544,0.412296706,9.93,0.32,4536,34.5
Control,C6,2023-05-31T19:12:00Z,2023-06-03T18:41:00Z,0.3386936124052934,0.269786125,0.423561322,21.48,0.32,4289,26
Control,C6,2023-06-23T16:31:00Z,2023-06-28T19:24:00Z,0.3193282705308123,0.232691248,0.459224848,12.88,0.43,7373,56
Control,C6,2023-08-07T15:15:00Z,2023-08-10T14:53:00Z,0.34419614833146855,0.20913796,0.47093167,15.05,0.51,4298,54
Control,D5,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,0.37071500561218085,0.31587640299999997,0.45979894,18.36,0.66,7200,40
Control,D5,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,0.344396511608545,0.291652048,0.458138728,19.76,0.56,1441,42
Control,D5,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,0.3426885727919009,0.296147809,0.440318602,8.83,0.46,4350,30.5
Control,D5,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,0.3612330479745721,0.306981856,0.469279216,11.37,0.41,4380,29.5
Control,D5,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,0.2779666299306102,0.202780279,0.468185338,11.13,0.6,4352,28
Control,D5,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,0.29930443925030675,0.241066009,0.409267207,6.9,0.24,2912,25.5
Control,D5,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,0.34663126903102515,0.280868428,0.462060397,7.13,0.32,4459,54.625
Control,D5,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,0.3679281038995215,0.315476866,0.445811266,7.77,0.29,4397,35.5
Control,D5,2023-06-23T18:12:00Z,2023-06-28T19:12:00Z,0.31959963631138194,0.232691248,0.459224848,9.77,0.32,7260,64
Control,D5,2023-08-07T15:27:00Z,2023-08-10T14:49:00Z,0.34436085362912666,0.20913796,0.47093167,10.96,0.43,4282,41.142857142857146
Control,E3,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,0.37071500561218085,0.31587640299999997,0.45979894,9.88,0.5349999999999999,7200,40
Control,E3,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,0.3396585025442396,0.279247006,0.462106945,10.3,0.45,8640,26
Control,E3,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,0.344396511608545,0.291652048,0.458138728,11.68,0.72,1441,35.4
Control,E3,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,0.3612330479745721,0.306981856,0.469279216,12.71,0.93,4380,35.166666666666664
Control,E3,2022-09-09T14:00:00Z,2022-09-12T14:35:00Z,0.2577546516847541,0.175844503,0.433472167,11.21,0.52,4355,22.5
Control,E3,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,0.29930443925030675,0.241066009,0.409267207,10.2,0.31,2912,25
