plot,grid,mean_vwc_m3m3_15cm,min_vwc_m3m3_15cm,max_vwc_m3m3_15cm,evacuation_datetime,collection_datetime,elapsed_time,tz,grid_vols_mL,doc_mg_l,tdn_mg_l
Freshwater,I5,0.2788354279375,0.271574344,0.28764892,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,96,EDT,34,12.73,0.78
Control,C6,0.2183019841958763,0.214700446,0.225464671,2022-09-09T14:00:00Z,2022-09-12T14:35:00Z,72.5833333333333,EDT,14.5,17.31,0.59
Control,H6,0.2101208399484536,0.208532836,0.212772583,2022-09-09T14:00:00Z,2022-09-12T14:35:00Z,72.5833333333333,EDT,22.5,25,0.84
Control,C6,0.2438782240154639,0.24148882,0.24575572,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,48.5333333333333,EDT,4.5,11.49,0.38
Control,D5,0.392173673685567,0.384813991,0.409057741,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,48.5333333333333,EDT,25.5,6.9,0.24
Control,F6,0.292514297171875,0.291558952,0.294894892,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,48.5333333333333,EDT,10.5,12.13,0.38
Control,H3,0.25657633046391753,0.247625398,0.282579067,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,48.5333333333333,EDT,18.5,19.4,0.59
Control,H6,0.29183726025257734,0.290771515,0.29265283,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,48.5333333333333,EDT,24.5,15.72,0.5
Control,I5,0.29743465725257734,0.294344074,0.29854891,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,48.5333333333333,EDT,11.5,14.79,0.39
Control,C6,0.3173972714859155,0.306943066,0.322835329,2023-04-14T13:32:00Z,2023-04-17T13:25:00Z,71.8833333333333,EDT,36.5,8.4,0.34
Control,C6,0.27390663017894734,0.269786125,0.27655498,2023-05-31T19:12:00Z,2023-06-03T18:41:00Z,71.4833333333333,EDT,26,21.48,0.32
Control,C6,0.24625516803867403,0.241818535,0.262489726,2023-06-23T16:31:00Z,2023-06-28T19:24:00Z,122.883333333333,EDT,56,12.88,0.43
Control,C6,0.2509269405958188,0.241667254,0.255507526,2023-08-07T15:15:00Z,2023-08-10T14:53:00Z,71.6333333333333,EDT,54,15.05,0.51
Control,D5,0.43223695210309276,0.427017511,0.44020999,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,72.5,EDT,9.5,8.83,0.46
Control,F6,0.35233866860344826,0.333696529,0.374197168,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,72.5,EDT,24.5,16.45,0.81
Control,H6,0.3061608276597938,0.296147809,0.316225513,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,72.5,EDT,36.5,16.28,1.15
Control,D5,0.40403548906185566,0.376924105,0.468034057,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,72.5333333333333,EDT,13,11.13,0.6
Control,H3,0.2575397887525773,0.226294777,0.324049456,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,72.5333333333333,EDT,23.5,23.46,3.27
Control,I5,0.22530872453608247,0.202780279,0.237543877,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,72.5333333333333,EDT,32.5,15.9,0.49
Control,D5,0.42574168065082646,0.39920896,0.459224848,2023-06-23T18:12:00Z,2023-06-28T19:12:00Z,121,EDT,64,9.77,0.32
Control,D5,0.4348284287263158,0.38574883,0.470842453,2023-08-07T15:27:00Z,2023-08-10T14:49:00Z,71.3666666666667,EDT,10,10.96,0.43
Control,H3,0.3022572131451613,0.285309883,0.363219598,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,144,EDT,18,21.45,0.59
Control,H6,0.2928062630017391,0.279247006,0.319383019,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,144,EDT,52,17.41,0.66
Estuarine-water,F6,0.2846636888226087,0.267016519,0.311520286,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,144,EDT,36,13.87,0.88
Control,F6,0.3084807868034682,0.288641944,0.389034343,2023-06-23T18:15:00Z,2023-06-28T19:04:00Z,120.816666666667,EDT,39,17.37,0.49
Control,F6,0.3723879389003559,0.31045744,0.425229292,2023-08-07T15:36:00Z,2023-08-10T14:17:00Z,70.6833333333333,EDT,44,22.34,0.67
Control,H3,0.33090047344559587,0.32752504,0.335341225,2023-02-02T15:15:00Z,2023-02-06T15:35:00Z,96.3333333333333,EST,35,14.7,0.42
Control,H3,0.3419099803658537,0.32368483,0.38605915,2023-04-14T13:03:00Z,2023-04-17T12:50:00Z,71.7833333333333,EDT,24.5,17.32,0.73
Control,H3,0.2684004447987552,0.232795981,0.29404927,2023-06-23T18:02:00Z,2023-06-28T18:33:00Z,120.516666666667,EDT,27,20.53,2.1
Control,H3,0.22436596102768167,0.212842405,0.236740924,2023-08-04T15:56:00Z,2023-08-07T16:00:00Z,72.0666666666667,EDT,36,17.57,0.6
Control,H3,0.30996310238754327,0.28761013,0.40297159,2023-12-08T14:46:00Z,2023-12-11T15:06:00Z,72.3333333333333,EST,39,20.84,0.77
Control,H6,0.3360507281263158,0.329608063,0.343828477,2023-04-14T13:12:00Z,2023-04-17T13:02:00Z,71.8333333333333,EDT,36.5,12.12,0.47
Control,H6,0.31676009616433565,0.31045744,0.320826007,2023-05-31T18:26:00Z,2023-06-03T18:15:00Z,71.8166666666667,EDT,39,24.67,0.53
