plot,grid,evacuation_datetime,collection_datetime,mean_EC_uScm_15cm,min_EC_uScm_15cm,max_EC_uScm_15cm,doc_mg_l,tdn_mg_l,collection_date
Control,B4,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,82.69302081511111,0,284,10.19,0.53,2022-06-13
Control,B4,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,536.0038575286329,16,3061,11.82,0.37,2022-06-23
Control,B4,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,182.95419209761565,17,680,7.55,0.23,2022-07-18
Control,B4,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,135.3401496734874,25,447,10.61,0.45,2022-08-08
Control,B4,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,98.76165045814774,18,189,7.48,0.24,2022-11-28
Control,B4,2023-08-07T15:21:00Z,2023-08-10T15:01:00Z,125.28982393871796,10,537,14.75,0.51,2023-08-10
Control,B4,2023-12-08T15:12:00Z,2023-12-11T15:43:00Z,94.21772039180492,14,376,23.49,0.92,2023-12-11
Control,C3,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,135.3401496734874,25,447,16.66,0.49,2022-08-08
Control,C3,2022-11-28T16:20:00Z,2022-12-01T17:06:00Z,100.56446333199487,21,191,16.1,0.46,2022-12-01
Control,C3,2023-06-23T15:59:00Z,2023-06-28T15:59:00Z,285.83875760007254,12,1870,11.68,0.36,2023-06-28
Control,C6,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,88.02931346609233,13,286,9.235,0.365,2022-05-18
Control,C6,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,82.69302081511111,0,284,8.83,0.44,2022-06-13
Control,C6,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,536.0038575286329,16,3061,24.39,0.72,2022-06-23
Control,C6,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,182.95419209761565,17,680,12.69,1.44,2022-07-18
Control,C6,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,135.3401496734874,25,447,13.45,1.73,2022-08-08
Control,C6,2022-09-09T14:00:00Z,2022-09-12T14:35:00Z,69.44946401225175,6,214,17.31,0.59,2022-09-12
Control,C6,2022-10-17T15:59:00Z,2022-10-19T15:59:00Z,88.52864830642571,12,177,11.49,0.38,2022-10-19
Control,C6,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,98.76165045814774,18,189,8.28,0.28,2022-11-28
Control,C6,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,93.08383272117916,22,240,8.27,0.27,2023-02-02
Control,C6,2023-04-14T13:32:00Z,2023-04-17T13:25:00Z,99.33157756123347,26,266,8.4,0.34,2023-04-17
Control,C6,2023-05-12T15:26:00Z,2023-05-15T19:02:00Z,89.38294625082966,20,167,9.93,0.32,2023-05-15
Control,C6,2023-05-31T19:12:00Z,2023-06-03T18:41:00Z,91.36656053024716,18,209,21.48,0.32,2023-06-03
Control,C6,2023-06-23T16:31:00Z,2023-06-28T19:24:00Z,284.49157507187545,0,1870,12.88,0.43,2023-06-28
Control,C6,2023-08-07T15:15:00Z,2023-08-10T14:53:00Z,125.27427263810736,10,537,15.05,0.51,2023-08-10
Control,D5,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,88.02931346609233,13,286,18.36,0.66,2022-05-18
Control,D5,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,458.5961560726719,26,2064,19.76,0.56,2022-06-24
Control,D5,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,154.38749833282407,23,472,8.83,0.46,2022-07-21
Control,D5,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,135.3401496734874,25,447,11.37,0.41,2022-08-08
Control,D5,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,82.98422818791948,11,262,11.13,0.6,2022-09-15
Control,D5,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,88.27430582713936,11,177,6.9,0.24,2022-10-19
Control,D5,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,98.76165045814774,18,189,7.13,0.32,2022-11-28
Control,D5,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,93.08383272117916,22,240,7.77,0.29,2023-02-02
Control,D5,2023-06-23T18:12:00Z,2023-06-28T19:12:00Z,284.0148186556597,0,1870,9.77,0.32,2023-06-28
Control,D5,2023-08-07T15:27:00Z,2023-08-10T14:49:00Z,125.3197898095085,10,537,10.96,0.43,2023-08-10
Control,E3,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,88.02931346609233,13,286,9.88,0.5349999999999999,2022-05-18
Control,E3,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,84.32195702964266,0,286,10.3,0.45,2022-06-15
Control,E3,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,458.5961560726719,26,2064,11.68,0.72,2022-06-24
Control,E3,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,135.3401496734874,25,447,12.71,0.93,2022-08-08
Control,E3,2022-09-09T14:00:00Z,2022-09-12T14:35:00Z,69.44946401225175,6,214,11.21,0.52,2022-09-12
Control,E3,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,88.27430582713936,11,177,10.2,0.31,2022-10-19
Control,E3,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,98.76165045814774,18,189,8.79,0.32,2022-11-28
Control,E3,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,93.08383272117916,22,240,8.63,0.3,2023-02-02
Control,E3,2023-05-12T18:01:00Z,2023-05-15T18:46:00Z,89.40676095205389,20,167,9.92,0.48,2023-05-15
Control,E3,2023-06-23T18:06:00Z,2023-06-28T19:48:00Z,283.8347488672006,0,1870,10.14,0.38,2023-06-28
Control,E3,2023-08-07T15:40:00Z,2023-08-10T14:36:00Z,125.35993777108328,10,537,11.71,0.45,2023-08-10
Control,F4,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,88.02931346609233,13,286,8.13,0.47,2022-05-18
Control,F4,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,135.3401496734874,25,447,14.43,0.59,2022-08-08
Control,F4,2023-08-07T15:45:00Z,2023-08-10T14:27:00Z,125.38453896011559,10,537,19.54,0.72,2023-08-10
Control,F6,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,88.02931346609233,13,286,7.459999999999999,0.335,2022-05-18
Control,F6,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,84.32195702964266,0,286,13.77,0.57,2022-06-15
Control,F6,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,458.5961560726719,26,2064,19.97,0.75,2022-06-24
Control,F6,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,154.38749833282407,23,472,16.45,0.81,2022-07-21
Control,F6,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,135.3401496734874,25,447,15.7,0.5,2022-08-08
Control,F6,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,88.27430582713936,11,177,12.13,0.38,2022-10-19
Control,F6,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,98.76165045814774,18,189,14.55,0.42,2022-11-28
Control,F6,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,93.08383272117916,22,240,14.28,0.47,2023-02-02
Control,F6,2023-05-12T15:36:00Z,2023-05-15T16:50:00Z,89.4212004933549,20,167,15.58,0.41,2023-05-15
Control,F6,2023-06-23T18:15:00Z,2023-06-28T19:04:00Z,284.11132060011477,0,1870,17.37,0.49,2023-06-28
Control,F6,2023-08-07T15:36:00Z,2023-08-10T14:17:00Z,125.38511817364983,10,537,22.34,0.67,2023-08-10
Control,H3,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,84.32195702964266,0,286,21.45,0.59,2022-06-15
Control,H3,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,458.5961560726719,26,2064,22.94,0.82,2022-06-24
Control,H3,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,182.95419209761565,17,680,20.08,0.51,2022-07-18
Control,H3,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,135.3401496734874,25,447,20.09,0.61,2022-08-08
Control,H3,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,82.98422818791948,11,262,23.46,3.27,2022-09-15
Control,H3,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,88.27430582713936,11,177,19.4,0.59,2022-10-19
Control,H3,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,98.76165045814774,18,189,19.2,0.81,2022-11-28
Control,H3,2023-02-02T15:15:00Z,2023-02-06T15:35:00Z,90.5465999901955,23,246,14.7,0.42,2023-02-06
Control,H3,2023-04-14T13:03:00Z,2023-04-17T12:50:00Z,99.30904059040444,26,266,17.32,0.73,2023-04-17
Control,H3,2023-06-23T18:02:00Z,2023-06-28T18:33:00Z,284.2957877716936,0,1870,20.53,2.1,2023-06-28
Control,H3,2023-08-04T15:56:00Z,2023-08-07T16:00:00Z,123.89503108367654,9,446,17.57,0.6,2023-08-07
Control,H3,2023-12-08T14:46:00Z,2023-12-11T15:06:00Z,94.1907798252844,14,376,20.84,0.77,2023-12-11
Control,H6,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,88.02931346609233,13,286,13.92,0.47,2022-05-18
Control,H6,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,84.32195702964266,0,286,17.41,0.66,2022-06-15
Control,H6,2022-06-22T15:59:00Z,2022-06-22T20:34:00Z,610.2828467153421,16,3061,19.16,0.59,2022-06-22
Control,H6,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,536.0038575286329,16,3061,20.74,0.62,2022-06-23
Control,H6,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,458.5961560726719,26,2064,21.31,0.77,2022-06-24
Control,H6,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,154.38749833282407,23,472,16.28,1.15,2022-07-21
Control,H6,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,135.3401496734874,25,447,15.89,0.58,2022-08-08
