plot,grid,evacuation_datetime,collection_datetime,mean_EC_uScm_15cm,min_EC_uScm_15cm,max_EC_uScm_15cm,doc_mg_l,tdn_mg_l,collection_date
Control,H6,2022-09-09T14:00:00Z,2022-09-12T14:35:00Z,69.44946401225175,6,214,25,0.84,2022-09-12
Control,H6,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,88.27430582713936,11,177,15.72,0.5,2022-10-19
Control,H6,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,98.76165045814774,18,189,15.01,0.46,2022-11-28
Control,H6,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,93.08383272117916,22,240,11.4,0.39,2023-02-02
Control,H6,2023-04-14T13:12:00Z,2023-04-17T13:02:00Z,99.30836569472825,26,266,12.12,0.47,2023-04-17
Control,H6,2023-05-12T15:36:00Z,2023-05-15T16:32:00Z,89.42285989540106,20,167,14.55,0.5,2023-05-15
Control,H6,2023-05-31T18:26:00Z,2023-06-03T18:15:00Z,91.38150326374927,18,209,24.67,0.53,2023-06-03
Control,H6,2023-06-08T20:47:00Z,2023-06-12T14:22:00Z,377.84929036571816,11,1903,16.2,0.75,2023-06-12
Control,H6,2023-06-23T18:18:00Z,2023-06-28T18:54:00Z,284.0906526442645,0,1870,19.3,0.67,2023-06-28
Control,H6,2023-07-05T16:15:00Z,2023-07-07T15:42:00Z,202.06758863806715,7,933,19.94,0.84,2023-07-07
Control,H6,2023-07-07T15:42:00Z,2023-07-10T16:55:00Z,188.91551009371437,10,894,21.17,1.2,2023-07-10
Control,H6,2023-08-04T16:03:00Z,2023-08-07T15:49:00Z,123.92285226455085,9,445,16.67,0.68,2023-08-07
Control,H6,2023-08-07T15:59:00Z,2023-08-10T15:59:00Z,125.31574543256868,10,537,17.54,0.65,2023-08-10
Control,H6,2023-12-08T15:00:00Z,2023-12-11T15:23:00Z,94.20795671547306,14,376,11.97,0.4,2023-12-11
Control,I5,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,82.69302081511111,0,284,19.15,0.84,2022-06-13
Control,I5,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,536.0038575286329,16,3061,22.93,0.67,2022-06-23
Control,I5,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,458.5961560726719,26,2064,26.29,1.45,2022-06-24
Control,I5,2022-07-14T15:59:00Z,2022-07-18T15:59:00Z,183.22013292265794,17,680,18.21,0.74,2022-07-18
Control,I5,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,135.3401496734874,25,447,23.39,0.71,2022-08-08
Control,I5,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,82.98422818791948,11,262,15.9,0.49,2022-09-15
Control,I5,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,88.27430582713936,11,177,14.79,0.39,2022-10-19
Control,I5,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,98.76165045814774,18,189,15.72,0.47,2022-11-28
Control,I5,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,93.08383272117916,22,240,14.91,0.41,2023-02-02
Control,I5,2023-04-14T13:31:00Z,2023-04-17T12:55:00Z,99.3448481633748,26,266,15.83,0.82,2023-04-17
Control,I5,2023-05-12T15:39:00Z,2023-05-15T16:25:00Z,89.43182131531883,20,167,15.39,0.48,2023-05-15
Control,I5,2023-05-31T18:36:00Z,2023-06-03T18:00:00Z,91.38713663263192,18,209,20.45,0.44,2023-06-03
Control,I5,2023-06-23T18:21:00Z,2023-06-28T18:40:00Z,284.1332784410623,0,1870,17.09,0.48,2023-06-28
Control,I5,2023-07-07T15:38:00Z,2023-07-10T17:10:00Z,188.90749629896175,10,894,19.03,0.74,2023-07-10
Control,I5,2023-08-07T15:56:00Z,2023-08-10T13:57:00Z,125.46100511642058,10,537,20.34,0.6,2023-08-10
Control,I5,2023-10-02T15:59:00Z,2023-10-05T15:59:00Z,78.37070836347002,5,304,13.19,0.43,2023-10-05
Control,I5,2023-12-05T14:50:00Z,2023-12-08T14:49:00Z,92.04569364345095,14,293,17.68,0.51,2023-12-08
Freshwater,B4,2022-06-22T15:59:00Z,2022-06-22T20:14:00Z,611.3615485564357,16,3061,16.87,1.63,2022-06-22
Freshwater,B4,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,536.0038575286329,16,3061,7.87,0.33,2022-06-23
Freshwater,B4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,458.10335739660593,26,2064,9.79,0.36,2022-06-24
Freshwater,B4,2022-07-14T15:59:00Z,2022-07-18T15:59:00Z,183.22013292265794,17,680,11.88,1.07,2022-07-18
Freshwater,B4,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,135.57824001519842,25,447,12.08,0.49,2022-08-08
Freshwater,B4,2022-09-12T16:00:00Z,2022-09-15T16:48:00Z,83.09497420217757,11,262,16.62,2.87,2022-09-15
Freshwater,B4,2022-10-17T19:00:00Z,2022-10-19T19:39:00Z,88.33117440499294,11,177,13.23,0.38,2022-10-19
Freshwater,B4,2022-11-25T19:14:00Z,2022-11-28T20:28:00Z,98.9625891075005,18,189,12.31,0.6,2022-11-28
Freshwater,B4,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,93.16911336739336,23,240,11.29,0.49,2023-02-02
Freshwater,B4,2023-05-12T17:24:00Z,2023-05-15T20:45:00Z,89.3679483767948,19,167,7.94,0.27,2023-05-15
Freshwater,B4,2023-06-05T19:42:00Z,2023-06-06T20:30:00Z,246.91180931744785,0,2602,5.93,0.67,2023-06-06
Freshwater,B4,2023-06-07T13:34:00Z,2023-06-07T21:23:00Z,630.948282668793,0,2992,4.75,0.26,2023-06-07
Freshwater,B4,2023-06-23T17:04:00Z,2023-06-27T16:02:00Z,289.68245887452224,12,1870,11.69,0.55,2023-06-27
Freshwater,B4,2023-08-07T13:53:00Z,2023-08-10T17:34:00Z,124.87734430290693,10,537,14,0.55,2023-08-10
Freshwater,C3,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,87.43929897863939,12,286,7.01,0.33,2022-05-18
Freshwater,C3,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,82.69302081511111,0,284,10.55,0.52,2022-06-13
Freshwater,C3,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,575.5719063545151,16,2967,5.54,0.18,2022-06-22
Freshwater,C3,2022-06-22T15:59:00Z,2022-06-22T20:14:00Z,611.3615485564357,16,3061,9.72,0.25,2022-06-22
Freshwater,C3,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,536.0038575286329,16,3061,13.79,0.43,2022-06-23
Freshwater,C3,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,458.10335739660593,26,2064,18.09,1,2022-06-24
Freshwater,C3,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,135.57824001519842,25,447,14.84,0.53,2022-08-08
Freshwater,C3,2022-09-12T16:00:00Z,2022-09-15T16:48:00Z,83.09497420217757,11,262,21.35,0.72,2022-09-15
Freshwater,C3,2022-10-17T19:00:00Z,2022-10-19T19:39:00Z,88.33117440499294,11,177,12.5,0.38,2022-10-19
Freshwater,C3,2022-11-25T19:14:00Z,2022-11-28T20:28:00Z,98.9625891075005,18,189,15.94,0.52,2022-11-28
Freshwater,C3,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,93.16911336739336,23,240,12.3,0.48,2023-02-02
Freshwater,C3,2023-04-14T14:17:00Z,2023-04-17T14:55:00Z,99.33967550661161,26,266,13.39,0.59,2023-04-17
Freshwater,C3,2023-05-12T17:21:00Z,2023-05-15T20:55:00Z,89.37274176407931,19,167,7.51,0.29,2023-05-15
Freshwater,C3,2023-06-05T15:59:00Z,2023-06-06T20:40:00Z,229.25345020515138,0,2602,4.035,0.225,2023-06-06
Freshwater,C3,2023-06-06T20:40:00Z,2023-06-07T13:02:00Z,448.0361136571957,14,2848,6.18,0.31,2023-06-07
Freshwater,C3,2023-06-07T13:02:00Z,2023-06-07T21:34:00Z,629.2805232558114,0,2992,4.51,0.19,2023-06-07
Freshwater,C3,2023-06-07T21:34:00Z,2023-06-08T20:13:00Z,486.63408521300875,13,2879,4.95,0.27,2023-06-08
Freshwater,C3,2023-06-12T13:39:00Z,2023-06-14T19:02:00Z,295.55856350222786,11,2075,6.84,0.31,2023-06-14
Freshwater,C3,2023-06-23T17:06:00Z,2023-06-27T16:11:00Z,289.60195854519446,12,1870,11.49,0.4,2023-06-27
Freshwater,C3,2023-07-07T14:09:00Z,2023-07-10T15:05:00Z,189.1571267223793,10,894,13.4,0.46,2023-07-10
Freshwater,C3,2023-08-04T16:54:00Z,2023-08-07T13:47:00Z,124.15976635513715,9,445,13.2,0.55,2023-08-07
Freshwater,C6,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,84.32195702964266,0,286,8.43,0.4,2022-06-15
Freshwater,C6,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,79.039764536279,10,280,8.27,0.36,2022-06-20
Freshwater,C6,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,575.5719063545151,16,2967,1.27,0.08,2022-06-22
Freshwater,C6,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,536.0038575286329,16,3061,8.39,0.34,2022-06-23
Freshwater,C6,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,458.10335739660593,26,2064,7.03,0.31,2022-06-24
Freshwater,C6,2022-07-14T14:30:00Z,2022-07-18T15:15:00Z,183.66193610534256,17,680,7.21,0.23,2022-07-18
Freshwater,C6,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,135.57824001519842,25,447,9.31,0.41,2022-08-08
Freshwater,C6,2022-09-12T16:00:00Z,2022-09-15T16:48:00Z,83.09497420217757,11,262,8.6,0.37,2022-09-15
Freshwater,C6,2022-10-17T19:00:00Z,2022-10-19T19:39:00Z,88.33117440499294,11,177,11.44,0.32,2022-10-19
Freshwater,C6,2022-11-28T19:20:00Z,2022-12-01T19:49:00Z,100.50896925650285,21,191,9.79,0.81,2022-12-01
Freshwater,C6,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,93.16911336739336,23,240,7.2,0.39,2023-02-02
Freshwater,C6,2023-04-14T15:45:00Z,2023-04-17T14:44:00Z,99.45295842217512,26,266,12.22,2.54,2023-04-17
Freshwater,C6,2023-05-12T17:26:00Z,2023-05-15T20:28:00Z,89.3787219805948,20,167,7.45,0.34,2023-05-15
Freshwater,C6,2023-08-04T16:45:00Z,2023-08-07T13:31:00Z,124.21422891623524,9,445,7.51,0.42,2023-08-07
Freshwater,D5,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,82.69302081511111,0,284,9.54,0.4,2022-06-13
Freshwater,D5,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,575.5719063545151,16,2967,4.67,0.16,2022-06-22
Freshwater,D5,2022-06-22T15:59:00Z,2022-06-22T20:14:00Z,611.3615485564357,16,3061,5.9,0.28,2022-06-22
Freshwater,D5,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,536.0038575286329,16,3061,6.94,0.29,2022-06-23
Freshwater,D5,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,458.10335739660593,26,2064,8.09,0.28,2022-06-24
Freshwater,D5,2022-07-14T14:30:00Z,2022-07-18T15:15:00Z,183.66193610534256,17,680,12.17,1.27,2022-07-18
Freshwater,D5,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,135.57824001519842,25,447,18.81,0.75,2022-08-08
Freshwater,D5,2022-09-12T16:00:00Z,2022-09-15T16:48:00Z,83.09497420217757,11,262,17.36,0.57,2022-09-15
Freshwater,D5,2022-10-17T19:00:00Z,2022-10-19T19:39:00Z,88.33117440499294,11,177,15.08,0.48,2022-10-19
Freshwater,D5,2022-11-25T19:14:00Z,2022-11-28T20:28:00Z,98.9625891075005,18,189,15.13,0.43,2022-11-28
Freshwater,D5,2023-01-30T19:30:00Z,2023-02-02T20:30:00Z,93.16911336739336,23,240,10.41,0.35,2023-02-02
Freshwater,D5,2023-04-14T14:13:00Z,2023-04-17T15:01:00Z,99.32145407335474,26,266,10.7,0.37,2023-04-17
Freshwater,D5,2023-05-12T14:50:00Z,2023-05-15T20:37:00Z,89.36171310629638,20,167,11.23,0.35,2023-05-15
Freshwater,D5,2023-05-31T17:26:00Z,2023-06-03T19:52:00Z,91.37207415267301,17,209,10.05,0.36,2023-06-03
Freshwater,D5,2023-06-03T15:59:00Z,2023-06-05T15:59:00Z,88.21805294975917,0,190,5.19,0.2,2023-06-05
Freshwater,D5,2023-06-05T19:47:00Z,2023-06-06T20:50:00Z,254.7449521785267,0,2602,5.95,0.25,2023-06-06
Freshwater,D5,2023-06-06T20:50:00Z,2023-06-07T13:21:00Z,450.4186807196306,14,2875,7.08,0.24,2023-06-07
Freshwater,D5,2023-06-07T13:21:00Z,2023-06-07T22:05:00Z,630.2506168487738,0,2992,5.98,0.24,2023-06-07
Freshwater,D5,2023-06-07T22:05:00Z,2023-06-08T19:55:00Z,484.26572091124694,13,2854,5.88,0.27,2023-06-08
Freshwater,D5,2023-06-08T19:55:00Z,2023-06-12T13:44:00Z,378.28864022384124,11,1917,6.77,0.3,2023-06-12
Freshwater,D5,2023-06-12T13:44:00Z,2023-06-14T19:13:00Z,295.3450249665312,11,2075,8.14,0.35,2023-06-14
Freshwater,D5,2023-06-23T17:23:00Z,2023-06-27T15:49:00Z,289.6365030139501,12,1870,13.08,0.36,2023-06-27
Freshwater,D5,2023-07-07T13:58:00Z,2023-07-10T14:55:00Z,189.19469666166793,10,894,14.07,0.52,2023-07-10
Freshwater,D5,2023-08-04T16:49:00Z,2023-08-07T13:20:00Z,124.22063104516468,9,445,11.97,0.48,2023-08-07
Freshwater,D5,2023-12-05T16:07:00Z,2023-12-08T16:26:00Z,91.9914810374159,14,293,11.31,0.35,2023-12-08
Freshwater,E3,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,87.43929897863939,12,286,13.84,0.6,2022-05-18
Freshwater,E3,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,575.5719063545151,16,2967,6.03,0.3,2022-06-22
Freshwater,E3,2022-06-22T15:59:00Z,2022-06-22T20:14:00Z,611.3615485564357,16,3061,6.74,0.23,2022-06-22
Freshwater,E3,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,536.0038575286329,16,3061,7.32,0.27,2022-06-23
Freshwater,E3,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,458.10335739660593,26,2064,10.51,0.36,2022-06-24
Freshwater,E3,2022-07-14T14:30:00Z,2022-07-18T15:15:00Z,183.66193610534256,17,680,9.61,0.79,2022-07-18
Freshwater,E3,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,135.57824001519842,25,447,10.3,0.54,2022-08-08
Freshwater,E3,2022-09-12T16:00:00Z,2022-09-15T16:48:00Z,83.09497420217757,11,262,8.16,0.4,2022-09-15
Freshwater,E3,2022-10-17T19:00:00Z,2022-10-19T19:39:00Z,88.33117440499294,11,177,10.08,0.35,2022-10-19
Freshwater,E3,2022-11-25T19:14:00Z,2022-11-28T20:28:00Z,98.9625891075005,18,189,10.03,0.48,2022-11-28
Freshwater,E3,2023-02-02T16:00:00Z,2023-02-06T16:08:00Z,90.52428234369026,23,246,10.96,1.31,2023-02-06
Freshwater,E3,2023-05-12T21:34:00Z,2023-05-15T17:17:00Z,89.451103867238,20,167,6.88,0.26,2023-05-15
Freshwater,E3,2023-06-23T17:29:00Z,2023-06-27T15:30:00Z,289.6787412588194,12,1870,7.34,0.35,2023-06-27
Freshwater,E3,2023-08-04T18:33:00Z,2023-08-07T13:41:00Z,124.04315925766254,9,445,7.22,0.42,2023-08-07
Freshwater,F4,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,82.69302081511111,0,284,10.91,0.05,2022-06-13
Freshwater,F4,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,575.5719063545151,16,2967,10.45,0.49,2022-06-22
Freshwater,F4,2022-06-22T15:59:00Z,2022-06-22T20:14:00Z,611.3615485564357,16,3061,8.13,0.27,2022-06-22
Freshwater,F4,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,536.0038575286329,16,3061,9.6,0.32,2022-06-23
Freshwater,F4,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,458.10335739660593,26,2064,11.22,0.49,2022-06-24
Freshwater,F4,2022-08-05T15:45:00Z,2022-08-08T16:50:00Z,135.57824001519842,25,447,14.67,0.73,2022-08-08
Freshwater,F4,2022-09-12T15:59:00Z,2022-09-15T15:59:00Z,83.1284443585038,11,262,13.3,0.75,2022-09-15
Freshwater,F4,2023-06-05T19:21:00Z,2023-06-06T21:16:00Z,259.6722008503684,0,2602,6.575,0.29000000000000004,2023-06-06
Freshwater,F4,2023-06-07T12:40:00Z,2023-06-07T21:54:00Z,628.1331775701123,0,2992,4.65,0.2,2023-06-07
Freshwater,F4,2023-06-07T21:54:00Z,2023-06-08T20:32:00Z,483.30678971657187,13,2862,5.57,0.28,2023-06-08
Freshwater,F4,2023-06-23T17:32:00Z,2023-06-27T15:17:00Z,289.6432832677721,12,1870,12.19,0.42,2023-06-27
Freshwater,F4,2023-07-07T13:44:00Z,2023-07-10T14:35:00Z,189.2307727087766,10,895,14.93,0.57,2023-07-10
Freshwater,F4,2023-08-04T17:02:00Z,2023-08-07T13:04:00Z,124.24863892439046,9,445,12.12,0.52,2023-08-07
Freshwater,F4,2023-12-08T16:44:00Z,2023-12-11T18:18:00Z,94.36114070824684,14,376,15.21,0.44,2023-12-11
Freshwater,F6,2022-06-22T15:59:00Z,2022-06-22T20:14:00Z,611.3615485564357,16,3061,7.4,0.26,2022-06-22
Freshwater,F6,2022-06-23T15:59:00Z,2022-06-24T16:16:00Z,458.10335739660593,26,2064,13.74,0.56,2022-06-24
