Site,plot,grid,Cond,Cond_units,collection_temp_C,datetime,Date_YYYYMMDD,Time_24hr,tz,evacuation_date,flag
TEMPEST,Control,C3,56.0,uS/cm,6,2025-01-31T19:37:00Z,20250131,1137,EST,2025-01-28,NA
TEMPEST,Control,F4,43.3,uS/cm,9.1,2025-01-31T19:23:00Z,20250131,1123,EST,2025-01-28,NA
TEMPEST,Control,H3,104.7,uS/cm,12.5,2025-01-31T18:51:00Z,20250131,1051,EST,2025-01-28,NA
TEMPEST,Control,H6,65.3,uS/cm,8.8,2025-01-31T19:13:00Z,20250131,1113,EST,2025-01-28,NA
TEMPEST,Control,B4,91.6,uS/cm,8.7,2025-01-31T20:19:00Z,20250131,1219,EST,2025-01-28,NA
TEMPEST,Control,D5,49.1,uS/cm,8.4,2025-01-31T20:27:00Z,20250131,1227,EST,2025-01-28,NA
TEMPEST,Control,I5,74.1,uS/cm,12.1,2025-01-31T19:00:00Z,20250131,1100,EST,2025-01-28,NA
TEMPEST,Saltwater,B4,1437.0,uS/cm,NA,2025-01-31T20:52:00Z,20250131,1252,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,F4,466.0,uS/cm,NA,2025-01-31T21:51:00Z,20250131,1351,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,H6,147.9,uS/cm,NA,2025-01-31T22:00:00Z,20250131,1400,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,C3,1038.0,uS/cm,NA,2025-01-31T21:08:00Z,20250131,1308,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,D5,507.0,uS/cm,NA,2025-01-31T21:45:00Z,20250131,1345,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,F6,913.0,uS/cm,NA,2025-01-31T21:47:00Z,20250131,1347,EST,2025-01-28,temperature not recorded
TEMPEST,Saltwater,I5,978.0,uS/cm,NA,2025-01-31T21:59:00Z,20250131,1359,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,C6,100.3,uS/cm,NA,2025-01-31T22:05:00Z,20250131,1405,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,H3,39.1,uS/cm,NA,2025-01-31T22:20:00Z,20250131,1420,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,D5,68.1,uS/cm,NA,2025-01-31T22:08:00Z,20250131,1408,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,F6,125.9,uS/cm,NA,2025-01-31T22:33:00Z,20250131,1433,EST,2025-01-28,temperature not recorded
TEMPEST,Freshwater,I5,62.9,uS/cm,NA,2025-01-31T22:27:00Z,20250131,1427,EST,2025-01-28,temperature not recorded
TEMPEST,Control,C3,48.8,uS/cm,12,2025-02-04T18:43:00Z,20250204,1043,EST,2025-01-31,NA
TEMPEST,Control,C6,47.9,uS/cm,12.1,2025-02-04T19:07:00Z,20250204,1107,EST,2025-01-31,NA
TEMPEST,Control,H3,31.2,uS/cm,12.4,2025-02-04T17:41:00Z,20250204,941,EST,2025-01-31,NA
TEMPEST,Control,H6,84.2,uS/cm,11.4,2025-02-04T18:06:00Z,20250204,1006,EST,2025-01-31,NA
TEMPEST,Control,B4,70.8,uS/cm,11.7,2025-02-04T18:55:00Z,20250204,1055,EST,2025-01-31,NA
TEMPEST,Control,D5,49.5,uS/cm,11.3,2025-02-04T19:15:00Z,20250204,1115,EST,2025-01-31,NA
TEMPEST,Control,E3,55.5,uS/cm,12.2,2025-02-04T18:33:00Z,20250204,1033,EST,2025-01-31,NA
TEMPEST,Control,I5,57.7,uS/cm,11.5,2025-02-04T17:53:00Z,20250204,953,EST,2025-01-31,NA
TEMPEST,Saltwater,B4,633.0,uS/cm,13.5,2025-02-04T20:10:00Z,20250204,1210,EST,2025-01-31,NA
TEMPEST,Saltwater,C6,195.3,uS/cm,12.3,2025-02-04T20:30:00Z,20250204,1230,EST,2025-01-31,NA
TEMPEST,Saltwater,F4,229.0,uS/cm,12.1,2025-02-04T20:58:00Z,20250204,1258,EST,2025-01-31,NA
TEMPEST,Saltwater,H3,241.0,uS/cm,12.9,2025-02-04T21:17:00Z,20250204,1317,EST,2025-01-31,NA
TEMPEST,Saltwater,H6,121.0,uS/cm,12.3,2025-02-04T21:33:00Z,20250204,1333,EST,2025-01-31,NA
TEMPEST,Saltwater,C3,897.0,uS/cm,13,2025-02-04T20:20:00Z,20250204,1220,EST,2025-01-31,NA
TEMPEST,Saltwater,D5,270.0,uS/cm,11.9,2025-02-04T20:39:00Z,20250204,1239,EST,2025-01-31,NA
TEMPEST,Saltwater,E3,462.0,uS/cm,12.8,2025-02-04T21:06:00Z,20250204,1306,EST,2025-01-31,NA
TEMPEST,Saltwater,F6,519.0,uS/cm,12.5,2025-02-04T20:48:00Z,20250204,1248,EST,2025-01-31,NA
TEMPEST,Saltwater,I5,430.0,uS/cm,11.3,2025-02-04T21:25:00Z,20250204,1325,EST,2025-01-31,NA
TEMPEST,Freshwater,C3,101.5,uS/cm,11.1,2025-02-04T22:27:00Z,20250204,1427,EST,2025-01-31,NA
TEMPEST,Freshwater,C6,30.9,uS/cm,11.2,2025-02-04T21:58:00Z,20250204,1358,EST,2025-01-31,NA
TEMPEST,Freshwater,F4,44.7,uS/cm,10.8,2025-02-04T22:44:00Z,20250204,1444,EST,2025-01-31,NA
TEMPEST,Freshwater,H3,44.8,uS/cm,10.1,2025-02-04T22:54:00Z,20250204,1454,EST,2025-01-31,NA
