Site,plot,grid,Cond,Cond_units,collection_temp_C,datetime,Date_YYYYMMDD,Time_24hr,tz,evacuation_date,flag
TEMPEST,Control,H6,NA,NA,23.3,2023-06-03T21:15:00Z,20230603,1415,EDT,2023-05-31,NA
TEMPEST,Freshwater,D5,NA,NA,24.7,2023-06-03T22:52:00Z,20230603,1552,EDT,2023-05-31,NA
TEMPEST,Freshwater,I5,NA,NA,22.4,2023-06-03T23:09:00Z,20230603,1609,EDT,2023-05-31,NA
TEMPEST,Saltwater,C6,NA,NA,25.5,2023-06-03T22:14:00Z,20230603,1514,EDT,2023-05-31,NA
TEMPEST,Control,C6,NA,NA,20.7,2023-06-05T17:48:00Z,20230605,1048,EDT,2023-06-03,NA
TEMPEST,Control,H6,NA,NA,22,2023-06-05T23:00:00Z,20230605,1600,EDT,2023-06-03,NA
TEMPEST,Control,I5,NA,NA,23.1,2023-06-05T23:29:00Z,20230605,1629,EDT,2023-06-03,NA
TEMPEST,Freshwater,D5,NA,NA,NA,2023-06-05T22:21:00Z,20230605,1521,EDT,2023-06-03,temperature not recorded
TEMPEST,Control,C6,NA,NA,24.4,2023-06-06T23:27:00Z,20230606,1627,EDT,2023-06-05,NA
TEMPEST,Control,I5,NA,NA,24.4,2023-06-06T23:13:00Z,20230606,1613,EDT,2023-06-05,NA
TEMPEST,Freshwater,F4,NA,NA,22.4,2023-06-07T00:16:00Z,20230606,1716,EDT,2023-06-05,NA
TEMPEST,Freshwater,H3,NA,NA,23.2,2023-06-07T01:00:00Z,20230606,1800,EDT,2023-06-05,NA
TEMPEST,Freshwater,D5,NA,NA,22.4,2023-06-06T23:50:00Z,20230606,1650,EDT,2023-06-05,NA
TEMPEST,Freshwater,I5,NA,NA,22.9,2023-06-07T00:45:00Z,20230606,1745,EDT,2023-06-05,NA
TEMPEST,Saltwater,C3,NA,NA,24.8,2023-06-06T23:19:00Z,20230606,1619,EDT,2023-06-05,NA
TEMPEST,Saltwater,D5,NA,NA,23,2023-06-07T00:48:00Z,20230606,1748,EDT,2023-06-05,NA
TEMPEST,Saltwater,I5,NA,NA,23.7,2023-06-07T00:22:00Z,20230606,1722,EDT,2023-06-05,NA
TEMPEST,Freshwater,C3,NA,NA,18.6,2023-06-07T16:02:00Z,20230607,902,EDT,2023-06-07,NA
TEMPEST,Freshwater,C3,NA,NA,18.6,2023-06-07T16:02:00Z,20230607,902,EDT,2023-06-06,NA
TEMPEST,Freshwater,F4,NA,NA,18.6,2023-06-07T15:40:00Z,20230607,840,EDT,2023-06-07,NA
TEMPEST,Freshwater,F4,NA,NA,18.6,2023-06-07T15:40:00Z,20230607,840,EDT,2023-06-06,NA
TEMPEST,Freshwater,H3,NA,NA,18.9,2023-06-07T15:27:00Z,20230607,827,EDT,2023-06-07,NA
TEMPEST,Freshwater,H3,NA,NA,18.9,2023-06-07T15:27:00Z,20230607,827,EDT,2023-06-06,NA
TEMPEST,Freshwater,H6,NA,NA,18.6,2023-06-07T15:15:00Z,20230607,815,EDT,2023-06-07,NA
TEMPEST,Freshwater,H6,NA,NA,18.6,2023-06-07T15:15:00Z,20230607,815,EDT,2023-06-06,NA
