Site,plot,grid,Cond,Cond_units,collection_temp_C,datetime,Date_YYYYMMDD,Time_24hr,tz,evacuation_date,flag
TEMPEST,Control,H3,28.0,uS/cm,24.2,2024-06-07T18:02:00Z,20240607,1102,EDT,2024-06-04,NA
TEMPEST,Saltwater,H3,113.0,uS/cm,25.6,2024-06-07T18:56:00Z,20240607,1156,EDT,2024-06-04,NA
TEMPEST,Saltwater,H6,31.4,uS/cm,26,2024-06-07T19:09:00Z,20240607,1209,EDT,2024-06-04,NA
TEMPEST,Saltwater,B4,109.3,uS/cm,25.5,2024-06-07T21:09:00Z,20240607,1409,EDT,2024-06-04,NA
TEMPEST,Saltwater,F6,63.0,uS/cm,25.9,2024-06-07T19:14:00Z,20240607,1214,EDT,2024-06-04,NA
TEMPEST,Freshwater,C6,62.1,uS/cm,23.7,2024-06-07T21:34:00Z,20240607,1434,EDT,2024-06-04,NA
TEMPEST,Freshwater,F4,51.3,uS/cm,25.3,2024-06-07T21:54:00Z,20240607,1454,EDT,2024-06-04,NA
TEMPEST,Freshwater,H3,32.2,uS/cm,25.2,2024-06-07T21:58:00Z,20240607,1458,EDT,2024-06-04,NA
TEMPEST,Freshwater,H6,65.2,uS/cm,24.3,2024-06-07T22:14:00Z,20240607,1514,EDT,2024-06-04,NA
TEMPEST,Freshwater,I5,157.2,uS/cm,23.6,2024-06-07T22:03:00Z,20240607,1503,EDT,2024-06-04,NA
TEMPEST,Control,H6,2.89,uS/cm,25,2024-06-10T21:06:00Z,20240610,1406,EDT,NA,NA
TEMPEST,Saltwater,F6,NA,NA,NA,2024-06-10T20:25:00Z,20240610,1325,EDT,NA,temperature not recorded
TEMPEST,Freshwater,I5,177.4,uS/cm,23.8,2024-06-10T21:45:00Z,20240610,1445,EDT,2024-06-07,NA
TEMPEST,Saltwater,B4,7.54,mS/cm,25.3,2024-06-11T21:00:00Z,20240611,1400,EDT,2024-06-10,NA
TEMPEST,Freshwater,C3,25.0,uS/cm,23.5,2024-06-11T21:17:00Z,20240611,1417,EDT,2024-06-10,NA
TEMPEST,Freshwater,C6,48.3,uS/cm,23.9,2024-06-11T21:00:00Z,20240611,1400,EDT,2024-06-10,NA
TEMPEST,Freshwater,F4,51.6,uS/cm,24.3,2024-06-11T20:43:00Z,20240611,1343,EDT,2024-06-10,NA
TEMPEST,Freshwater,D5,83.4,uS/cm,24.2,2024-06-11T20:30:00Z,20240611,1330,EDT,2024-06-10,NA
TEMPEST,Freshwater,I5,55.4,uS/cm,23.1,2024-06-11T20:07:00Z,20240611,1307,EDT,2024-06-10,NA
