Site,plot,grid,spc_uscm,datetime,Date_YYYYMMDD,Time_24hr,tz,evacuation_date
TEMPEST,Control,H3,28,2024-06-07T18:02:00Z,20240607,1102,EDT,2024-06-04
TEMPEST,Saltwater,H3,113,2024-06-07T18:56:00Z,20240607,1156,EDT,2024-06-04
TEMPEST,Saltwater,H6,31.4,2024-06-07T19:09:00Z,20240607,1209,EDT,2024-06-04
TEMPEST,Saltwater,B4,109.3,2024-06-07T21:09:00Z,20240607,1409,EDT,2024-06-04
TEMPEST,Saltwater,F6,63,2024-06-07T19:14:00Z,20240607,1214,EDT,2024-06-04
TEMPEST,Freshwater,C6,62.1,2024-06-07T21:34:00Z,20240607,1434,EDT,2024-06-04
TEMPEST,Freshwater,F4,51.3,2024-06-07T21:54:00Z,20240607,1454,EDT,2024-06-04
TEMPEST,Freshwater,H3,32.2,2024-06-07T21:58:00Z,20240607,1458,EDT,2024-06-04
TEMPEST,Freshwater,H6,65.2,2024-06-07T22:14:00Z,20240607,1514,EDT,2024-06-04
TEMPEST,Freshwater,I5,157.2,2024-06-07T22:03:00Z,20240607,1503,EDT,2024-06-04
TEMPEST,Control,H6,2.89,2024-06-10T21:06:00Z,20240610,1406,EDT,NA
TEMPEST,Saltwater,F6,NA,2024-06-10T20:25:00Z,20240610,1325,EDT,NA
TEMPEST,Freshwater,I5,177.4,2024-06-10T21:45:00Z,20240610,1445,EDT,2024-06-07
TEMPEST,Saltwater,B4,7540,2024-06-11T21:00:00Z,20240611,1400,EDT,2024-06-10
TEMPEST,Freshwater,C3,25,2024-06-11T21:17:00Z,20240611,1417,EDT,2024-06-10
TEMPEST,Freshwater,C6,48.3,2024-06-11T21:00:00Z,20240611,1400,EDT,2024-06-10
TEMPEST,Freshwater,F4,51.6,2024-06-11T20:43:00Z,20240611,1343,EDT,2024-06-10
TEMPEST,Freshwater,D5,83.4,2024-06-11T20:30:00Z,20240611,1330,EDT,2024-06-10
TEMPEST,Freshwater,I5,55.4,2024-06-11T20:07:00Z,20240611,1307,EDT,2024-06-10
TEMPEST,Saltwater,C3,6860,2024-06-12T16:31:00Z,20240612,931,EDT,2024-06-12
TEMPEST,Saltwater,C3,6860,2024-06-12T16:31:00Z,20240612,931,EDT,2024-06-11
TEMPEST,Saltwater,F4,4630,2024-06-12T15:34:00Z,20240612,834,EDT,2024-06-12
TEMPEST,Saltwater,F4,4630,2024-06-12T15:34:00Z,20240612,834,EDT,2024-06-11
TEMPEST,Saltwater,H3,6680,2024-06-12T15:26:00Z,20240612,826,EDT,2024-06-12
TEMPEST,Saltwater,H3,6680,2024-06-12T15:26:00Z,20240612,826,EDT,2024-06-11
TEMPEST,Saltwater,E3,4010,2024-06-12T15:54:00Z,20240612,854,EDT,2024-06-12
TEMPEST,Saltwater,E3,4010,2024-06-12T15:54:00Z,20240612,854,EDT,2024-06-11
TEMPEST,Freshwater,C3,3.46,2024-06-12T15:02:00Z,20240612,802,EDT,2024-06-12
TEMPEST,Freshwater,C3,3.46,2024-06-12T15:02:00Z,20240612,802,EDT,2024-06-11
TEMPEST,Freshwater,F4,59.1,2024-06-12T16:47:00Z,20240612,947,EDT,2024-06-12
TEMPEST,Freshwater,F4,59.1,2024-06-12T16:47:00Z,20240612,947,EDT,2024-06-11
TEMPEST,Freshwater,H3,62.7,2024-06-12T17:05:00Z,20240612,1005,EDT,2024-06-12
TEMPEST,Freshwater,H3,62.7,2024-06-12T17:05:00Z,20240612,1005,EDT,2024-06-11
TEMPEST,Freshwater,D5,71.17,2024-06-12T15:43:00Z,20240612,843,EDT,2024-06-12
TEMPEST,Freshwater,D5,71.17,2024-06-12T15:43:00Z,20240612,843,EDT,2024-06-11
TEMPEST,Freshwater,I5,124.6,2024-06-12T16:31:00Z,20240612,931,EDT,2024-06-12
TEMPEST,Freshwater,I5,124.6,2024-06-12T16:31:00Z,20240612,931,EDT,2024-06-11
TEMPEST,Saltwater,C3,5730,2024-06-12T22:40:00Z,20240612,1540,EDT,2024-06-12
TEMPEST,Saltwater,C3,5730,2024-06-12T22:40:00Z,20240612,1540,EDT,2024-06-11
TEMPEST,Saltwater,C6,3120,2024-06-12T23:16:00Z,20240612,1616,EDT,2024-06-12
TEMPEST,Saltwater,C6,3120,2024-06-12T23:16:00Z,20240612,1616,EDT,2024-06-11
TEMPEST,Saltwater,F4,5950,2024-06-12T22:23:00Z,20240612,1523,EDT,2024-06-12
TEMPEST,Saltwater,F4,5950,2024-06-12T22:23:00Z,20240612,1523,EDT,2024-06-11
TEMPEST,Saltwater,H3,7250,2024-06-12T22:13:00Z,20240612,1513,EDT,2024-06-12
TEMPEST,Saltwater,H3,7250,2024-06-12T22:13:00Z,20240612,1513,EDT,2024-06-11
TEMPEST,Saltwater,B4,8910,2024-06-12T23:22:00Z,20240612,1622,EDT,2024-06-12
TEMPEST,Saltwater,B4,8910,2024-06-12T23:22:00Z,20240612,1622,EDT,2024-06-11
TEMPEST,Saltwater,E3,5280,2024-06-12T22:30:00Z,20240612,1530,EDT,2024-06-12
TEMPEST,Saltwater,E3,5280,2024-06-12T22:30:00Z,20240612,1530,EDT,2024-06-11
TEMPEST,Saltwater,F6,7420,2024-06-12T23:07:00Z,20240612,1607,EDT,2024-06-12
TEMPEST,Saltwater,F6,7420,2024-06-12T23:07:00Z,20240612,1607,EDT,2024-06-11
TEMPEST,Freshwater,C3,70.3,2024-06-12T23:18:00Z,20240612,1618,EDT,2024-06-12
TEMPEST,Freshwater,C3,70.3,2024-06-12T23:18:00Z,20240612,1618,EDT,2024-06-11
TEMPEST,Freshwater,C6,58,2024-06-12T23:03:00Z,20240612,1603,EDT,2024-06-12
TEMPEST,Freshwater,C6,58,2024-06-12T23:03:00Z,20240612,1603,EDT,2024-06-11
TEMPEST,Freshwater,F4,57.9,2024-06-12T22:31:00Z,20240612,1531,EDT,2024-06-12
TEMPEST,Freshwater,F4,57.9,2024-06-12T22:31:00Z,20240612,1531,EDT,2024-06-11
TEMPEST,Freshwater,D5,60,2024-06-12T22:48:00Z,20240612,1548,EDT,2024-06-12
TEMPEST,Freshwater,D5,60,2024-06-12T22:48:00Z,20240612,1548,EDT,2024-06-11
TEMPEST,Freshwater,I5,99.2,2024-06-12T22:00:00Z,20240612,1500,EDT,2024-06-12
TEMPEST,Freshwater,I5,99.2,2024-06-12T22:00:00Z,20240612,1500,EDT,2024-06-11
TEMPEST,Saltwater,C3,6560,2024-06-13T16:16:00Z,20240613,916,EDT,2024-06-13
TEMPEST,Saltwater,C3,6560,2024-06-13T16:16:00Z,20240613,916,EDT,2024-06-12
TEMPEST,Saltwater,H3,7570,2024-06-13T15:33:00Z,20240613,833,EDT,2024-06-13
TEMPEST,Saltwater,H3,7570,2024-06-13T15:33:00Z,20240613,833,EDT,2024-06-12
TEMPEST,Saltwater,H6,6740,2024-06-13T15:08:00Z,20240613,808,EDT,2024-06-13
TEMPEST,Saltwater,H6,6740,2024-06-13T15:08:00Z,20240613,808,EDT,2024-06-12
TEMPEST,Saltwater,B4,7790,2024-06-13T16:37:00Z,20240613,937,EDT,2024-06-13
TEMPEST,Saltwater,B4,7790,2024-06-13T16:37:00Z,20240613,937,EDT,2024-06-12
TEMPEST,Saltwater,F6,5200,2024-06-13T15:48:00Z,20240613,848,EDT,2024-06-13
TEMPEST,Saltwater,F6,5200,2024-06-13T15:48:00Z,20240613,848,EDT,2024-06-12
TEMPEST,Freshwater,C3,78.8,2024-06-13T16:17:00Z,20240613,917,EDT,2024-06-13
TEMPEST,Freshwater,C3,78.8,2024-06-13T16:17:00Z,20240613,917,EDT,2024-06-12
TEMPEST,Freshwater,C6,56.7,2024-06-13T16:43:00Z,20240613,943,EDT,2024-06-13
TEMPEST,Freshwater,C6,56.7,2024-06-13T16:43:00Z,20240613,943,EDT,2024-06-12
TEMPEST,Freshwater,F4,54,2024-06-13T15:46:00Z,20240613,846,EDT,2024-06-13
TEMPEST,Freshwater,F4,54,2024-06-13T15:46:00Z,20240613,846,EDT,2024-06-12
TEMPEST,Freshwater,H3,57.4,2024-06-13T15:34:00Z,20240613,834,EDT,2024-06-13
TEMPEST,Freshwater,H3,57.4,2024-06-13T15:34:00Z,20240613,834,EDT,2024-06-12
TEMPEST,Freshwater,D5,63.1,2024-06-13T16:57:00Z,20240613,957,EDT,2024-06-13
TEMPEST,Freshwater,D5,63.1,2024-06-13T16:57:00Z,20240613,957,EDT,2024-06-12
TEMPEST,Freshwater,E3,49.3,2024-06-13T16:02:00Z,20240613,902,EDT,2024-06-13
TEMPEST,Freshwater,E3,49.3,2024-06-13T16:02:00Z,20240613,902,EDT,2024-06-12
TEMPEST,Freshwater,I5,110.6,2024-06-13T15:22:00Z,20240613,822,EDT,2024-06-13
TEMPEST,Freshwater,I5,110.6,2024-06-13T15:22:00Z,20240613,822,EDT,2024-06-12
TEMPEST,Saltwater,C3,7590,2024-06-13T22:57:00Z,20240613,1557,EDT,2024-06-13
TEMPEST,Saltwater,C3,7590,2024-06-13T22:57:00Z,20240613,1557,EDT,2024-06-12
TEMPEST,Saltwater,C6,1874,2024-06-13T22:39:00Z,20240613,1539,EDT,2024-06-13
TEMPEST,Saltwater,C6,1874,2024-06-13T22:39:00Z,20240613,1539,EDT,2024-06-12
TEMPEST,Saltwater,B4,8060.000000000001,2024-06-13T22:44:00Z,20240613,1544,EDT,2024-06-13
TEMPEST,Saltwater,B4,8060.000000000001,2024-06-13T22:44:00Z,20240613,1544,EDT,2024-06-12
TEMPEST,Saltwater,F6,7020,2024-06-13T22:19:00Z,20240613,1519,EDT,2024-06-13
TEMPEST,Saltwater,F6,7020,2024-06-13T22:19:00Z,20240613,1519,EDT,2024-06-12
TEMPEST,Saltwater,I5,7400,2024-06-13T21:52:00Z,20240613,1452,EDT,2024-06-13
TEMPEST,Saltwater,I5,7400,2024-06-13T21:52:00Z,20240613,1452,EDT,2024-06-12
TEMPEST,Freshwater,C3,91.4,2024-06-13T23:24:00Z,20240613,1624,EDT,2024-06-13
