Site,plot,grid,spc_uscm,datetime,Date_YYYYMMDD,Time_24hr,tz,evacuation_date
TEMPEST,Control,H3,28,2024-06-07T18:02:00Z,20240607,1102,EDT,2024-06-04
TEMPEST,Control,H6,2.89,2024-06-10T21:06:00Z,20240610,1406,EDT,NA
TEMPEST,Control,H6,142.3,2024-08-08T17:52:00Z,20240808,1052,EDT,NA
TEMPEST,Control,I5,51.5,2024-08-08T17:55:00Z,20240808,1055,EDT,NA
TEMPEST,Control,C6,97.7,2024-10-03T21:24:00Z,20241003,1424,EDT,2024-09-30
TEMPEST,Control,H6,52.6,2024-10-03T21:47:00Z,20241003,1447,EDT,2024-09-30
TEMPEST,Control,E3,45.4,2024-10-03T22:03:00Z,20241003,1503,EDT,2024-09-30
TEMPEST,Control,F6,77.3,2024-10-03T21:41:00Z,20241003,1441,EDT,2024-09-30
TEMPEST,Control,C6,70.6,2024-12-13T22:12:00Z,20241213,1412,EST,2024-12-10
TEMPEST,Control,D5,28.3,2024-12-13T22:30:00Z,20241213,1430,EST,2024-12-10
TEMPEST,Control,E3,45.9,2024-12-13T22:50:00Z,20241213,1450,EST,2024-12-10
TEMPEST,Control,F6,34.8,2024-12-13T23:02:00Z,20241213,1502,EST,2024-12-10
TEMPEST,Control,I5,44.6,2024-12-13T23:15:00Z,20241213,1515,EST,2024-12-10
TEMPEST,Control,C3,56,2025-01-31T19:37:00Z,20250131,1137,EST,2025-01-28
TEMPEST,Control,F4,43.3,2025-01-31T19:23:00Z,20250131,1123,EST,2025-01-28
TEMPEST,Control,H3,104.7,2025-01-31T18:51:00Z,20250131,1051,EST,2025-01-28
TEMPEST,Control,H6,65.3,2025-01-31T19:13:00Z,20250131,1113,EST,2025-01-28
TEMPEST,Control,B4,91.6,2025-01-31T20:19:00Z,20250131,1219,EST,2025-01-28
TEMPEST,Control,D5,49.1,2025-01-31T20:27:00Z,20250131,1227,EST,2025-01-28
TEMPEST,Control,I5,74.1,2025-01-31T19:00:00Z,20250131,1100,EST,2025-01-28
TEMPEST,Control,C3,48.8,2025-02-04T18:43:00Z,20250204,1043,EST,2025-01-31
TEMPEST,Control,C6,47.9,2025-02-04T19:07:00Z,20250204,1107,EST,2025-01-31
TEMPEST,Control,H3,31.2,2025-02-04T17:41:00Z,20250204,941,EST,2025-01-31
TEMPEST,Control,H6,84.2,2025-02-04T18:06:00Z,20250204,1006,EST,2025-01-31
TEMPEST,Control,B4,70.8,2025-02-04T18:55:00Z,20250204,1055,EST,2025-01-31
TEMPEST,Control,D5,49.5,2025-02-04T19:15:00Z,20250204,1115,EST,2025-01-31
TEMPEST,Control,E3,55.5,2025-02-04T18:33:00Z,20250204,1033,EST,2025-01-31
TEMPEST,Control,I5,57.7,2025-02-04T17:53:00Z,20250204,953,EST,2025-01-31
TEMPEST,Control,C6,92,2025-04-03T20:50:00Z,20250403,1350,EDT,2025-03-31
TEMPEST,Control,H3,49.7,2025-04-03T21:20:00Z,20250403,1420,EDT,2025-03-31
TEMPEST,Control,H6,70.8,2025-04-06T19:18:00Z,20250406,1218,EDT,NA
TEMPEST,Control,B4,44.6,2025-04-03T20:58:00Z,20250403,1358,EDT,2025-03-31
TEMPEST,Control,F6,109.6,2025-04-06T19:09:00Z,20250406,1209,EDT,NA
TEMPEST,Control,I5,28.3,2025-04-03T21:24:00Z,20250403,1424,EDT,2025-03-31
TEMPEST,Control,H3,12.1,2025-05-09T20:23:00Z,20250509,1323,EDT,2025-05-06
TEMPEST,Control,H6,83.7,2025-05-09T20:31:00Z,20250509,1331,EDT,2025-05-06
TEMPEST,Control,D5,32.4,2025-05-09T20:35:00Z,20250509,1335,EDT,2025-05-06
TEMPEST,Control,I5,32.6,2025-05-09T20:27:00Z,20250509,1327,EDT,2025-05-06
TEMPEST,Control,B4,26.4,2025-06-02T22:58:00Z,20250602,1558,EDT,2025-05-30
TEMPEST,Control,C3,40.8,2025-06-02T23:09:00Z,20250602,1609,EDT,2025-05-30
TEMPEST,Control,C6,54,2025-06-02T22:46:00Z,20250602,1546,EDT,2025-05-30
TEMPEST,Control,F4,24.3,2025-06-02T23:34:00Z,20250602,1634,EDT,2025-05-30
TEMPEST,Control,F6,43.3,2025-06-02T23:24:00Z,20250602,1624,EDT,2025-05-30
TEMPEST,Control,H3,28.2,2025-06-02T23:43:00Z,20250602,1643,EDT,2025-05-30
TEMPEST,Control,H6,47.7,2025-06-03T00:07:00Z,20250602,1707,EDT,2025-05-30
TEMPEST,Control,I5,22.4,2025-06-02T23:56:00Z,20250602,1656,EDT,2025-05-30
TEMPEST,Control,H3,23.6,2025-07-11T19:15:00Z,20250711,1215,EDT,2025-07-08
TEMPEST,Control,H6,74.4,2025-07-11T19:24:00Z,20250711,1224,EDT,2025-07-08
TEMPEST,Control,I5,28.3,2025-07-11T19:36:00Z,20250711,1236,EDT,2025-07-08
TEMPEST,Control,I5,76.6,2025-11-01T17:52:00Z,20251101,1052,EDT,2025-10-29
