plot,grid,evacuation_datetime,collection_datetime,mean_EC_uScm_15cm,min_EC_uScm_15cm,max_EC_uScm_15cm,doc_mg_l,tdn_mg_l,collection_date
Control,C6,2023-04-14T13:32:00Z,2023-04-17T13:25:00Z,118.32531522793407,26,266,8.4,0.34,2023-04-17
Control,C6,2023-05-12T15:26:00Z,2023-05-15T19:02:00Z,104.40504648074365,20,167,9.93,0.32,2023-05-15
Control,C6,2023-05-31T19:12:00Z,2023-06-03T18:41:00Z,102.96588028855527,18,209,21.48,0.32,2023-06-03
Control,C6,2023-06-23T16:31:00Z,2023-06-28T19:24:00Z,79.6380407711459,0,185,12.88,0.43,2023-06-28
Control,C6,2023-08-07T15:15:00Z,2023-08-10T14:53:00Z,92.529892096821,10,259,15.05,0.51,2023-08-10
Control,D5,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,114.80305567182918,28,286,18.36,0.66,2022-05-18
Control,D5,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,106.31347419466572,26,252,19.76,0.56,2022-06-24
Control,D5,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,110.25833908442594,23,263,8.83,0.46,2022-07-21
Control,D5,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,129.0004284490144,25,279,11.37,0.41,2022-08-08
Control,D5,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,80.74673366834173,11,159,11.13,0.6,2022-09-15
Control,D5,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,79.4712199312715,11,133,6.9,0.24,2022-10-19
Control,D5,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,94.42533258384839,18,178,7.13,0.32,2022-11-28
Control,D5,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,109.80604103343464,22,240,7.77,0.29,2023-02-02
Control,D5,2023-06-23T18:12:00Z,2023-06-28T19:12:00Z,79.8262866785417,0,185,9.77,0.32,2023-06-28
Control,D5,2023-08-07T15:27:00Z,2023-08-10T14:49:00Z,92.60539036179877,10,259,10.96,0.43,2023-08-10
Control,E3,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,114.80305567182918,28,286,9.88,0.5349999999999999,2022-05-18
Control,E3,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,109.77885279889435,0,286,10.3,0.45,2022-06-15
Control,E3,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,106.31347419466572,26,252,11.68,0.72,2022-06-24
Control,E3,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,129.0004284490144,25,279,12.71,0.93,2022-08-08
Control,E3,2022-09-09T14:00:00Z,2022-09-12T14:35:00Z,77.53873744619801,6,148,11.21,0.52,2022-09-12
Control,E3,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,79.4712199312715,11,133,10.2,0.31,2022-10-19
Control,E3,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,94.42533258384839,18,178,8.79,0.32,2022-11-28
Control,E3,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,109.80604103343464,22,240,8.63,0.3,2023-02-02
Control,E3,2023-05-12T18:01:00Z,2023-05-15T18:46:00Z,104.4560515416475,20,167,9.92,0.48,2023-05-15
Control,E3,2023-06-23T18:06:00Z,2023-06-28T19:48:00Z,79.85706298919136,0,185,10.14,0.38,2023-06-28
Control,E3,2023-08-07T15:40:00Z,2023-08-10T14:36:00Z,92.65435006624466,10,259,11.71,0.45,2023-08-10
Control,F4,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,114.80305567182918,28,286,8.13,0.47,2022-05-18
Control,F4,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,129.0004284490144,25,279,14.43,0.59,2022-08-08
Control,F4,2023-08-07T15:45:00Z,2023-08-10T14:27:00Z,92.68015955089373,10,259,19.54,0.72,2023-08-10
Control,F6,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,114.80305567182918,28,286,7.459999999999999,0.335,2022-05-18
Control,F6,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,109.77885279889435,0,286,13.77,0.57,2022-06-15
Control,F6,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,106.31347419466572,26,252,19.97,0.75,2022-06-24
Control,F6,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,110.25833908442594,23,263,16.45,0.81,2022-07-21
Control,F6,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,129.0004284490144,25,279,15.7,0.5,2022-08-08
Control,F6,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,79.4712199312715,11,133,12.13,0.38,2022-10-19
Control,F6,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,94.42533258384839,18,178,14.55,0.42,2022-11-28
Control,F6,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,109.80604103343464,22,240,14.28,0.47,2023-02-02
Control,F6,2023-05-12T15:36:00Z,2023-05-15T16:50:00Z,104.47783363802559,20,167,15.58,0.41,2023-05-15
Control,F6,2023-06-23T18:15:00Z,2023-06-28T19:04:00Z,79.82033230075929,0,185,17.37,0.49,2023-06-28
Control,F6,2023-08-07T15:36:00Z,2023-08-10T14:17:00Z,92.67361727299618,10,259,22.34,0.67,2023-08-10
Control,H3,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,109.77885279889435,0,286,21.45,0.59,2022-06-15
Control,H3,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,106.31347419466572,26,252,22.94,0.82,2022-06-24
Control,H3,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,107.98694900604912,17,282,20.08,0.51,2022-07-18
Control,H3,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,129.0004284490144,25,279,20.09,0.61,2022-08-08
Control,H3,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,80.74673366834173,11,159,23.46,3.27,2022-09-15
Control,H3,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,79.4712199312715,11,133,19.4,0.59,2022-10-19
Control,H3,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,94.42533258384839,18,178,19.2,0.81,2022-11-28
Control,H3,2023-02-02T15:15:00Z,2023-02-06T15:35:00Z,106.7571078077645,23,246,14.7,0.42,2023-02-06
Control,H3,2023-04-14T13:03:00Z,2023-04-17T12:50:00Z,118.28712871287135,26,266,17.32,0.73,2023-04-17
Control,H3,2023-06-23T18:02:00Z,2023-06-28T18:33:00Z,79.76259534796063,0,185,20.53,2.1,2023-06-28
Control,H3,2023-08-04T15:56:00Z,2023-08-07T16:00:00Z,76.4522154648134,9,192,17.57,0.6,2023-08-07
Control,H3,2023-12-08T14:46:00Z,2023-12-11T15:06:00Z,58.594509992776544,14,165,20.84,0.77,2023-12-11
Control,H6,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,114.80305567182918,28,286,13.92,0.47,2022-05-18
Control,H6,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,109.77885279889435,0,286,17.41,0.66,2022-06-15
Control,H6,2022-06-22T15:59:00Z,2022-06-22T20:34:00Z,91.8488160291439,16,250,19.16,0.59,2022-06-22
Control,H6,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,98.73392375818243,16,253,20.74,0.62,2022-06-23
Control,H6,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,106.31347419466572,26,252,21.31,0.77,2022-06-24
Control,H6,2022-07-18T15:30:00Z,2022-07-21T16:00:00Z,110.25833908442594,23,263,16.28,1.15,2022-07-21
Control,H6,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,129.0004284490144,25,279,15.89,0.58,2022-08-08
Control,H6,2022-09-09T14:00:00Z,2022-09-12T14:35:00Z,77.53873744619801,6,148,25,0.84,2022-09-12
Control,H6,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,79.4712199312715,11,133,15.72,0.5,2022-10-19
Control,H6,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,94.42533258384839,18,178,15.01,0.46,2022-11-28
Control,H6,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,109.80604103343464,22,240,11.4,0.39,2023-02-02
Control,H6,2023-04-14T13:12:00Z,2023-04-17T13:02:00Z,118.2747721543532,26,266,12.12,0.47,2023-04-17
Control,H6,2023-05-12T15:36:00Z,2023-05-15T16:32:00Z,104.47555657562543,20,167,14.55,0.5,2023-05-15
Control,H6,2023-05-31T18:26:00Z,2023-06-03T18:15:00Z,102.93503975179365,18,209,24.67,0.53,2023-06-03
Control,H6,2023-06-08T20:47:00Z,2023-06-12T14:22:00Z,66.08925658354691,11,174,16.2,0.75,2023-06-12
Control,H6,2023-06-23T18:18:00Z,2023-06-28T18:54:00Z,79.81131187652979,0,185,19.3,0.67,2023-06-28
Control,H6,2023-07-05T16:15:00Z,2023-07-07T15:42:00Z,65.54126426690085,7,158,19.94,0.84,2023-07-07
Control,H6,2023-07-07T15:42:00Z,2023-07-10T16:55:00Z,69.283190883191,10,178,21.17,1.2,2023-07-10
Control,H6,2023-08-04T16:03:00Z,2023-08-07T15:49:00Z,76.4474679860301,9,192,16.67,0.68,2023-08-07
Control,H6,2023-08-07T15:59:00Z,2023-08-10T15:59:00Z,92.68307200929169,10,259,17.54,0.65,2023-08-10
Control,H6,2023-12-08T15:00:00Z,2023-12-11T15:23:00Z,58.6466346153845,14,165,11.97,0.4,2023-12-11
Control,I5,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,108.35284768211913,0,284,19.15,0.84,2022-06-13
Control,I5,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,98.73392375818243,16,253,22.93,0.67,2022-06-23
Control,I5,2022-06-23T15:59:00Z,2022-06-24T16:00:00Z,106.31347419466572,26,252,26.29,1.45,2022-06-24
Control,I5,2022-07-14T15:59:00Z,2022-07-18T15:59:00Z,107.9068062827234,17,282,18.21,0.74,2022-07-18
Control,I5,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,129.0004284490144,25,279,23.39,0.71,2022-08-08
Control,I5,2022-09-12T14:28:00Z,2022-09-15T15:00:00Z,80.74673366834173,11,159,15.9,0.49,2022-09-15
Control,I5,2022-10-17T20:25:00Z,2022-10-19T20:57:00Z,79.4712199312715,11,133,14.79,0.39,2022-10-19
Control,I5,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,94.42533258384839,18,178,15.72,0.47,2022-11-28
Control,I5,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,109.80604103343464,22,240,14.91,0.41,2023-02-02
Control,I5,2023-04-14T13:31:00Z,2023-04-17T12:55:00Z,118.33561242430157,26,266,15.83,0.82,2023-04-17
Control,I5,2023-05-12T15:39:00Z,2023-05-15T16:25:00Z,104.50390804597703,20,167,15.39,0.48,2023-05-15
Control,I5,2023-05-31T18:36:00Z,2023-06-03T18:00:00Z,102.95043902439023,18,209,20.45,0.44,2023-06-03
Control,I5,2023-06-23T18:21:00Z,2023-06-28T18:40:00Z,79.80767779664252,0,185,17.09,0.48,2023-06-28
Control,I5,2023-07-07T15:38:00Z,2023-07-10T17:10:00Z,69.31811090625456,10,178,19.03,0.74,2023-07-10
Control,I5,2023-08-07T15:56:00Z,2023-08-10T13:57:00Z,92.77198745707037,10,259,20.34,0.6,2023-08-10
Control,I5,2023-10-02T15:59:00Z,2023-10-05T15:59:00Z,46.809213385484576,5,119,13.19,0.43,2023-10-05
Control,I5,2023-12-05T14:50:00Z,2023-12-08T14:49:00Z,53.90246168137483,14,123,17.68,0.51,2023-12-08
