plot,grid,evacuation_datetime,collection_datetime,mean_EC_uScm_15cm,min_EC_uScm_15cm,max_EC_uScm_15cm,doc_mg_l,tdn_mg_l,collection_date
Control,B4,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,108.35284768211913,0,284,10.19,0.53,2022-06-13
Control,B4,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,98.73392375818243,16,253,11.82,0.37,2022-06-23
Control,B4,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,107.98694900604912,17,282,7.55,0.23,2022-07-18
Control,B4,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,129.0004284490144,25,279,10.61,0.45,2022-08-08
Control,B4,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,94.42533258384839,18,178,7.48,0.24,2022-11-28
Control,B4,2023-08-07T15:21:00Z,2023-08-10T15:01:00Z,92.57319918343549,10,259,14.75,0.51,2023-08-10
Control,B4,2023-12-08T15:12:00Z,2023-12-11T15:43:00Z,58.68652414124382,14,165,23.49,0.92,2023-12-11
Control,C3,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,129.0004284490144,25,279,16.66,0.49,2022-08-08
Control,C3,2022-11-28T16:20:00Z,2022-12-01T17:06:00Z,99.34041331802528,21,191,16.1,0.46,2022-12-01
Control,C3,2023-06-23T15:59:00Z,2023-06-28T15:59:00Z,79.38184737438685,12,185,11.68,0.36,2023-06-28
Control,C6,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,114.80305567182918,28,286,9.235,0.365,2022-05-18
Control,C6,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,108.35284768211913,0,284,8.83,0.44,2022-06-13
Control,C6,2022-06-22T15:59:00Z,2022-06-23T13:38:00Z,98.73392375818243,16,253,24.39,0.72,2022-06-23
Control,C6,2022-07-14T16:07:00Z,2022-07-18T17:00:00Z,107.98694900604912,17,282,12.69,1.44,2022-07-18
Control,C6,2022-08-05T18:00:00Z,2022-08-08T19:00:00Z,129.0004284490144,25,279,13.45,1.73,2022-08-08
Control,C6,2022-09-09T14:00:00Z,2022-09-12T14:35:00Z,77.53873744619801,6,148,17.31,0.59,2022-09-12
Control,C6,2022-10-17T15:59:00Z,2022-10-19T15:59:00Z,79.67500000000003,12,133,11.49,0.38,2022-10-19
Control,C6,2022-11-25T15:23:00Z,2022-11-28T17:42:00Z,94.42533258384839,18,178,8.28,0.28,2022-11-28
Control,C6,2023-01-30T15:00:00Z,2023-02-02T16:17:00Z,109.80604103343464,22,240,8.27,0.27,2023-02-02
