plot,grid,evacuation_datetime,collection_datetime,mean_EC_uScm_15cm,min_EC_uScm_15cm,max_EC_uScm_15cm,doc_mg_l,tdn_mg_l,collection_date
Saltwater,B4,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,56.46123727486299,11,112,20.02,0.6,2022-06-13
Saltwater,B4,2022-06-22T15:59:00Z,2022-06-22T16:47:00Z,1534.1616161616162,845,2967,11.37,0.48,2022-06-22
Saltwater,B4,2022-06-22T15:59:00Z,2022-06-22T20:14:00Z,1631.8996062992128,845,3061,7.3,0.47,2022-06-22
Saltwater,B4,2022-06-22T15:59:00Z,2022-06-23T13:41:00Z,1405.9098960338831,551,3061,9.22,0.52,2022-06-23
Saltwater,B4,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,1175.9827109266937,460,2064,8.94,0.52,2022-06-24
Saltwater,B4,2022-07-14T15:20:00Z,2022-07-18T16:05:00Z,355.4894547575067,76,680,21.99,0.7,2022-07-18
Saltwater,B4,2022-08-05T16:55:00Z,2022-08-08T17:56:00Z,188.4248422260472,54,447,84.9,1.95,2022-08-08
Saltwater,B4,2022-09-09T14:40:00Z,2022-09-12T15:20:00Z,72.19635162309655,10,214,75.62,1.8,2022-09-12
Saltwater,B4,2022-10-17T19:40:00Z,2022-10-19T20:20:00Z,108.23668384879723,35,177,52.57,1.33,2022-10-19
Saltwater,B4,2022-11-25T17:45:00Z,2022-11-28T19:02:00Z,114.03123662815561,42,189,65.26,1.49,2022-11-28
Saltwater,B4,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,87.02784503631958,33,161,42.47,1.11,2023-02-02
Saltwater,B4,2023-04-14T14:01:00Z,2023-04-17T13:49:00Z,91.64847611202632,34,167,49.13,1.19,2023-04-17
Saltwater,B4,2023-05-12T14:59:00Z,2023-05-15T19:11:00Z,80.1168831168831,32,138,50.34,2.75,2023-05-15
Saltwater,B4,2023-05-31T18:05:00Z,2023-06-03T19:06:00Z,82.87056128293244,34,153,67.48,1.45,2023-06-03
Saltwater,B4,2023-06-06T20:31:00Z,2023-06-07T13:02:00Z,1086.691603053436,387,2848,4.18,0.29,2023-06-07
Saltwater,B4,2023-06-07T13:02:00Z,2023-06-07T21:23:00Z,1549.6676767676772,607,2992,4.27,0.36,2023-06-07
Saltwater,B4,2023-06-07T21:23:00Z,2023-06-08T18:15:00Z,1222.4452905811681,516,2888,5.01,0.37,2023-06-08
Saltwater,B4,2023-06-12T13:35:00Z,2023-06-14T16:14:00Z,806.9292907649466,421,2075,7.82,0.48,2023-06-14
Saltwater,B4,2023-06-14T16:14:00Z,2023-06-17T15:33:00Z,724.4631443712866,451,1274,5.88,0.41,2023-06-17
Saltwater,B4,2023-06-23T16:39:00Z,2023-06-27T18:31:00Z,732.0714822367785,380,1870,6.73,0.48,2023-06-27
Saltwater,B4,2023-07-05T16:39:00Z,2023-07-07T14:20:00Z,485.4974677716393,276,933,7.82,0.74,2023-07-07
Saltwater,B4,2023-08-04T16:18:00Z,2023-08-07T14:58:00Z,223.2705321210321,78,445,16.93,0.7,2023-08-07
Saltwater,B4,2023-12-05T15:38:00Z,2023-12-08T15:31:00Z,145.88349514563106,48,293,86.41,1.97,2023-12-08
Saltwater,B4,2023-12-08T15:31:00Z,2023-12-11T16:49:00Z,144.3483895559368,42,376,51.56,1.22,2023-12-11
Saltwater,C3,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,56.46123727486299,11,112,23.65,0.99,2022-06-13
Saltwater,C3,2022-06-22T15:59:00Z,2022-06-22T16:47:00Z,1534.1616161616162,845,2967,15.5,0.93,2022-06-22
Saltwater,C3,2022-06-22T15:59:00Z,2022-06-22T20:14:00Z,1631.8996062992128,845,3061,8.48,0.5,2022-06-22
Saltwater,C3,2022-06-22T15:59:00Z,2022-06-23T13:41:00Z,1405.9098960338831,551,3061,13.23,1.19,2022-06-23
Saltwater,C3,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,1175.9827109266937,460,2064,14.34,1.36,2022-06-24
Saltwater,C3,2022-07-14T15:20:00Z,2022-07-18T16:05:00Z,355.4894547575067,76,680,9.15,0.47,2022-07-18
