Exp_Type,Treatment,Column,treatment_id,Timepoint,analyte,value
NaCl,0.1,"Average of Reps A, B, C",23,0,Ca_ppm,0
NaCl,0.1,"Average of Reps A, B, C",23,0,doc_mgperL,0
NaCl,0.1,"Average of Reps A, B, C",23,1,conductivity_uSpercm,104.3
NaCl,0.1,"Average of Reps A, B, C",23,1,Ca_ppm,0.72
NaCl,0.1,"Average of Reps A, B, C",23,1,doc_mgperL,10.83
NaCl,0.1,"Average of Reps A, B, C",23,2,conductivity_uSpercm,20.77
NaCl,0.1,"Average of Reps A, B, C",23,2,Ca_ppm,0.21
NaCl,0.1,"Average of Reps A, B, C",23,2,doc_mgperL,16.51
NaCl,0.1,"Average of Reps A, B, C",23,3,conductivity_uSpercm,12.28
NaCl,0.1,"Average of Reps A, B, C",23,3,Ca_ppm,0.16
NaCl,0.1,"Average of Reps A, B, C",23,3,doc_mgperL,12.66
NaCl,0.1,"Average of Reps A, B, C",23,4,conductivity_uSpercm,9.62
NaCl,0.1,"Average of Reps A, B, C",23,4,Ca_ppm,0.1
NaCl,0.1,"Average of Reps A, B, C",23,4,doc_mgperL,9.92
NaCl,0.1,"Average of Reps A, B, C",23,5,conductivity_uSpercm,8.61
NaCl,0.1,"Average of Reps A, B, C",23,5,Ca_ppm,0
NaCl,0.1,"Average of Reps A, B, C",23,5,doc_mgperL,7.2
NaCl,0.1,"Average of Reps A, B, C",23,6,conductivity_uSpercm,7.61
NaCl,0.1,"Average of Reps A, B, C",23,6,Ca_ppm,0
NaCl,0.1,"Average of Reps A, B, C",23,6,doc_mgperL,6.44
NaCl,1,"Average of Reps A, B, C",24,0,conductivity_uSpercm,728.2
NaCl,1,"Average of Reps A, B, C",24,0,Ca_ppm,0
NaCl,1,"Average of Reps A, B, C",24,0,doc_mgperL,0
NaCl,1,"Average of Reps A, B, C",24,1,conductivity_uSpercm,895.47
NaCl,1,"Average of Reps A, B, C",24,1,Ca_ppm,4.06
NaCl,1,"Average of Reps A, B, C",24,1,doc_mgperL,5.12
NaCl,1,"Average of Reps A, B, C",24,2,conductivity_uSpercm,78.09
NaCl,1,"Average of Reps A, B, C",24,2,Ca_ppm,0.11
NaCl,1,"Average of Reps A, B, C",24,2,doc_mgperL,19.89
NaCl,1,"Average of Reps A, B, C",24,3,conductivity_uSpercm,21.47
NaCl,1,"Average of Reps A, B, C",24,3,Ca_ppm,0.18
NaCl,1,"Average of Reps A, B, C",24,3,doc_mgperL,18.98
NaCl,1,"Average of Reps A, B, C",24,4,conductivity_uSpercm,14.79
NaCl,1,"Average of Reps A, B, C",24,4,Ca_ppm,0.12
NaCl,1,"Average of Reps A, B, C",24,4,doc_mgperL,14.18
NaCl,1,"Average of Reps A, B, C",24,5,conductivity_uSpercm,13.31
NaCl,1,"Average of Reps A, B, C",24,5,Ca_ppm,0
NaCl,1,"Average of Reps A, B, C",24,5,doc_mgperL,11.36
NaCl,1,"Average of Reps A, B, C",24,6,conductivity_uSpercm,12.76
NaCl,1,"Average of Reps A, B, C",24,6,Ca_ppm,0
NaCl,1,"Average of Reps A, B, C",24,6,doc_mgperL,9.61
NaCl,5,"Average of Reps A, B, C",25,0,conductivity_uSpercm,3425
NaCl,5,"Average of Reps A, B, C",25,0,Ca_ppm,0
NaCl,5,"Average of Reps A, B, C",25,0,doc_mgperL,0
NaCl,5,"Average of Reps A, B, C",25,1,conductivity_uSpercm,4133.33
NaCl,5,"Average of Reps A, B, C",25,1,Ca_ppm,12.79
NaCl,5,"Average of Reps A, B, C",25,1,doc_mgperL,5.35
NaCl,5,"Average of Reps A, B, C",25,2,conductivity_uSpercm,326.07
NaCl,5,"Average of Reps A, B, C",25,2,Ca_ppm,0.18
NaCl,5,"Average of Reps A, B, C",25,2,doc_mgperL,22.04
NaCl,5,"Average of Reps A, B, C",25,3,conductivity_uSpercm,43.01
NaCl,5,"Average of Reps A, B, C",25,3,Ca_ppm,0.27
NaCl,5,"Average of Reps A, B, C",25,3,doc_mgperL,28.81
NaCl,5,"Average of Reps A, B, C",25,4,conductivity_uSpercm,23.43
NaCl,5,"Average of Reps A, B, C",25,4,Ca_ppm,0.2
NaCl,5,"Average of Reps A, B, C",25,4,doc_mgperL,21.31
NaCl,5,"Average of Reps A, B, C",25,5,conductivity_uSpercm,19.94
NaCl,5,"Average of Reps A, B, C",25,5,Ca_ppm,0
NaCl,5,"Average of Reps A, B, C",25,5,doc_mgperL,13.97
NaCl,5,"Average of Reps A, B, C",25,6,conductivity_uSpercm,17.62
NaCl,5,"Average of Reps A, B, C",25,6,Ca_ppm,0
NaCl,5,"Average of Reps A, B, C",25,6,doc_mgperL,11.94
NaCl,25,"Average of Reps A, B, C",26,0,conductivity_uSpercm,15580
NaCl,25,"Average of Reps A, B, C",26,0,Ca_ppm,0
NaCl,25,"Average of Reps A, B, C",26,0,doc_mgperL,0
NaCl,25,"Average of Reps A, B, C",26,1,conductivity_uSpercm,18566.67
NaCl,25,"Average of Reps A, B, C",26,1,Ca_ppm,25.45
NaCl,25,"Average of Reps A, B, C",26,1,doc_mgperL,5.81
NaCl,25,"Average of Reps A, B, C",26,2,conductivity_uSpercm,1570
NaCl,25,"Average of Reps A, B, C",26,2,Ca_ppm,0.04
NaCl,25,"Average of Reps A, B, C",26,2,doc_mgperL,14.25
NaCl,25,"Average of Reps A, B, C",26,3,conductivity_uSpercm,127.83
NaCl,25,"Average of Reps A, B, C",26,3,Ca_ppm,0.15
NaCl,25,"Average of Reps A, B, C",26,3,doc_mgperL,45.76
NaCl,25,"Average of Reps A, B, C",26,4,conductivity_uSpercm,34.81
NaCl,25,"Average of Reps A, B, C",26,4,Ca_ppm,0
NaCl,25,"Average of Reps A, B, C",26,4,doc_mgperL,30.53
NaCl,25,"Average of Reps A, B, C",26,5,conductivity_uSpercm,25.66
NaCl,25,"Average of Reps A, B, C",26,5,Ca_ppm,0
NaCl,25,"Average of Reps A, B, C",26,5,doc_mgperL,22.59
NaCl,25,"Average of Reps A, B, C",26,6,conductivity_uSpercm,22.92
NaCl,25,"Average of Reps A, B, C",26,6,Ca_ppm,0
NaCl,25,"Average of Reps A, B, C",26,6,doc_mgperL,15.92
NaCl,100,"Average of Reps A, B, C",27,0,conductivity_uSpercm,70150
NaCl,100,"Average of Reps A, B, C",27,0,Ca_ppm,0
NaCl,100,"Average of Reps A, B, C",27,0,doc_mgperL,0
NaCl,100,"Average of Reps A, B, C",27,1,conductivity_uSpercm,63480
NaCl,100,"Average of Reps A, B, C",27,1,Ca_ppm,35.44
NaCl,100,"Average of Reps A, B, C",27,1,doc_mgperL,9.31
NaCl,100,"Average of Reps A, B, C",27,2,conductivity_uSpercm,5982
NaCl,100,"Average of Reps A, B, C",27,2,Ca_ppm,0.27
NaCl,100,"Average of Reps A, B, C",27,2,doc_mgperL,7.57
NaCl,100,"Average of Reps A, B, C",27,3,conductivity_uSpercm,460.23
NaCl,100,"Average of Reps A, B, C",27,3,Ca_ppm,0
NaCl,100,"Average of Reps A, B, C",27,3,doc_mgperL,55.74
NaCl,100,"Average of Reps A, B, C",27,4,conductivity_uSpercm,63.71
NaCl,100,"Average of Reps A, B, C",27,4,Ca_ppm,0
NaCl,100,"Average of Reps A, B, C",27,4,doc_mgperL,46.37
NaCl,100,"Average of Reps A, B, C",27,5,conductivity_uSpercm,32.66
NaCl,100,"Average of Reps A, B, C",27,5,Ca_ppm,0
NaCl,100,"Average of Reps A, B, C",27,5,doc_mgperL,27.43
NaCl,100,"Average of Reps A, B, C",27,6,conductivity_uSpercm,26.1
NaCl,100,"Average of Reps A, B, C",27,6,Ca_ppm,0
NaCl,100,"Average of Reps A, B, C",27,6,doc_mgperL,19.36
ColEx,ASW,S10,17,0,conductivity_uSpercm,13240
ColEx,ASW,S10,17,0,Ca_ppm,43.76
ColEx,ASW,S10,17,0,doc_mgperL,0
ColEx,ASW,S10,17,1,conductivity_uSpercm,10060
ColEx,ASW,S10,17,1,Ca_ppm,48.31
ColEx,ASW,S10,17,1,doc_mgperL,21.84
ColEx,ASW,S10,17,2,conductivity_uSpercm,5092
ColEx,ASW,S10,17,2,Ca_ppm,34.77
ColEx,ASW,S10,17,2,doc_mgperL,18.12
ColEx,ASW,S10,17,3,conductivity_uSpercm,2741
ColEx,ASW,S10,17,3,Ca_ppm,18.96
ColEx,ASW,S10,17,3,doc_mgperL,12.06
ColEx,ASW,S10,17,4,conductivity_uSpercm,1204
ColEx,ASW,S10,17,4,Ca_ppm,6.56
ColEx,ASW,S10,17,4,doc_mgperL,6.6
ColEx,ASW,S10,17,5,conductivity_uSpercm,1248
ColEx,ASW,S10,17,5,Ca_ppm,6.52
ColEx,ASW,S10,17,5,doc_mgperL,9.16
ColEx,ASW,S10,17,6,conductivity_uSpercm,409.5
ColEx,ASW,S10,17,6,Ca_ppm,1.56
ColEx,ASW,S10,17,6,doc_mgperL,6.4
ColEx,ASW,S10,17,7,conductivity_uSpercm,337
ColEx,ASW,S10,17,7,Ca_ppm,1.15
ColEx,ASW,S10,17,7,doc_mgperL,8.74
ColEx,ASW,S10,17,8,conductivity_uSpercm,224.2
ColEx,ASW,S10,17,8,Ca_ppm,0.72
ColEx,ASW,S10,17,8,doc_mgperL,12.65
ColEx,ASW,S10,17,9,conductivity_uSpercm,144.3
ColEx,ASW,S10,17,9,Ca_ppm,0.52
ColEx,ASW,S10,17,9,doc_mgperL,17.53
ColEx,ASW,S10,17,10,conductivity_uSpercm,132.7
ColEx,ASW,S10,17,10,Ca_ppm,0.29
ColEx,ASW,S10,17,10,doc_mgperL,33.33
ColEx,ASW,S10,17,11,conductivity_uSpercm,70.9
ColEx,ASW,S10,17,11,Ca_ppm,0.19
ColEx,ASW,S10,17,11,doc_mgperL,40.12
ColEx,ASW,S10,17,12,conductivity_uSpercm,51.04
ColEx,ASW,S10,17,12,Ca_ppm,0.17
ColEx,ASW,S10,17,12,doc_mgperL,41.86
ColEx,ASW,S2,18,0,conductivity_uSpercm,13240
ColEx,ASW,S2,18,0,Ca_ppm,43.76
ColEx,ASW,S2,18,0,doc_mgperL,0
ColEx,ASW,S2,18,1,conductivity_uSpercm,10102
ColEx,ASW,S2,18,1,Ca_ppm,45.16
ColEx,ASW,S2,18,1,doc_mgperL,24.09
ColEx,ASW,S2,18,2,conductivity_uSpercm,5015
ColEx,ASW,S2,18,2,Ca_ppm,22.25
ColEx,ASW,S2,18,2,doc_mgperL,23.04
ColEx,ASW,S2,18,3,conductivity_uSpercm,2572
ColEx,ASW,S2,18,3,Ca_ppm,10.13
ColEx,ASW,S2,18,3,doc_mgperL,19.47
ColEx,ASW,S2,18,4,conductivity_uSpercm,1570
ColEx,ASW,S2,18,4,Ca_ppm,5.68
ColEx,ASW,S2,18,4,doc_mgperL,19.58
ColEx,ASW,S2,18,5,conductivity_uSpercm,972.6
ColEx,ASW,S2,18,5,Ca_ppm,2.89
ColEx,ASW,S2,18,5,doc_mgperL,15.38
ColEx,ASW,S2,18,6,conductivity_uSpercm,514.3
ColEx,ASW,S2,18,6,Ca_ppm,1.2
ColEx,ASW,S2,18,6,doc_mgperL,19
ColEx,ASW,S2,18,7,conductivity_uSpercm,296.1
ColEx,ASW,S2,18,7,Ca_ppm,0.61
ColEx,ASW,S2,18,7,doc_mgperL,23.29
ColEx,ASW,S2,18,8,conductivity_uSpercm,176.2
ColEx,ASW,S2,18,8,Ca_ppm,0.34
ColEx,ASW,S2,18,8,doc_mgperL,27.77
ColEx,ASW,S2,18,9,conductivity_uSpercm,131.4
ColEx,ASW,S2,18,9,Ca_ppm,0.29
ColEx,ASW,S2,18,9,doc_mgperL,36.7
ColEx,ASW,S2,18,10,conductivity_uSpercm,80.8
ColEx,ASW,S2,18,10,Ca_ppm,0.16
ColEx,ASW,S2,18,10,doc_mgperL,50.25
ColEx,ASW,S2,18,11,conductivity_uSpercm,55.25
ColEx,ASW,S2,18,11,Ca_ppm,0.15
ColEx,ASW,S2,18,11,doc_mgperL,54.76
ColEx,ASW,S2,18,12,conductivity_uSpercm,49.13
ColEx,ASW,S2,18,12,Ca_ppm,0.24
ColEx,ASW,S2,18,12,doc_mgperL,55.35
ColEx,ASW,S4,19,0,conductivity_uSpercm,13240
ColEx,ASW,S4,19,0,Ca_ppm,43.76
ColEx,ASW,S4,19,0,doc_mgperL,0
ColEx,ASW,S4,19,1,conductivity_uSpercm,10220
ColEx,ASW,S4,19,1,Ca_ppm,51.44
ColEx,ASW,S4,19,1,doc_mgperL,75.88
ColEx,ASW,S4,19,2,conductivity_uSpercm,4438
ColEx,ASW,S4,19,2,Ca_ppm,27.18
ColEx,ASW,S4,19,2,doc_mgperL,39.19
ColEx,ASW,S4,19,3,conductivity_uSpercm,2851
ColEx,ASW,S4,19,3,Ca_ppm,15.96
ColEx,ASW,S4,19,3,doc_mgperL,24.33
ColEx,ASW,S4,19,4,conductivity_uSpercm,1682
ColEx,ASW,S4,19,4,Ca_ppm,7.46
ColEx,ASW,S4,19,4,doc_mgperL,18.46
ColEx,ASW,S4,19,5,conductivity_uSpercm,997.5
ColEx,ASW,S4,19,5,Ca_ppm,3.52
ColEx,ASW,S4,19,5,doc_mgperL,15.62
ColEx,ASW,S4,19,6,conductivity_uSpercm,712.4
ColEx,ASW,S4,19,6,Ca_ppm,1.93
ColEx,ASW,S4,19,6,doc_mgperL,23.85
ColEx,ASW,S4,19,7,conductivity_uSpercm,311
ColEx,ASW,S4,19,7,Ca_ppm,0.66
ColEx,ASW,S4,19,7,doc_mgperL,33.79
ColEx,ASW,S4,19,8,conductivity_uSpercm,156.5
ColEx,ASW,S4,19,8,Ca_ppm,0.29
ColEx,ASW,S4,19,8,doc_mgperL,52.01
ColEx,ASW,S4,19,9,conductivity_uSpercm,90.27
ColEx,ASW,S4,19,9,Ca_ppm,0.33
ColEx,ASW,S4,19,9,doc_mgperL,59.76
ColEx,ASW,S4,19,10,conductivity_uSpercm,72.59
ColEx,ASW,S4,19,10,Ca_ppm,0.19
ColEx,ASW,S4,19,10,doc_mgperL,69.77
ColEx,ASW,S4,19,11,conductivity_uSpercm,59.26
ColEx,ASW,S4,19,11,Ca_ppm,0.22
ColEx,ASW,S4,19,11,doc_mgperL,70.83
ColEx,ASW,S4,19,12,conductivity_uSpercm,51.23
ColEx,ASW,S4,19,12,Ca_ppm,0.18
ColEx,ASW,S4,19,12,doc_mgperL,64.66
ColEx,ASW,S6,20,0,conductivity_uSpercm,13240
ColEx,ASW,S6,20,0,Ca_ppm,43.76
ColEx,ASW,S6,20,0,doc_mgperL,0
ColEx,ASW,S6,20,1,conductivity_uSpercm,9434
ColEx,ASW,S6,20,1,Ca_ppm,38.84
ColEx,ASW,S6,20,1,doc_mgperL,8
ColEx,ASW,S6,20,2,conductivity_uSpercm,5542
ColEx,ASW,S6,20,2,Ca_ppm,21.46
ColEx,ASW,S6,20,2,doc_mgperL,11.5
ColEx,ASW,S6,20,3,conductivity_uSpercm,2938
ColEx,ASW,S6,20,3,Ca_ppm,10.36
ColEx,ASW,S6,20,3,doc_mgperL,9.02
ColEx,ASW,S6,20,4,conductivity_uSpercm,1628
ColEx,ASW,S6,20,4,Ca_ppm,5.13
ColEx,ASW,S6,20,4,doc_mgperL,7.17
ColEx,ASW,S6,20,5,conductivity_uSpercm,1111
ColEx,ASW,S6,20,5,Ca_ppm,3.15
ColEx,ASW,S6,20,5,doc_mgperL,7.74
ColEx,ASW,S6,20,6,conductivity_uSpercm,593.8
ColEx,ASW,S6,20,6,Ca_ppm,1.34
ColEx,ASW,S6,20,6,doc_mgperL,10.3
ColEx,ASW,S6,20,7,conductivity_uSpercm,368.9
ColEx,ASW,S6,20,7,Ca_ppm,0.76
ColEx,ASW,S6,20,7,doc_mgperL,15.65
ColEx,ASW,S6,20,8,conductivity_uSpercm,199
ColEx,ASW,S6,20,8,Ca_ppm,0.39
ColEx,ASW,S6,20,8,doc_mgperL,19.97
ColEx,ASW,S6,20,9,conductivity_uSpercm,134.6
ColEx,ASW,S6,20,9,Ca_ppm,0.3
ColEx,ASW,S6,20,9,doc_mgperL,21.95
ColEx,ASW,S6,20,10,conductivity_uSpercm,95.47
ColEx,ASW,S6,20,10,Ca_ppm,0.15
ColEx,ASW,S6,20,10,doc_mgperL,23.85
ColEx,ASW,S6,20,11,conductivity_uSpercm,62.16
ColEx,ASW,S6,20,11,Ca_ppm,0.16
ColEx,ASW,S6,20,11,doc_mgperL,28.97
ColEx,ASW,S6,20,12,conductivity_uSpercm,49.11
ColEx,ASW,S6,20,12,Ca_ppm,0.12
ColEx,ASW,S6,20,12,doc_mgperL,31.55
ColEx,ASW,S7,21,0,conductivity_uSpercm,13240
ColEx,ASW,S7,21,0,Ca_ppm,43.76
ColEx,ASW,S7,21,0,doc_mgperL,0
ColEx,ASW,S7,21,1,conductivity_uSpercm,9114
ColEx,ASW,S7,21,1,Ca_ppm,65.48
ColEx,ASW,S7,21,1,doc_mgperL,31.46
ColEx,ASW,S7,21,2,conductivity_uSpercm,7349
ColEx,ASW,S7,21,2,Ca_ppm,46.33
