Exp_Type,Treatment,Column,treatment_id,Timepoint,analyte,value
ASW,0,"Average of Reps A, B, C",1,0,conductivity_uSpercm,0.05
ASW,0,"Average of Reps A, B, C",1,0,Ca_ppm,0.1
ASW,0,"Average of Reps A, B, C",1,0,doc_mgperL,0
ASW,0,"Average of Reps A, B, C",1,1,conductivity_uSpercm,19.01
ASW,0,"Average of Reps A, B, C",1,1,Ca_ppm,2.29
ASW,0,"Average of Reps A, B, C",1,1,doc_mgperL,18.45
ASW,0,"Average of Reps A, B, C",1,2,conductivity_uSpercm,12.36
ASW,0,"Average of Reps A, B, C",1,2,Ca_ppm,0.53
ASW,0,"Average of Reps A, B, C",1,2,doc_mgperL,15.18
ASW,0,"Average of Reps A, B, C",1,3,conductivity_uSpercm,9.24
ASW,0,"Average of Reps A, B, C",1,3,Ca_ppm,0.54
ASW,0,"Average of Reps A, B, C",1,3,doc_mgperL,12.67
ASW,0,"Average of Reps A, B, C",1,4,conductivity_uSpercm,7.28
ASW,0,"Average of Reps A, B, C",1,4,Ca_ppm,0.2
ASW,0,"Average of Reps A, B, C",1,4,doc_mgperL,7.95
ASW,0,"Average of Reps A, B, C",1,5,conductivity_uSpercm,6.96
ASW,0,"Average of Reps A, B, C",1,5,Ca_ppm,0.2
ASW,0,"Average of Reps A, B, C",1,5,doc_mgperL,7.65
ASW,0,"Average of Reps A, B, C",1,6,conductivity_uSpercm,6.52
ASW,0,"Average of Reps A, B, C",1,6,Ca_ppm,0.2
ASW,0,"Average of Reps A, B, C",1,6,doc_mgperL,7.04
ASW,0.1,"Average of Reps A, B, C",2,0,conductivity_uSpercm,80.27
ASW,0.1,"Average of Reps A, B, C",2,0,Ca_ppm,0.2
ASW,0.1,"Average of Reps A, B, C",2,0,doc_mgperL,0
ASW,0.1,"Average of Reps A, B, C",2,1,conductivity_uSpercm,90.74
ASW,0.1,"Average of Reps A, B, C",2,1,Ca_ppm,3.05
ASW,0.1,"Average of Reps A, B, C",2,1,doc_mgperL,11.91
ASW,0.1,"Average of Reps A, B, C",2,2,conductivity_uSpercm,16.15
ASW,0.1,"Average of Reps A, B, C",2,2,Ca_ppm,0.53
ASW,0.1,"Average of Reps A, B, C",2,2,doc_mgperL,17.9
ASW,0.1,"Average of Reps A, B, C",2,3,conductivity_uSpercm,10.03
ASW,0.1,"Average of Reps A, B, C",2,3,Ca_ppm,0.22
ASW,0.1,"Average of Reps A, B, C",2,3,doc_mgperL,16.14
ASW,0.1,"Average of Reps A, B, C",2,4,conductivity_uSpercm,7.69
ASW,0.1,"Average of Reps A, B, C",2,4,Ca_ppm,0.2
ASW,0.1,"Average of Reps A, B, C",2,4,doc_mgperL,9.46
ASW,0.1,"Average of Reps A, B, C",2,5,conductivity_uSpercm,7.19
ASW,0.1,"Average of Reps A, B, C",2,5,Ca_ppm,0.2
ASW,0.1,"Average of Reps A, B, C",2,5,doc_mgperL,7.95
ASW,0.1,"Average of Reps A, B, C",2,6,conductivity_uSpercm,6.84
ASW,0.1,"Average of Reps A, B, C",2,6,Ca_ppm,0.2
ASW,0.1,"Average of Reps A, B, C",2,6,doc_mgperL,7.08
ASW,1,"Average of Reps A, B, C",3,0,conductivity_uSpercm,784.5
ASW,1,"Average of Reps A, B, C",3,0,Ca_ppm,2.1
ASW,1,"Average of Reps A, B, C",3,0,doc_mgperL,0
ASW,1,"Average of Reps A, B, C",3,1,conductivity_uSpercm,782.8
ASW,1,"Average of Reps A, B, C",3,1,Ca_ppm,9.59
ASW,1,"Average of Reps A, B, C",3,1,doc_mgperL,5.87
ASW,1,"Average of Reps A, B, C",3,2,conductivity_uSpercm,69.61
ASW,1,"Average of Reps A, B, C",3,2,Ca_ppm,0.53
ASW,1,"Average of Reps A, B, C",3,2,doc_mgperL,16.82
ASW,1,"Average of Reps A, B, C",3,3,conductivity_uSpercm,17.44
ASW,1,"Average of Reps A, B, C",3,3,Ca_ppm,0.23
ASW,1,"Average of Reps A, B, C",3,3,doc_mgperL,23.36
ASW,1,"Average of Reps A, B, C",3,4,conductivity_uSpercm,11.2
ASW,1,"Average of Reps A, B, C",3,4,Ca_ppm,0.2
ASW,1,"Average of Reps A, B, C",3,4,doc_mgperL,13.29
ASW,1,"Average of Reps A, B, C",3,5,conductivity_uSpercm,9.55
ASW,1,"Average of Reps A, B, C",3,5,Ca_ppm,0.2
ASW,1,"Average of Reps A, B, C",3,5,doc_mgperL,10.27
ASW,1,"Average of Reps A, B, C",3,6,conductivity_uSpercm,8.86
ASW,1,"Average of Reps A, B, C",3,6,Ca_ppm,0.19
ASW,1,"Average of Reps A, B, C",3,6,doc_mgperL,7.53
ASW,5,"Average of Reps A, B, C",4,0,conductivity_uSpercm,2899
ASW,5,"Average of Reps A, B, C",4,0,Ca_ppm,10.7
ASW,5,"Average of Reps A, B, C",4,0,doc_mgperL,0
ASW,5,"Average of Reps A, B, C",4,1,conductivity_uSpercm,2837
ASW,5,"Average of Reps A, B, C",4,1,Ca_ppm,24.24
ASW,5,"Average of Reps A, B, C",4,1,doc_mgperL,5.6
ASW,5,"Average of Reps A, B, C",4,2,conductivity_uSpercm,214.47
ASW,5,"Average of Reps A, B, C",4,2,Ca_ppm,0.76
ASW,5,"Average of Reps A, B, C",4,2,doc_mgperL,13.43
ASW,5,"Average of Reps A, B, C",4,3,conductivity_uSpercm,30.14
ASW,5,"Average of Reps A, B, C",4,3,Ca_ppm,0.56
ASW,5,"Average of Reps A, B, C",4,3,doc_mgperL,28.02
ASW,5,"Average of Reps A, B, C",4,4,conductivity_uSpercm,15.06
ASW,5,"Average of Reps A, B, C",4,4,Ca_ppm,0.21
ASW,5,"Average of Reps A, B, C",4,4,doc_mgperL,16.99
ASW,5,"Average of Reps A, B, C",4,5,conductivity_uSpercm,12.64
ASW,5,"Average of Reps A, B, C",4,5,Ca_ppm,0.2
ASW,5,"Average of Reps A, B, C",4,5,doc_mgperL,12.35
ASW,5,"Average of Reps A, B, C",4,6,conductivity_uSpercm,11.37
ASW,5,"Average of Reps A, B, C",4,6,Ca_ppm,0.19
ASW,5,"Average of Reps A, B, C",4,6,doc_mgperL,8.53
ASW,25,"Average of Reps A, B, C",5,0,conductivity_uSpercm,16140
ASW,25,"Average of Reps A, B, C",5,0,Ca_ppm,53.4
ASW,25,"Average of Reps A, B, C",5,0,doc_mgperL,0
ASW,25,"Average of Reps A, B, C",5,1,conductivity_uSpercm,15746.67
ASW,25,"Average of Reps A, B, C",5,1,Ca_ppm,78.99
ASW,25,"Average of Reps A, B, C",5,1,doc_mgperL,7.12
ASW,25,"Average of Reps A, B, C",5,2,conductivity_uSpercm,1481.33
ASW,25,"Average of Reps A, B, C",5,2,Ca_ppm,4.61
ASW,25,"Average of Reps A, B, C",5,2,doc_mgperL,3.96
ASW,25,"Average of Reps A, B, C",5,3,conductivity_uSpercm,111
ASW,25,"Average of Reps A, B, C",5,3,Ca_ppm,0.54
ASW,25,"Average of Reps A, B, C",5,3,doc_mgperL,31.24
ASW,25,"Average of Reps A, B, C",5,4,conductivity_uSpercm,29.15
ASW,25,"Average of Reps A, B, C",5,4,Ca_ppm,0.21
ASW,25,"Average of Reps A, B, C",5,4,doc_mgperL,26.43
ASW,25,"Average of Reps A, B, C",5,5,conductivity_uSpercm,19.32
ASW,25,"Average of Reps A, B, C",5,5,Ca_ppm,0.2
ASW,25,"Average of Reps A, B, C",5,5,doc_mgperL,17.83
ASW,25,"Average of Reps A, B, C",5,6,conductivity_uSpercm,16.56
ASW,25,"Average of Reps A, B, C",5,6,Ca_ppm,0.2
ASW,25,"Average of Reps A, B, C",5,6,doc_mgperL,11.77
ASW,100,"Average of Reps A, B, C",6,0,conductivity_uSpercm,56350
ASW,100,"Average of Reps A, B, C",6,0,Ca_ppm,213.6
ASW,100,"Average of Reps A, B, C",6,0,doc_mgperL,0
ASW,100,"Average of Reps A, B, C",6,1,conductivity_uSpercm,55180
ASW,100,"Average of Reps A, B, C",6,1,Ca_ppm,240.3
ASW,100,"Average of Reps A, B, C",6,1,doc_mgperL,8.29
ASW,100,"Average of Reps A, B, C",6,2,conductivity_uSpercm,5673
ASW,100,"Average of Reps A, B, C",6,2,Ca_ppm,14.38
ASW,100,"Average of Reps A, B, C",6,2,doc_mgperL,3.76
ASW,100,"Average of Reps A, B, C",6,3,conductivity_uSpercm,428.43
ASW,100,"Average of Reps A, B, C",6,3,Ca_ppm,0.53
ASW,100,"Average of Reps A, B, C",6,3,doc_mgperL,27.83
ASW,100,"Average of Reps A, B, C",6,4,conductivity_uSpercm,55.31
ASW,100,"Average of Reps A, B, C",6,4,Ca_ppm,0.43
ASW,100,"Average of Reps A, B, C",6,4,doc_mgperL,29.61
ASW,100,"Average of Reps A, B, C",6,5,conductivity_uSpercm,29.67
ASW,100,"Average of Reps A, B, C",6,5,Ca_ppm,0.19
ASW,100,"Average of Reps A, B, C",6,5,doc_mgperL,20.56
ASW,100,"Average of Reps A, B, C",6,6,conductivity_uSpercm,23.84
ASW,100,"Average of Reps A, B, C",6,6,Ca_ppm,0.19
ASW,100,"Average of Reps A, B, C",6,6,doc_mgperL,14.63
NaCl,0,"Average of Reps A, B, C",22,0,conductivity_uSpercm,1.021
NaCl,0,"Average of Reps A, B, C",22,0,Ca_ppm,0
NaCl,0,"Average of Reps A, B, C",22,0,doc_mgperL,0
NaCl,0,"Average of Reps A, B, C",22,1,conductivity_uSpercm,19.4
NaCl,0,"Average of Reps A, B, C",22,1,Ca_ppm,0.13
NaCl,0,"Average of Reps A, B, C",22,1,doc_mgperL,18.04
NaCl,0,"Average of Reps A, B, C",22,2,conductivity_uSpercm,11.53
NaCl,0,"Average of Reps A, B, C",22,2,Ca_ppm,0
NaCl,0,"Average of Reps A, B, C",22,2,doc_mgperL,13.08
NaCl,0,"Average of Reps A, B, C",22,3,conductivity_uSpercm,11.95
NaCl,0,"Average of Reps A, B, C",22,3,Ca_ppm,0
NaCl,0,"Average of Reps A, B, C",22,3,doc_mgperL,9.2
NaCl,0,"Average of Reps A, B, C",22,4,conductivity_uSpercm,10.7
NaCl,0,"Average of Reps A, B, C",22,4,Ca_ppm,0
NaCl,0,"Average of Reps A, B, C",22,4,doc_mgperL,8.25
NaCl,0,"Average of Reps A, B, C",22,5,conductivity_uSpercm,14.86
NaCl,0,"Average of Reps A, B, C",22,5,Ca_ppm,0
NaCl,0,"Average of Reps A, B, C",22,5,doc_mgperL,7.11
NaCl,0,"Average of Reps A, B, C",22,6,conductivity_uSpercm,6.9
NaCl,0,"Average of Reps A, B, C",22,6,Ca_ppm,0
NaCl,0,"Average of Reps A, B, C",22,6,doc_mgperL,7
NaCl,0.1,"Average of Reps A, B, C",23,0,conductivity_uSpercm,91.7
