group,total_var,mean_var,peak_var,peak_timepoint,rel_importance
Electrostatic Dispersion,203.49241517447211,16.95770126453934,39.30382590178714,9,100
Cation Bridging,32.640083737505634,2.720006978125469,13.971466724187577,6,40.04990764899663
van der Waals,15.219761738280502,1.2683134781900418,6.732061590726061,6,27.34826715504101
