simulation_id,Timepoint,analyte,upper_ci,lower_ci,value,Exp_Type,Treatment
1,1,Ca_ppm,0.24748089162754494,0.1644298607013768,0.2143561455847201,ASW,0
1,1,conductivity_uSpercm,14.079921004550911,10.017523251491907,12.653705599599936,ASW,0
1,1,doc_mgperL,9.781485886444017,7.357257946704115,8.64600608613885,ASW,0
1,2,Ca_ppm,0.22803428751902735,0.19392153775445756,0.21192262996516953,ASW,0
1,2,conductivity_uSpercm,7.254631465361288,6.147095736525286,6.863554902642965,ASW,0
1,2,doc_mgperL,8.979546400595428,7.216416464735344,8.244967062959208,ASW,0
1,3,Ca_ppm,0.22833961293792954,0.19235801636578323,0.2128329905496712,ASW,0
1,3,conductivity_uSpercm,6.83512853494667,5.606598862266801,6.380681362224023,ASW,0
1,3,doc_mgperL,8.502152859433133,7.094438080150173,7.924377520556973,ASW,0
1,4,Ca_ppm,0.2284722571265724,0.19204042630688029,0.2129135085757144,ASW,0
1,4,conductivity_uSpercm,6.800844327582923,5.543008080103371,6.331924947010071,ASW,0
1,4,doc_mgperL,8.289371453149421,6.835835255229126,7.7126138121019245,ASW,0
1,5,Ca_ppm,0.22848853137237976,0.19201291452531818,0.2129059573269407,ASW,0
1,5,conductivity_uSpercm,6.798099370757261,5.537479201367606,6.3277355479394934,ASW,0
1,5,doc_mgperL,8.115446050387757,6.650842472788049,7.571269750006789,ASW,0
1,6,Ca_ppm,0.2284897500454695,0.1920105313272378,0.21290527395318876,ASW,0
1,6,conductivity_uSpercm,6.797879573439542,5.536998461237647,6.327385963513601,ASW,0
1,6,doc_mgperL,8.081729558739486,6.5387015557231685,7.474539060098765,ASW,0
2,1,Ca_ppm,1.7154738963798024,1.2703730135959783,1.5390381551221135,ASW,0.1
2,1,conductivity_uSpercm,94.29992100455091,90.23752325149191,92.87370559959993,ASW,0.1
2,1,doc_mgperL,15.33640483199664,9.762713393242642,13.2219435656876,ASW,0.1
2,2,Ca_ppm,0.331195307485364,0.2711917385864036,0.3060496360221041,ASW,0.1
2,2,conductivity_uSpercm,19.39753192523796,18.169408037648488,18.838648670802336,ASW,0.1
2,2,doc_mgperL,17.800486312265893,14.026326629366732,16.304685536290243,ASW,0.1
2,3,Ca_ppm,0.23587732152813629,0.20013810341189497,0.2190569891685759,ASW,0.1
2,3,conductivity_uSpercm,13.103292132353737,12.140337275198569,12.682201463903665,ASW,0.1
