group,Timepoint,Q10,Q25,Q50,Q75,Q90,IQR,var
"Baseline
(all medians)",1,7.295061373054377,7.295061373054377,7.295061373054377,7.295061373054377,7.295061373054377,0,NA
"Baseline
(all medians)",2,7.295061373054896,7.295061373054896,7.295061373054896,7.295061373054896,7.295061373054896,0,NA
"Baseline
(all medians)",3,7.295071032019737,7.295071032019737,7.295071032019737,7.295071032019737,7.295071032019737,0,NA
"Baseline
(all medians)",4,7.3264348674727575,7.3264348674727575,7.3264348674727575,7.3264348674727575,7.3264348674727575,0,NA
"Baseline
(all medians)",5,8.827606463938391,8.827606463938391,8.827606463938391,8.827606463938391,8.827606463938391,0,NA
"Baseline
(all medians)",6,16.091551740321805,16.091551740321805,16.091551740321805,16.091551740321805,16.091551740321805,0,NA
"Baseline
(all medians)",7,24.629108356273637,24.629108356273637,24.629108356273637,24.629108356273637,24.629108356273637,0,NA
"Baseline
(all medians)",8,29.14600304147414,29.14600304147414,29.14600304147414,29.14600304147414,29.14600304147414,0,NA
"Baseline
(all medians)",9,30.389743220292985,30.389743220292985,30.389743220292985,30.389743220292985,30.389743220292985,0,NA
"Baseline
(all medians)",10,29.94006379937998,29.94006379937998,29.94006379937998,29.94006379937998,29.94006379937998,0,NA
"Baseline
(all medians)",11,28.7353164752175,28.7353164752175,28.7353164752175,28.7353164752175,28.7353164752175,0,NA
"Baseline
(all medians)",12,27.24363018997089,27.24363018997089,27.24363018997089,27.24363018997089,27.24363018997089,0,NA
Cation Bridging,1,7.295061373054377,7.295061373054377,7.295061373054377,7.295061373054377,7.295061373054377,0,8.353356705856582e-12
Cation Bridging,2,7.295061373054377,7.295061373054377,7.295061373054676,7.295061373190228,7.295061401736737,1.3585044200681295e-10,3.915235490026214e-6
Cation Bridging,3,7.295061390283929,7.295061730369339,7.295068824132264,7.2951971184381295,7.29677868317018,1.353880687906539e-4,0.00533339130677587
Cation Bridging,4,7.296572147482454,7.3015239527505855,7.322766442730245,7.406249836863173,7.668499243993874,0.10472588411258776,0.32192613306279977
Cation Bridging,5,7.649397993781811,8.012562541501984,8.739410218319758,10.076901522095799,12.13485232175105,2.0643389805938153,4.708085212461037
Cation Bridging,6,11.819155840340365,13.567333894544722,15.86709103731621,18.635289997363746,21.50268088891025,5.067956102819023,13.971466724187577
Cation Bridging,7,20.333347648412005,22.324410722388116,24.443961306281626,26.52829703935248,28.329939678666573,4.203886316964365,9.256585953254039
Cation Bridging,8,26.47103137411051,27.778989644072787,29.041635212724103,30.161865777366963,31.025387328516803,2.3828761332941752,3.0729946386103486
Cation Bridging,9,28.871240512101274,29.641986732305487,30.33516209146795,30.89211799772641,31.248554352170224,1.2501312654209222,0.8736654795968956
Cation Bridging,10,29.039210577870545,29.514501913116096,29.904787845116445,30.178050092262787,30.297127613519145,0.6635481791466908,0.27109529739346716
Cation Bridging,11,28.13601419636548,28.462447366400283,28.701486037135158,28.847133669007352,28.879828801734263,0.3846863026070686,0.1052180450349872
Cation Bridging,12,26.805552607277278,27.046807990850056,27.21130808744173,27.292665319947876,27.309546155578875,0.2458573290978201,0.05370894735386069
Electrostatic Dispersion,1,7.295061373054377,7.295061373054377,7.295061373054377,7.295061373054377,7.295061373054377,0,0
Electrostatic Dispersion,2,7.295061373054747,7.2950613730548115,7.295061373054896,7.295061373055,7.295061373055103,1.8829382497642655e-13,1.987811389153703e-26
Electrostatic Dispersion,3,7.2950682666832085,7.295069452806718,7.29507106649638,7.295072874738021,7.2950747981587485,3.4219313027605835e-6,6.8749901011598466e-12
Electrostatic Dispersion,4,7.317452718037002,7.321305391476038,7.326546851795148,7.3324202406037156,7.338667745071469,0.011114849127677573,7.253316812914717e-5
Electrostatic Dispersion,5,8.38884281078017,8.577039754577187,8.833076719219829,9.119982381221746,9.425162995617605,0.5429426266445585,0.17307621235934786
Electrostatic Dispersion,6,13.573139543857788,14.65335089496701,16.122949868948417,17.76972875142721,19.52140206321307,3.1163778564601987,5.702032951856316
Electrostatic Dispersion,7,19.666416019445606,21.795041588298542,24.690980377281488,27.936063510218297,31.387847826237472,6.141021921919755,22.141691659764888
Electrostatic Dispersion,8,22.8901355642877,25.573436998969406,29.22399763346172,33.31468241789895,37.6659304452245,7.7412454189295445,35.18448310526591
Electrostatic Dispersion,9,23.777796181282085,26.613829239929416,30.47217720941309,34.795700884846056,39.39461887906427,8.18187164491664,39.30382590178714
Electrostatic Dispersion,10,23.456858803029665,26.237671109473595,30.02089270605139,34.26023251458667,38.76960440489466,8.022561405113073,37.78814759307745
Electrostatic Dispersion,11,22.597027488338206,25.22989650371445,28.811845165567707,32.825645881883204,37.095112577383766,7.595749378168755,33.87433332340942
Electrostatic Dispersion,12,21.532407087008455,23.982096630761188,27.314834466162814,31.049378641373217,35.02180106736074,7.067282010612029,29.324751893776632
van der Waals,1,7.295061373054377,7.295061373054377,7.295061373054377,7.295061373054377,7.295061373054377,0,0
van der Waals,2,7.295061373054377,7.2950613730543905,7.29506137305485,7.29506137306128,7.295061373091306,6.8896000016138714e-12,1.9662647598346615e-21
van der Waals,3,7.2950615545084645,7.295062700276568,7.2950706705895225,7.29510064478589,7.295158548471277,3.794450932215199e-5,3.044941204970098e-9
van der Waals,4,7.298710914652731,7.305777830939973,7.325793951076755,7.3620606280778675,7.404396521133381,0.05628279713789475,0.0020001477247124084
van der Waals,5,7.780673506808833,8.160771022097265,8.810986448538337,9.577095301289328,10.235914863183705,1.4163242791920627,0.8792907536401502
van der Waals,6,12.342721508206402,14.000652893509447,16.046927943519222,17.85666971821363,19.125971150289136,3.8560168247041844,6.732061590726061
van der Waals,7,20.967038834905537,22.754600667103002,24.5924422095971,25.987274233867808,26.86934032586288,3.232673566764806,5.612511626192015
van der Waals,8,27.15614109718523,28.17539593975793,29.127928895470028,29.790245383461155,30.18197990178355,1.6148494437032248,1.6145450915993154
van der Waals,9,29.65354329286815,30.0549488301326,30.384033083108537,30.576739651533245,30.671143054390154,0.5217908214006464,0.21440049043653248
van der Waals,10,29.793998734680578,29.864270321617262,29.920901613402222,29.945798047859945,29.95352156524668,0.08152772624268323,0.005662262143464433
van der Waals,11,28.43106208387063,28.564004043028326,28.739446137595813,28.9175348593488,29.042300862405888,0.35353081632047534,0.05256159226779316
van der Waals,12,26.858259106755447,27.021822607262344,27.249180929222614,27.502677361952152,27.709606705307838,0.4808547546898083,0.10672818050551582
