Parameter,mean,sd
Ca_a,0.332397218,0.032779757
Ca_b,-1.183003687,0.182618532
Ca_inf_ASW,0.212889942,0.011761178
cond_a,0.088180266,0.007948597
cond_b,2.107962293,0.035765826
cond_init,12.68058543,1.156341514
DOC_a,0.001117785,7.02E-04
DOC_b,1.097210969,0.375816085
DOC_c,-0.426440059,0.546337057
DOC_inf,7.281253,0.479238779
DOC_init,2.828313444,2.074830027
DOC_max,62.36859092,16.49126872
k_m,115.1408358,22.2645129
lambda_Ca[1],0.073976216,0.012150097
lambda_Ca[2],0.469147623,0.012305531
lambda_cond[1],0.083971921,0.004119281
lambda_cond[2],0.539099217,0.004326948
lambda_DOC[1],0.646134654,0.059451189
lambda_DOC[2],0.910769993,0.033746916
sigma_Ca,0.57513648,0.025572896
sigma_cond,0.267322892,0.011993928
sigma_DOC,0.572431811,0.028011682
