Event,plot,grid,sample_name,doc_mg_l,tdn_mg_l,evacuation_date,collection_datetime,tz
TMP,Freshwater,D5,TMP_FW_D5_T1,4.67,0.16,NA,2022-06-22T19:45:00Z,NA
TMP,Freshwater,H3,TMP_FW_H3_T2,4.86,0.21,NA,2022-06-22T23:14:00Z,NA
TMP,Freshwater,F6,TMP_FW_F6_T2,7.4,0.26,NA,2022-06-22T23:14:00Z,NA
TMP,Freshwater,F4,TMP_FW_F4_T2,8.13,0.27,NA,2022-06-22T23:14:00Z,NA
TMP,Freshwater,E3,TMP_FW_E3_T2,6.74,0.23,NA,2022-06-22T23:14:00Z,NA
TMP,Freshwater,H6,TMP_FW_H6_T2,2.81,0.08,NA,2022-06-22T23:14:00Z,NA
TMP,Freshwater,C3,TMP_FW_C3_T2,9.72,0.25,NA,2022-06-22T23:14:00Z,NA
TMP,Freshwater,I5,TMP_FW_I5_T2,18.61,0.3,NA,2022-06-22T23:14:00Z,NA
TMP,Estuarine-water,B4,TMP_SW_B4_T2,7.3,0.47,NA,2022-06-22T23:14:00Z,NA
TMP,Estuarine-water,I5,TMP_SW_I5_T2,11.85,1.25,NA,2022-06-22T23:14:00Z,NA
TMP,Estuarine-water,D5,TMP_SW_D5_T2,4.66,0.4,NA,2022-06-22T23:14:00Z,NA
TMP,Estuarine-water,F6,TMP_SW_F6_T2,5.09,0.36,NA,2022-06-22T23:14:00Z,NA
TMP,Estuarine-water,F4,TMP_SW_F4_T2,10.66,0.53,NA,2022-06-22T23:14:00Z,NA
TMP,Estuarine-water,H3,TMP_SW_H3_T2,6.53,0.57,NA,2022-06-22T23:14:00Z,NA
TMP,Estuarine-water,E3,TMP_SW_E3_T2,2.78,0.17,NA,2022-06-22T23:14:00Z,NA
TMP,Estuarine-water,C3,TMP_SW_C3_T2,8.48,0.5,NA,2022-06-22T23:14:00Z,NA
TMP,Control,C6,TMP_C_C6_T3,24.39,0.72,NA,2022-06-23T16:38:00Z,NA
TMP,Freshwater,H3,TMP_FW_H3_T3,10.23,0.3,NA,2022-06-23T16:38:00Z,NA
TMP,Freshwater,F4,TMP_FW_F4_T3,9.6,0.32,NA,2022-06-23T16:38:00Z,NA
TMP,Control,H6,TMP_C_H6_T3,20.74,0.62,NA,2022-06-23T16:38:00Z,NA
TMP,Control,I5,TMP_C_I5_T3,22.93,0.67,NA,2022-06-23T16:38:00Z,NA
TMP,Estuarine-water,B4,TMP_SW_B4_T3,9.22,0.52,NA,2022-06-23T16:41:00Z,NA
TMP,Freshwater,H6,TMP_FW_H6_T3,10.03,0.35,NA,2022-06-23T16:38:00Z,NA
TMP,Estuarine-water,C3,TMP_SW_C3_T3,13.23,1.19,NA,2022-06-23T16:41:00Z,NA
TMP,Control,B4,TMP_C_B4_T3,11.82,0.37,NA,2022-06-23T16:38:00Z,NA
TMP,Freshwater,C6,TMP_FW_C6_T3,8.39,0.34,NA,2022-06-23T16:38:00Z,NA
TMP,Freshwater,C3,TMP_FW_C3_T3,13.79,0.43,NA,2022-06-23T16:38:00Z,NA
TMP,Freshwater,E3,TMP_FW_E3_T3,7.32,0.27,NA,2022-06-23T16:38:00Z,NA
TMP,Freshwater,B4,TMP_FW_B4_T3,7.87,0.33,NA,2022-06-23T16:38:00Z,NA
TMP,Estuarine-water,H6,TMP_SW_H6_T3,7.4,0.39,NA,2022-06-23T16:41:00Z,NA
TMP,Freshwater,I5,TMP_FW_I5_T4,14.52,0.54,NA,2022-06-24T19:16:00Z,NA
TMP,Estuarine-water,E3,TMP_SW_E3_T3,6.41,0.41,NA,2022-06-23T16:41:00Z,NA
TMP,Control,I5,TMP_C_I5_T4,26.29,1.45,NA,2022-06-24T19:00:00Z,NA
TMP,Estuarine-water,D5,TMP_SW_D5_T3,8.04,0.82,NA,2022-06-23T16:41:00Z,NA
TMP,Estuarine-water,F6,TMP_SW_F6_T3,5.3,0.52,NA,2022-06-23T16:41:00Z,NA
TMP,Control,D5,TMP_C_D5_T4,19.76,0.56,NA,2022-06-24T19:00:00Z,NA
TMP,Freshwater,H3,TMP_FW_H3_T4,9.86,0.37,NA,2022-06-24T19:16:00Z,NA
TMP,Estuarine-water,B4,TMP_SW_B4_T4,8.94,0.52,NA,2022-06-24T19:15:00Z,NA
TMP,Estuarine-water,F4,TMP_SW_F4_T4,14.84,0.64,NA,2022-06-24T19:15:00Z,NA
TMP,Estuarine-water,I5,TMP_SW_I5_T3,15.07,1.9,NA,2022-06-23T16:41:00Z,NA
TMP,Control,E3,TMP_C_E3_T4,11.68,0.72,NA,2022-06-24T19:00:00Z,NA
TMP,Freshwater,C3,TMP_FW_C3_T4,18.09,1,NA,2022-06-24T19:16:00Z,NA
TMP,Estuarine-water,E3,TMP_SW_E3_T4,7.79,0.46,NA,2022-06-24T19:15:00Z,NA
TMP,Estuarine-water,D5,TMP_SW_D5_T4,11.09,0.78,NA,2022-06-24T19:15:00Z,NA
TMP,Estuarine-water,H6,TMP_SW_H6_T4,10.3,0.71,NA,2022-06-24T19:15:00Z,NA
TMP,Freshwater,F4,TMP_FW_F4_T4,11.22,0.49,NA,2022-06-24T19:16:00Z,NA
TMP,Freshwater,F6,TMP_FW_F6_T4,13.74,0.56,NA,2022-06-24T19:16:00Z,NA
TMP,Estuarine-water,H3,TMP_SW_H3_T4,5.83,0.49,NA,2022-06-24T19:15:00Z,NA
TMP,Freshwater,C6,TMP_FW_C6_T4,7.03,0.31,NA,2022-06-24T19:16:00Z,NA
TMP,Estuarine-water,I5,TMP_SW_I5_T4,15.9,1.5,NA,2022-06-24T19:15:00Z,NA
TMP,Freshwater,H6,TMP_FW_H6_T4,10.37,0.42,NA,2022-06-24T19:16:00Z,NA
TMP,Control,F6,TMP_C_F6_T4,19.97,0.75,NA,2022-06-24T19:00:00Z,NA
TMP,Freshwater,D5,TMP_FW_D5_T4,8.09,0.28,NA,2022-06-24T19:16:00Z,NA
TMP,Control,H6,TMP_C_H6_T4,21.31,0.77,NA,2022-06-24T19:00:00Z,NA
TMP,Estuarine-water,C6,TMP_SW_C6_T4,10.46,0.84,NA,2022-06-24T19:15:00Z,NA
TMP,Freshwater,B4,TMP_FW_B4_T4,9.79,0.36,NA,2022-06-24T19:16:00Z,NA
TMP,Control,H3,TMP_C_H3_T4,22.94,0.82,NA,2022-06-24T19:00:00Z,NA
TMP,Freshwater,E3,TMP_FW_E3_T4,10.51,0.36,NA,2022-06-24T19:16:00Z,NA
TMP,Estuarine-water,C3,TMP_SW_C3_T4,14.34,1.36,NA,2022-06-24T19:15:00Z,NA
TMP,Estuarine-water,F6,TMP_SW_F6_T4,5.81,0.39,NA,2022-06-24T19:15:00Z,NA
TMP,Control,C6,TMP_C_C6_20220718,12.69,1.44,2022-07-14,2022-07-18T20:00:00Z,EDT
TMP,Control,H3,TMP_C_H3_20220718,20.08,0.51,2022-07-14,2022-07-18T20:00:00Z,EDT
TMP,Control,H6,TMP_C_H6_20220721,16.28,1.15,2022-07-18,2022-07-21T19:00:00Z,EDT
TMP,Control,B4,TMP_C_B4_20220718,7.55,0.23,2022-07-14,2022-07-18T20:00:00Z,EDT
TMP,Control,D5,TMP_C_D5_20220721,8.83,0.46,2022-07-18,2022-07-21T19:00:00Z,EDT
TMP,Control,F6,TMP_C_F6_20220721,16.45,0.81,2022-07-18,2022-07-21T19:00:00Z,EDT
TMP,Control,I5,TMP_C_I5_20220718,18.21,0.74,2022-07-14,2022-07-18T18:59:00Z,NA
TMP,Freshwater,C6,TMP_FW_C6_20220718,7.21,0.23,2022-07-14,2022-07-18T18:15:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20220718,11.01,0.46,2022-07-14,2022-07-18T18:15:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20220718,11.88,1.07,2022-07-14,2022-07-18T18:59:00Z,NA
TMP,Freshwater,D5,TMP_FW_D5_20220718,12.17,1.27,2022-07-14,2022-07-18T18:15:00Z,EDT
TMP,Freshwater,E3,TMP_FW_E3_20220718,9.61,0.79,2022-07-14,2022-07-18T18:15:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20220718,14.7,0.57,2022-07-14,2022-07-18T18:15:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20220718,9.15,0.47,2022-07-14,2022-07-18T19:05:00Z,EDT
TMP,Estuarine-water,C6,TMP_SW_C6_20220718,19.29,5.07,2022-07-14,2022-07-18T19:05:00Z,EDT
TMP,Estuarine-water,F4,TMP_SW_F4_20220718,7.66,0.62,2022-07-14,2022-07-18T19:05:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20220718,21.99,0.7,2022-07-14,2022-07-18T19:05:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20220718,6.11,0.44,2022-07-14,2022-07-18T19:05:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20220718,4.94,0.41,2022-07-14,2022-07-18T19:05:00Z,EDT
TMP,Estuarine-water,I5,TMP_SW_I5_20220718,15.02,1.07,2022-07-14,2022-07-18T19:05:00Z,EDT
TMP,Control,H3,TMP_C_H3_20220808,20.09,0.61,2022-08-05,2022-08-08T22:00:00Z,EDT
TMP,Control,H6,TMP_C_H6_20220808,15.89,0.58,2022-08-05,2022-08-08T22:00:00Z,EDT
TMP,Control,B4,TMP_C_B4_20220808,10.61,0.45,2022-08-05,2022-08-08T22:00:00Z,EDT
TMP,Control,D5,TMP_C_D5_20220808,11.37,0.41,2022-08-05,2022-08-08T22:00:00Z,EDT
TMP,Control,E3,TMP_C_E3_20220808,12.71,0.93,2022-08-05,2022-08-08T22:00:00Z,EDT
TMP,Control,F6,TMP_C_F6_20220808,15.7,0.5,2022-08-05,2022-08-08T22:00:00Z,EDT
TMP,Control,I5,TMP_C_I5_20220808,23.39,0.71,2022-08-05,2022-08-08T22:00:00Z,EDT
TMP,Control,C3,TMP_C_C3_20220808,16.66,0.49,2022-08-05,2022-08-08T22:00:00Z,EDT
TMP,Control,C6,TMP_C_C6_20220808,13.45,1.73,2022-08-05,2022-08-08T22:00:00Z,EDT
TMP,Control,F4,TMP_C_F4_20220808,14.43,0.59,2022-08-05,2022-08-08T22:00:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20220808,14.84,0.53,2022-08-05,2022-08-08T19:50:00Z,EDT
TMP,Freshwater,C6,TMP_FW_C6_20220808,9.31,0.41,2022-08-05,2022-08-08T19:50:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20220808,14.67,0.73,2022-08-05,2022-08-08T19:50:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20220808,11.59,0.46,2022-08-05,2022-08-08T19:50:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20220808,14.9,1.9,2022-08-05,2022-08-08T19:50:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20220808,12.08,0.49,2022-08-05,2022-08-08T19:50:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20220808,18.81,0.75,2022-08-05,2022-08-08T19:50:00Z,EDT
TMP,Freshwater,E3,TMP_FW_E3_20220808,10.3,0.54,2022-08-05,2022-08-08T19:50:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20220808,16.38,0.6,2022-08-05,2022-08-08T19:50:00Z,EDT
TMP,Estuarine-water,F4,TMP_SW_F4_20220808,33.7,1.19,2022-08-05,2022-08-08T20:56:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20220808,38.01,1.29,2022-08-05,2022-08-08T20:56:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20220808,84.9,1.95,2022-08-05,2022-08-08T20:56:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20220808,24.83,1.11,2022-08-05,2022-08-08T20:56:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20220808,12.87,0.66,2022-08-05,2022-08-08T20:56:00Z,EDT
TMP,Estuarine-water,I5,TMP_SW_I5_20220808,20.27,0.82,2022-08-05,2022-08-08T20:56:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20220808,16.19,0.6,2022-08-05,2022-08-08T20:56:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20220808,18.85,0.73,2022-08-05,2022-08-08T18:59:00Z,NA
TMP,Control,D5,TMP_C_D5_20220915,11.13,0.6,2022-09-12,2022-09-15T18:00:00Z,EDT
TMP,Control,H6,TMP_C_H6_20220912,25,0.84,2022-09-09,2022-09-12T17:35:00Z,EDT
TMP,Control,H3,TMP_C_H3_20220915,23.46,3.27,2022-09-12,2022-09-15T18:00:00Z,EDT
TMP,Control,C6,TMP_C_C6_20220912,17.31,0.59,2022-09-09,2022-09-12T17:35:00Z,EDT
TMP,Control,I5,TMP_C_I5_20220915,15.9,0.49,2022-09-12,2022-09-15T18:00:00Z,EDT
TMP,Control,E3,TMP_C_E3_20220912,11.21,0.52,2022-09-09,2022-09-12T17:35:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20220915,22.43,0.8,2022-09-12,2022-09-15T19:48:00Z,EDT
TMP,Freshwater,E3,TMP_FW_E3_20220915,8.16,0.4,2022-09-12,2022-09-15T19:48:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20220912,20.45,0.79,2022-09-09,2022-09-12T19:07:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20220915,21.35,0.72,2022-09-12,2022-09-15T19:48:00Z,EDT
TMP,Freshwater,C6,TMP_FW_C6_20220915,8.6,0.37,2022-09-12,2022-09-15T19:48:00Z,EDT
TMP,Freshwater,F6,TMP_FW_F6_20220915,16.19,0.76,2022-09-12,2022-09-15T19:48:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20220915,16.62,2.87,2022-09-12,2022-09-15T19:48:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20220915,13.3,0.75,2022-09-12,2022-09-15T18:59:00Z,NA
TMP,Freshwater,I5,TMP_FW_I5_20220912,23.83,1.16,2022-09-09,2022-09-12T19:07:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20220915,17.36,0.57,2022-09-12,2022-09-15T19:48:00Z,EDT
TMP,Estuarine-water,H3,TMP_SW_H3_20220915,86.81,2.78,2022-09-12,2022-09-15T18:58:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20220912,75.62,1.8,2022-09-09,2022-09-12T18:20:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20220915,21.94,3.06,2022-09-12,2022-09-15T18:58:00Z,EDT
TMP,Estuarine-water,C6,TMP_SW_C6_20220915,54.58,1.84,2022-09-12,2022-09-15T18:58:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20220912,13.25,0.61,2022-09-09,2022-09-12T18:20:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20220915,26.22,0.97,2022-09-12,2022-09-15T18:58:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20220915,45.66,1.45,2022-09-12,2022-09-15T18:58:00Z,EDT
TMP,Control,H3,TMP_C_H3_20221019,19.4,0.59,2022-10-17,2022-10-19T23:57:00Z,EDT
TMP,Control,H6,TMP_C_H6_20221019,15.72,0.5,2022-10-17,2022-10-19T23:57:00Z,EDT
TMP,Control,D5,TMP_C_D5_20221019,6.9,0.24,2022-10-17,2022-10-19T23:57:00Z,EDT
TMP,Control,E3,TMP_C_E3_20221019,10.2,0.31,2022-10-17,2022-10-19T23:57:00Z,EDT
TMP,Control,F6,TMP_C_F6_20221019,12.13,0.38,2022-10-17,2022-10-19T23:57:00Z,EDT
TMP,Control,I5,TMP_C_I5_20221019,14.79,0.39,2022-10-17,2022-10-19T23:57:00Z,EDT
TMP,Control,C6,TMP_C_C6_20221019,11.49,0.38,2022-10-17,2022-10-19T18:59:00Z,NA
TMP,Freshwater,C3,TMP_FW_C3_20221019,12.5,0.38,2022-10-17,2022-10-19T22:39:00Z,EDT
TMP,Freshwater,C6,TMP_FW_C6_20221019,11.44,0.32,2022-10-17,2022-10-19T22:39:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20221019,11.76,0.5,2022-10-17,2022-10-19T22:39:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20221019,15.04,0.56,2022-10-17,2022-10-19T22:39:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20221019,13.23,0.38,2022-10-17,2022-10-19T22:39:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20221019,15.08,0.48,2022-10-17,2022-10-19T22:39:00Z,EDT
TMP,Freshwater,E3,TMP_FW_E3_20221019,10.08,0.35,2022-10-17,2022-10-19T22:39:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20221019,21.68,0.86,2022-10-17,2022-10-19T22:39:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20221019,14.76,0.51,2022-10-17,2022-10-19T23:20:00Z,EDT
TMP,Estuarine-water,C6,TMP_SW_C6_20221019,45.83,2,2022-10-17,2022-10-19T23:20:00Z,EDT
TMP,Estuarine-water,H3,TMP_SW_H3_20221019,109.2,4.39,2022-10-17,2022-10-19T23:20:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20221019,27.6,0.89,2022-10-17,2022-10-19T23:20:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20221019,52.57,1.33,2022-10-17,2022-10-19T23:20:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20221019,37.03,1.04,2022-10-17,2022-10-19T23:20:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20221019,44.55,1.46,2022-10-17,2022-10-19T23:20:00Z,EDT
TMP,Freshwater,C6,TMP_FW_C6_20221201,9.79,0.81,2022-11-28,2022-12-01T22:49:00Z,EST
TMP,Freshwater,C3,TMP_FW_C3_20221128,15.94,0.52,2022-11-25,2022-11-28T23:28:00Z,EST
TMP,Freshwater,D5,TMP_FW_D5_20221128,15.13,0.43,2022-11-25,2022-11-28T23:28:00Z,EST
TMP,Freshwater,H3,TMP_FW_H3_20221128,9.01,0.34,2022-11-25,2022-11-28T23:28:00Z,EST
TMP,Freshwater,I5,TMP_FW_I5_20221128,15.15,0.58,2022-11-25,2022-11-28T23:28:00Z,EST
TMP,Freshwater,E3,TMP_FW_E3_20221128,10.03,0.48,2022-11-25,2022-11-28T23:28:00Z,EST
TMP,Freshwater,B4,TMP_FW_B4_20221128,12.31,0.6,2022-11-25,2022-11-28T23:28:00Z,EST
TMP,Freshwater,H6,TMP_FW_H6_20221128,16.53,0.62,2022-11-25,2022-11-28T23:28:00Z,EST
TMP,Control,E3,TMP_C_E3_20221128,8.79,0.32,2022-11-25,2022-11-28T20:42:00Z,EST
TMP,Control,H6,TMP_C_H6_20221128,15.01,0.46,2022-11-25,2022-11-28T20:42:00Z,EST
TMP,Control,I5,TMP_C_I5_20221128,15.72,0.47,2022-11-25,2022-11-28T20:42:00Z,EST
TMP,Control,B4,TMP_C_B4_20221128,7.48,0.24,2022-11-25,2022-11-28T20:42:00Z,EST
TMP,Control,F6,TMP_C_F6_20221128,14.55,0.42,2022-11-25,2022-11-28T20:42:00Z,EST
TMP,Control,C6,TMP_C_C6_20221128,8.28,0.28,2022-11-25,2022-11-28T20:42:00Z,EST
TMP,Control,C3,TMP_C_C3_20221201,16.1,0.46,2022-11-28,2022-12-01T20:06:00Z,EST
TMP,Control,D5,TMP_C_D5_20221128,7.13,0.32,2022-11-25,2022-11-28T20:42:00Z,EST
TMP,Control,H3,TMP_C_H3_20221128,19.2,0.81,2022-11-25,2022-11-28T20:42:00Z,EST
TMP,Estuarine-water,C6,TMP_SW_C6_20221201,44.24,3.32,2022-11-28,2022-12-01T20:46:00Z,EST
TMP,Estuarine-water,E3,TMP_SW_E3_20221201,37.11,1.15,2022-11-28,2022-12-01T20:46:00Z,EST
TMP,Estuarine-water,B4,TMP_SW_B4_20221128,65.26,1.49,2022-11-25,2022-11-28T22:02:00Z,EST
TMP,Estuarine-water,H6,TMP_SW_H6_20221128,28.31,0.91,2022-11-25,2022-11-28T22:02:00Z,EST
TMP,Estuarine-water,C3,TMP_SW_C3_20221128,23.28,0.94,2022-11-25,2022-11-28T22:02:00Z,EST
TMP,Estuarine-water,D5,TMP_SW_D5_20221128,43.48,1.24,2022-11-25,2022-11-28T22:02:00Z,EST
TMP,Estuarine-water,H3,TMP_SW_H3_20221128,35.85,1.08,2022-11-25,2022-11-28T22:02:00Z,EST
TMP,Estuarine-water,F6,TMP_SW_F6_20221128,42.99,1.39,2022-11-25,2022-11-28T22:02:00Z,EST
TMP,Control,C6,TMP_C_C6_20230202,8.27,0.27,2023-01-30,2023-02-02T19:17:00Z,EST
TMP,Control,H3,TMP_C_H3_20230206,14.7,0.42,2023-02-02,2023-02-06T18:35:00Z,EST
TMP,Control,H6,TMP_C_H6_20230202,11.4,0.39,2023-01-30,2023-02-02T19:17:00Z,EST
TMP,Control,D5,TMP_C_D5_20230202,7.77,0.29,2023-01-30,2023-02-02T19:17:00Z,EST
TMP,Control,E3,TMP_C_E3_20230202,8.63,0.3,2023-01-30,2023-02-02T19:17:00Z,EST
TMP,Control,F6,TMP_C_F6_20230202,14.28,0.47,2023-01-30,2023-02-02T19:17:00Z,EST
TMP,Control,I5,TMP_C_I5_20230202,14.91,0.41,2023-01-30,2023-02-02T19:17:00Z,EST
TMP,Freshwater,C3,TMP_FW_C3_20230202,12.3,0.48,2023-01-30,2023-02-02T23:30:00Z,EST
TMP,Freshwater,C6,TMP_FW_C6_20230202,7.2,0.39,2023-01-30,2023-02-02T23:30:00Z,EST
TMP,Freshwater,H3,TMP_FW_H3_20230202,8.89,0.34,2023-01-30,2023-02-02T23:30:00Z,EST
TMP,Freshwater,H6,TMP_FW_H6_20230202,11.86,1.71,2023-01-30,2023-02-02T23:30:00Z,EST
TMP,Freshwater,B4,TMP_FW_B4_20230202,11.29,0.49,2023-01-30,2023-02-02T23:30:00Z,EST
TMP,Freshwater,D5,TMP_FW_D5_20230202,10.41,0.35,2023-01-30,2023-02-02T23:30:00Z,EST
TMP,Freshwater,E3,TMP_FW_E3_20230206,10.96,1.31,2023-02-02,2023-02-06T19:08:00Z,EST
TMP,Freshwater,F6,TMP_FW_F6_20230202,13.77,0.64,2023-01-30,2023-02-02T23:30:00Z,EST
TMP,Freshwater,I5,TMP_FW_I5_20230202,13.09,0.58,2023-01-30,2023-02-02T23:30:00Z,EST
TMP,Estuarine-water,C3,TMP_SW_C3_20230202,45.24,1.47,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Estuarine-water,C6,TMP_SW_C6_20230202,39.86,1.82,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Estuarine-water,F4,TMP_SW_F4_20230202,20.21,1.72,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Estuarine-water,H3,TMP_SW_H3_20230206,24.3,0.95,2023-02-02,2023-02-06T18:55:00Z,EST
TMP,Estuarine-water,H6,TMP_SW_H6_20230202,19.65,0.76,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Estuarine-water,B4,TMP_SW_B4_20230202,42.47,1.11,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Estuarine-water,D5,TMP_SW_D5_20230202,52.63,1.54,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Estuarine-water,E3,TMP_SW_E3_20230202,40.1,1.33,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Estuarine-water,F6,TMP_SW_F6_20230202,42.55,1.45,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Estuarine-water,I5,TMP_SW_I5_20230206,85.4,3.13,2023-02-02,2023-02-06T18:55:00Z,EST
TMP,Control,I5,TMP_C_I5_20230417,15.83,0.82,2023-04-14,2023-04-17T15:55:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230417,12.12,0.47,2023-04-14,2023-04-17T16:02:00Z,EDT
TMP,Control,H3,TMP_C_H3_20230417,17.32,0.73,2023-04-14,2023-04-17T15:50:00Z,EDT
TMP,Control,C6,TMP_C_C6_20230417,8.4,0.34,2023-04-14,2023-04-17T16:25:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230417,13.39,0.59,2023-04-14,2023-04-17T17:55:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230417,12.89,0.6,2023-04-14,2023-04-17T18:23:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230417,10.7,0.37,2023-04-14,2023-04-17T18:01:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230417,12.43,0.47,2023-04-14,2023-04-17T18:17:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230417,8.59,0.32,2023-04-14,2023-04-17T18:11:00Z,EDT
TMP,Freshwater,C6,TMP_FW_C6_20230417,12.22,2.54,2023-04-14,2023-04-17T17:44:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20230417,42.05,1.4,2023-04-14,2023-04-17T17:06:00Z,EDT
TMP,Estuarine-water,C6,TMP_SW_C6_20230417,34.28,1.19,2023-04-14,2023-04-17T16:54:00Z,EDT
