Event,plot,grid,sample_name,doc_mg_l,tdn_mg_l,evacuation_date,collection_datetime,tz
TMP,Control,F4,TMP_C_F4_20220518,8.13,0.47,NA,2022-05-18T18:59:00Z,NA
TMP,Control,H6,TMP_C_H6_20220518,13.92,0.47,NA,2022-05-18T18:59:00Z,NA
TMP,Control,D5,TMP_C_D5_20220518,18.36,0.66,NA,2022-05-18T18:59:00Z,NA
TMP,Freshwater,C3,TMP_FW_C3_20220518,7.01,0.33,NA,2022-05-18T18:59:00Z,NA
TMP,Freshwater,H6,TMP_FW_H6_20220520,9.03,0.45,NA,2022-05-20T18:59:00Z,NA
TMP,Freshwater,E3,TMP_FW_E3_20220518,13.84,0.6,NA,2022-05-18T18:59:00Z,NA
TMP,Control,H6,TMP_C_PW_H6_15cm_20220615,17.41,0.66,NA,2022-06-15T18:59:00Z,NA
TMP,Control,F6,TMP_C_SW_F6_15cm_20220615,13.77,0.57,NA,2022-06-15T18:59:00Z,NA
TMP,Freshwater,H3,TMP_FW_PW_H3_15cm_20220615,5.06,0.28,NA,2022-06-15T18:59:00Z,NA
TMP,Control,H3,TMP_C_PW_H3_15cm_20220615,21.45,0.59,NA,2022-06-15T18:59:00Z,NA
TMP,Estuarine-water,C6,TMP_SW_PW_C6_15cm_20220615,21.12,0.97,NA,2022-06-15T18:59:00Z,NA
TMP,Freshwater,H6,TMP_FW_H6_T0,14.41,0.54,NA,2022-06-20T17:15:00Z,NA
TMP,Freshwater,C6,TMP_FW_C6_T0,8.27,0.36,NA,2022-06-20T17:15:00Z,NA
TMP,Freshwater,I5,TMP_FW_I5_T0,15.67,0.7,NA,2022-06-20T17:15:00Z,NA
TMP,Estuarine-water,C3,TMP_SW_C3_T1,15.5,0.93,NA,2022-06-22T19:47:00Z,NA
TMP,Estuarine-water,H6,TMP_SW_H6_T1,7.25,0.37,NA,2022-06-22T19:47:00Z,NA
TMP,Estuarine-water,B4,TMP_SW_B4_T1,11.37,0.48,NA,2022-06-22T19:47:00Z,NA
TMP,Freshwater,F4,TMP_FW_F4_T1,10.45,0.49,NA,2022-06-22T19:45:00Z,NA
TMP,Estuarine-water,E3,TMP_SW_E3_T1,4.9,0.44,NA,2022-06-22T19:47:00Z,NA
TMP,Freshwater,I5,TMP_FW_I5_T1,26.89,0.42,NA,2022-06-22T19:45:00Z,NA
TMP,Freshwater,C6,TMP_FW_C6_T1,1.27,0.08,NA,2022-06-22T19:45:00Z,NA
TMP,Freshwater,C3,TMP_FW_C3_T1,5.54,0.18,NA,2022-06-22T19:45:00Z,NA
TMP,Freshwater,H3,TMP_FW_H3_T1,5.62,0.24,NA,2022-06-22T19:45:00Z,NA
