sample_name,rundate,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint,date,plot
TMP_SW_C3_T2,20220701,8.48,0.5,NA,NA,TMP,SW,C3,T2,2022-06-22,Estuarine-water
TMP_C_C6_T3,20220701,24.39,0.72,NA,NA,TMP,C,C6,T3,2022-06-23,Control
TMP_FW_H3_T3,20220701,10.23,0.3,NA,NA,TMP,FW,H3,T3,2022-06-23,Freshwater
TMP_FW_F4_T3,20220701,9.6,0.32,NA,NA,TMP,FW,F4,T3,2022-06-23,Freshwater
TMP_C_H6_T3,20220708,20.74,0.62,NA,NA,TMP,C,H6,T3,2022-06-23,Control
TMP_C_I5_T3,20220708,22.93,0.67,NA,NA,TMP,C,I5,T3,2022-06-23,Control
TMP_SW_B4_T3,20220708,9.22,0.52,NA,NA,TMP,SW,B4,T3,2022-06-23,Estuarine-water
TMP_FW_H6_T3,20220708,10.03,0.35,NA,NA,TMP,FW,H6,T3,2022-06-23,Freshwater
TMP_SW_C3_T3,20220708,13.23,1.19,NA,NA,TMP,SW,C3,T3,2022-06-23,Estuarine-water
TMP_C_B4_T3,20220708,11.82,0.37,NA,NA,TMP,C,B4,T3,2022-06-23,Control
TMP_FW_C6_T3,20220708,8.39,0.34,NA,NA,TMP,FW,C6,T3,2022-06-23,Freshwater
TMP_FW_C3_T3,20220708,13.79,0.43,NA,NA,TMP,FW,C3,T3,2022-06-23,Freshwater
TMP_FW_E3_T3,20220708,7.32,0.27,NA,NA,TMP,FW,E3,T3,2022-06-23,Freshwater
TMP_FW_B4_T3,20220708,7.87,0.33,NA,NA,TMP,FW,B4,T3,2022-06-23,Freshwater
TMP_SW_H6_T3,20220708,7.4,0.39,NA,NA,TMP,SW,H6,T3,2022-06-23,Estuarine-water
TMP_FW_I5_T4,20220708,14.52,0.54,NA,NA,TMP,FW,I5,T4,2022-06-24,Freshwater
TMP_SW_E3_T3,20220708,6.41,0.41,NA,NA,TMP,SW,E3,T3,2022-06-23,Estuarine-water
TMP_C_I5_T4,20220708,26.29,1.45,NA,NA,TMP,C,I5,T4,2022-06-24,Control
TMP_SW_D5_T3,20220708,8.04,0.82,NA,NA,TMP,SW,D5,T3,2022-06-23,Estuarine-water
TMP_SW_F6_T3,20220708,5.3,0.52,NA,NA,TMP,SW,F6,T3,2022-06-23,Estuarine-water
TMP_C_D5_T4,20220708,19.76,0.56,NA,NA,TMP,C,D5,T4,2022-06-24,Control
TMP_FW_H3_T4,20220708,9.86,0.37,NA,NA,TMP,FW,H3,T4,2022-06-24,Freshwater
TMP_SW_B4_T4,20220708,8.94,0.52,NA,NA,TMP,SW,B4,T4,2022-06-24,Estuarine-water
TMP_SW_F4_T4,20220708,14.84,0.64,NA,NA,TMP,SW,F4,T4,2022-06-24,Estuarine-water
TMP_SW_I5_T3,20220708,15.07,1.9,NA,NA,TMP,SW,I5,T3,2022-06-23,Estuarine-water
TMP_C_E3_T4,20220708,11.68,0.72,NA,NA,TMP,C,E3,T4,2022-06-24,Control
TMP_FW_C3_T4,20220708,18.09,1,NA,NA,TMP,FW,C3,T4,2022-06-24,Freshwater
TMP_SW_E3_T4,20220708,7.79,0.46,NA,NA,TMP,SW,E3,T4,2022-06-24,Estuarine-water
TMP_SW_D5_T4,20220708,11.09,0.78,NA,NA,TMP,SW,D5,T4,2022-06-24,Estuarine-water
TMP_SW_H6_T4,20220708,10.3,0.71,NA,NA,TMP,SW,H6,T4,2022-06-24,Estuarine-water
TMP_FW_F4_T4,20220708,11.22,0.49,NA,NA,TMP,FW,F4,T4,2022-06-24,Freshwater
TMP_FW_F6_T4,20220708,13.74,0.56,NA,NA,TMP,FW,F6,T4,2022-06-24,Freshwater
TMP_SW_H3_T4,20220708,5.83,0.49,NA,NA,TMP,SW,H3,T4,2022-06-24,Estuarine-water
TMP_FW_C6_T4,20220708,7.03,0.31,NA,NA,TMP,FW,C6,T4,2022-06-24,Freshwater
TMP_SW_I5_T4,20220708,15.9,1.5,NA,NA,TMP,SW,I5,T4,2022-06-24,Estuarine-water
TMP_FW_H6_T4,20220708,10.37,0.42,NA,NA,TMP,FW,H6,T4,2022-06-24,Freshwater
TMP_C_F6_T4,20220708,19.97,0.75,NA,NA,TMP,C,F6,T4,2022-06-24,Control
TMP_FW_D5_T4,20220708,8.09,0.28,NA,NA,TMP,FW,D5,T4,2022-06-24,Freshwater
TMP_C_H6_T4,20220708,21.31,0.77,NA,NA,TMP,C,H6,T4,2022-06-24,Control
TMP_SW_C6_T4,20220708,10.46,0.84,NA,NA,TMP,SW,C6,T4,2022-06-24,Estuarine-water
TMP_FW_B4_T4,20220711,9.79,0.36,NA,NA,TMP,FW,B4,T4,2022-06-24,Freshwater
TMP_C_H3_T4,20220711,22.94,0.82,NA,NA,TMP,C,H3,T4,2022-06-24,Control
TMP_FW_E3_T4,20220711,10.51,0.36,NA,NA,TMP,FW,E3,T4,2022-06-24,Freshwater
TMP_SW_C3_T4,20220711,14.34,1.36,NA,NA,TMP,SW,C3,T4,2022-06-24,Estuarine-water
TMP_SW_F6_T4,20220711,5.81,0.39,NA,NA,TMP,SW,F6,T4,2022-06-24,Estuarine-water
TMP_C_C6_20220718,20220729,12.69,1.44,NA,NA,TMP,C,C6,T5,2022-07-18,Control
TMP_C_H3_20220718,20220729,20.08,0.51,NA,NA,TMP,C,H3,T5,2022-07-18,Control
TMP_C_H6_20220721,20220729,16.28,1.15,NA,NA,TMP,C,H6,T5,2022-07-21,Control
TMP_C_B4_20220718,20220729,7.55,0.23,NA,NA,TMP,C,B4,T5,2022-07-18,Control
TMP_C_D5_20220721,20220729,8.83,0.46,NA,NA,TMP,C,D5,T5,2022-07-21,Control
TMP_C_F6_20220721,20220729,16.45,0.81,NA,NA,TMP,C,F6,T5,2022-07-21,Control
TMP_C_I5_20220718,20220729,18.21,0.74,NA,NA,TMP,C,I5,T5,2022-07-18,Control
TMP_FW_C6_20220718,20220729,7.21,0.23,NA,NA,TMP,FW,C6,T5,2022-07-18,Freshwater
TMP_FW_H6_20220718,20220729,11.01,0.46,NA,NA,TMP,FW,H6,T5,2022-07-18,Freshwater
TMP_FW_B4_20220718,20220729,11.88,1.07,NA,NA,TMP,FW,B4,T5,2022-07-18,Freshwater
TMP_FW_D5_20220718,20220729,12.17,1.27,NA,NA,TMP,FW,D5,T5,2022-07-18,Freshwater
TMP_FW_E3_20220718,20220729,9.61,0.79,NA,NA,TMP,FW,E3,T5,2022-07-18,Freshwater
TMP_FW_I5_20220718,20220729,14.7,0.57,NA,NA,TMP,FW,I5,T5,2022-07-18,Freshwater
TMP_SW_C3_20220718,20220729,9.15,0.47,NA,NA,TMP,SW,C3,T5,2022-07-18,Estuarine-water
TMP_SW_C6_20220718,20220729,19.29,5.07,NA,value above cal curve,TMP,SW,C6,T5,2022-07-18,Estuarine-water
TMP_SW_F4_20220718,20220729,7.66,0.62,NA,NA,TMP,SW,F4,T5,2022-07-18,Estuarine-water
TMP_SW_B4_20220718,20220729,21.99,0.7,NA,NA,TMP,SW,B4,T5,2022-07-18,Estuarine-water
TMP_SW_D5_20220718,20220729,6.11,0.44,NA,NA,TMP,SW,D5,T5,2022-07-18,Estuarine-water
TMP_SW_F6_20220718,20220729,4.94,0.41,NA,NA,TMP,SW,F6,T5,2022-07-18,Estuarine-water
TMP_SW_I5_20220718,20220729,15.02,1.07,NA,NA,TMP,SW,I5,T5,2022-07-18,Estuarine-water
TMP_FW_B4_T2,20220708,16.87,1.63,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,B4,T2,2022-06-22,Freshwater
TMP_FW_F6_T3,20220708,NA,NA,omitted for high dilution and blank values,omitted for high dilution and blank values,TMP,FW,F6,T3,2022-06-23,Freshwater
TMP_FW_I5_T3,20220708,13.92,0.58,NA,NA,TMP,FW,I5,T3,2022-06-23,Freshwater
TMP_FW_D5_T3,20220708,6.94,0.29,NA,blank is ≥ 25% of sample value,TMP,FW,D5,T3,2022-06-23,Freshwater
TMP_SW_H6_T2,20220708,15.52,1.65,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,SW,H6,T2,2022-06-22,Estuarine-water
TMP_FW_D5_T2,20220708,5.9,0.28,NA,blank is ≥ 25% of sample value,TMP,FW,D5,T2,2022-06-22,Freshwater
TMP_FW_E3_T1,20220708,6.03,0.3,NA,blank is ≥ 25% of sample value,TMP,FW,E3,T1,2022-06-22,Freshwater
TMP_SW_F6_T1,20220708,10.4,0.57,NA,blank is ≥ 25% of sample value,TMP,SW,F6,T1,2022-06-22,Estuarine-water
TMP_SW_C6_T3,20220708,7.42,0.78,NA,NA,TMP,SW,C6,T3,2022-06-23,Estuarine-water
TMP_FW_H6_T1,20220729,NA,NA,omitted for high dilution and blank values,omitted for high dilution and blank values,TMP,FW,H6,T1,2022-06-22,Freshwater
TMP_FW_B4_T1,20220729,NA,NA,omitted for high dilution and blank values,omitted for high dilution and blank values,TMP,FW,B4,T1,2022-06-22,Freshwater
TMP_FW_F6_T1,20220729,NA,NA,omitted for high dilution and blank values,omitted for high dilution and blank values,TMP,FW,F6,T1,2022-06-22,Freshwater
TMP_FW_C6_T2,20220729,NA,NA,omitted for high dilution and blank values,omitted for high dilution and blank values,TMP,FW,C6,T2,2022-06-22,Freshwater
TMP_C_H6_T2,20220729,19.16,0.59,NA,blank is ≥ 25% of sample value,TMP,C,H6,T2,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,B4,T0,2022-06-20,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,C3,T0,2022-06-20,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,C6,T0,2022-06-20,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,D5,T0,2022-06-20,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,E3,T0,2022-06-20,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,F4,T0,2022-06-20,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,I5,T0,2022-06-20,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,FW,B4,T0,2022-06-20,Freshwater
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,FW,C3,T0,2022-06-20,Freshwater
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,FW,D5,T0,2022-06-20,Freshwater
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,FW,E3,T0,2022-06-20,Freshwater
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,FW,F4,T0,2022-06-20,Freshwater
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,FW,F6,T0,2022-06-20,Freshwater
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,B4,T0,2022-06-20,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,C3,T0,2022-06-20,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,D5,T0,2022-06-20,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,E3,T0,2022-06-20,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,F4,T0,2022-06-20,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,F6,T0,2022-06-20,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,H3,T0,2022-06-20,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,H6,T0,2022-06-20,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,I5,T0,2022-06-20,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,B4,T1,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,C3,T1,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,C6,T1,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,D5,T1,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,E3,T1,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,F4,T1,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,F6,T1,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,H3,T1,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,H6,T1,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,I5,T1,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,C6,T1,2022-06-22,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,D5,T1,2022-06-22,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,F4,T1,2022-06-22,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,H3,T1,2022-06-22,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,I5,T1,2022-06-22,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,B4,T2,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,C3,T2,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,C6,T2,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,D5,T2,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,E3,T2,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,F4,T2,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,F6,T2,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,H3,T2,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,I5,T2,2022-06-22,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,C6,T2,2022-06-22,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,C3,T3,2022-06-23,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,D5,T3,2022-06-23,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,E3,T3,2022-06-23,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,F4,T3,2022-06-23,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,F6,T3,2022-06-23,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,H3,T3,2022-06-23,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,F4,T3,2022-06-23,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,H3,T3,2022-06-23,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,B4,T4,2022-06-24,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,C3,T4,2022-06-24,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,C6,T4,2022-06-24,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,F4,T4,2022-06-24,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,C3,T5,2022-07-21,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,E3,T5,2022-07-21,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,C,F4,T5,2022-07-21,Control
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,FW,C3,T5,2022-07-21,Freshwater
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,FW,F4,T5,2022-07-21,Freshwater
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,FW,F6,T5,2022-07-21,Freshwater
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,FW,H3,T5,2022-07-21,Freshwater
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,E3,T5,2022-07-21,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,H3,T5,2022-07-21,Estuarine-water
Lysimeter Empty,NA,NA,NA,NA,NA,TMP,SW,H6,T5,2022-07-21,Estuarine-water
