sample_name,rundate,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint,date,plot
TMP_C_PW_H6_15cm_20220615,20220629,17.41,0.66,NA,NA,TMP,C,H6,T0,2022-06-15,Control
TMP_C_SW_F6_15cm_20220615,20220629,13.77,0.57,NA,NA,TMP,C,F6,T0,2022-06-15,Control
TMP_FW_PW_H3_15cm_20220615,20220629,5.06,0.28,NA,blank is ≥ 25% of sample value,TMP,FW,H3,T0,2022-06-15,Freshwater
TMP_C_PW_H3_15cm_20220615,20220629,21.45,0.59,NA,NA,TMP,C,H3,T0,2022-06-15,Control
TMP_SW_PW_C6_15cm_20220615,20220629,21.12,0.97,NA,NA,TMP,SW,C6,T0,2022-06-15,Estuarine-water
TMP_FW_H6_T0,20220629,14.41,0.54,NA,NA,TMP,FW,H6,T0,2022-06-20,Freshwater
TMP_FW_C6_T0,20220629,8.27,0.36,NA,blank is ≥ 25% of sample value,TMP,FW,C6,T0,2022-06-20,Freshwater
TMP_FW_I5_T0,20220629,15.67,0.7,NA,NA,TMP,FW,I5,T0,2022-06-20,Freshwater
TMP_SW_C3_T1,20220629,15.5,0.93,NA,NA,TMP,SW,C3,T1,2022-06-22,Estuarine-water
TMP_SW_H6_T1,20220629,7.25,0.37,NA,blank is ≥ 25% of sample value,TMP,SW,H6,T1,2022-06-22,Estuarine-water
TMP_SW_B4_T1,20220629,11.37,0.48,NA,NA,TMP,SW,B4,T1,2022-06-22,Estuarine-water
TMP_FW_F4_T1,20220701,10.45,0.49,NA,NA,TMP,FW,F4,T1,2022-06-22,Freshwater
TMP_SW_E3_T1,20220701,4.9,0.44,NA,NA,TMP,SW,E3,T1,2022-06-22,Estuarine-water
TMP_FW_I5_T1,20220701,26.89,0.42,NA,NA,TMP,FW,I5,T1,2022-06-22,Freshwater
TMP_FW_C6_T1,20220701,1.27,0.08,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,C6,T1,2022-06-22,Freshwater
TMP_FW_C3_T1,20220701,5.54,0.18,NA,blank is ≥ 25% of sample value,TMP,FW,C3,T1,2022-06-22,Freshwater
TMP_FW_H3_T1,20220701,5.62,0.24,NA,blank is ≥ 25% of sample value,TMP,FW,H3,T1,2022-06-22,Freshwater
TMP_FW_D5_T1,20220701,4.67,0.16,NA,blank is ≥ 25% of sample value,TMP,FW,D5,T1,2022-06-22,Freshwater
TMP_FW_H3_T2,20220701,4.86,0.21,NA,blank is ≥ 25% of sample value,TMP,FW,H3,T2,2022-06-22,Freshwater
TMP_FW_F6_T2,20220701,7.4,0.26,NA,blank is ≥ 25% of sample value,TMP,FW,F6,T2,2022-06-22,Freshwater
TMP_FW_F4_T2,20220701,8.13,0.27,NA,blank is ≥ 25% of sample value,TMP,FW,F4,T2,2022-06-22,Freshwater
TMP_FW_E3_T2,20220701,6.74,0.23,NA,blank is ≥ 25% of sample value,TMP,FW,E3,T2,2022-06-22,Freshwater
TMP_FW_H6_T2,20220701,2.81,0.08,NA,blank is ≥ 25% of sample value,TMP,FW,H6,T2,2022-06-22,Freshwater
TMP_FW_C3_T2,20220701,9.72,0.25,NA,blank is ≥ 25% of sample value,TMP,FW,C3,T2,2022-06-22,Freshwater
TMP_FW_I5_T2,20220701,18.61,0.3,NA,NA,TMP,FW,I5,T2,2022-06-22,Freshwater
TMP_SW_B4_T2,20220701,7.3,0.47,NA,NA,TMP,SW,B4,T2,2022-06-22,Estuarine-water
TMP_SW_I5_T2,20220701,11.85,1.25,NA,NA,TMP,SW,I5,T2,2022-06-22,Estuarine-water
TMP_SW_D5_T2,20220701,4.66,0.4,NA,NA,TMP,SW,D5,T2,2022-06-22,Estuarine-water
TMP_SW_F6_T2,20220701,5.09,0.36,NA,NA,TMP,SW,F6,T2,2022-06-22,Estuarine-water
TMP_SW_F4_T2,20220701,10.66,0.53,NA,NA,TMP,SW,F4,T2,2022-06-22,Estuarine-water
TMP_SW_H3_T2,20220701,6.53,0.57,NA,NA,TMP,SW,H3,T2,2022-06-22,Estuarine-water
TMP_SW_E3_T2,20220701,2.78,0.17,NA,blank is ≥ 25% of sample value,TMP,SW,E3,T2,2022-06-22,Estuarine-water
